task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit
READ,shipped,hoptimus0,donor,abs,READ_specimen1,0.8959820789451396,2.0714998294823737,2.8969208459846825,0.043858730852058984,0.0601591902028014,slide
READ,shipped,hoptimus0,donor,abs,READ_specimen7,0.7659014636309875,1.2919095542832821,3.2738256699312434,0.18138179014953112,0.05271674621948128,slide
READ,shipped,hoptimus0,donor,scaled,READ_specimen1,0.8956338973631346,24.072025420341834,24.954756974946722,0.08065190501612535,0.02371419762074016,slide
READ,shipped,hoptimus0,donor,scaled,READ_specimen7,0.8025927177494298,4.452373272339536,6.143924398806049,0.1496570604882994,0.047750221762270846,slide
READ,shipped,hoptimus0,patient,abs,0,0.8959820789451396,2.0714998294823737,2.8969208459846825,0.043858730852058984,0.0601591902028014,slide
READ,shipped,hoptimus0,patient,abs,1,0.7640442574131958,1.2887213047943282,3.291548449624323,0.18270270127566107,0.05325304131114303,slide
READ,shipped,hoptimus0,patient,scaled,0,0.8956338973631346,24.072025420341834,24.954756974946722,0.08065190501612535,0.02371419762074016,slide
READ,shipped,hoptimus0,patient,scaled,1,0.794372201571344,2.9679939487055704,4.706913547450003,0.15132196713694349,0.05430583129171243,slide
READ,shipped,hoptimus0,random,abs,0,0.8963378113865946,1.4167353806245244,1.9806625240677966,0.07837782236384386,0.02528436624956152,spot
READ,shipped,hoptimus0,random,abs,1,0.898609799483084,1.4282481691586388,1.9762936707599266,0.07628124770868225,0.025108952808233866,spot
READ,shipped,hoptimus0,random,scaled,0,0.9015905514655167,1.6298523947972938,2.169165386261575,0.09208877773430936,0.006320670800173936,spot
READ,shipped,hoptimus0,random,scaled,1,0.9027750651756034,1.6427851141364294,2.1732445461111682,0.09042598986330629,0.006798944961090313,spot
READ,shipped,hoptimus0,slide_out,abs,ZEN36,0.784963532426572,1.4776145925780335,3.4213500477216656,0.1960496747486694,0.018986792824758524,slide
READ,shipped,hoptimus0,slide_out,abs,ZEN40,0.7837155388471179,1.364461117770427,2.592903819834305,0.061422305764411024,0.15486215538847117,slide
READ,shipped,hoptimus0,slide_out,scaled,ZEN36,0.8348511728760103,10.448368978922634,11.881357780489532,0.1530455351862803,0.012103291937709442,slide
READ,shipped,hoptimus0,slide_out,scaled,ZEN40,0.8824028822055139,2.212672795077831,2.8571111545451693,0.05957393483709273,0.058023182957393483,slide
