task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit
CCRCC,shipped,resnet50,random,abs,0,0.8773074950079938,1.7213836802644829,2.447057212285099,0.0845488188543376,0.03814368613766869,spot
CCRCC,shipped,resnet50,random,abs,1,0.8778415164498362,1.7222739576448092,2.4367462825558306,0.08364214127138972,0.03851634227877402,spot
CCRCC,shipped,resnet50,random,abs,2,0.8751478878603383,1.7170931806001306,2.462375096415633,0.0869300653142982,0.037922046825363556,spot
CCRCC,shipped,resnet50,random,abs,3,0.8763274818357616,1.7207569384178272,2.4514661676380323,0.08550400650278453,0.03816851166145395,spot
CCRCC,shipped,resnet50,random,abs,4,0.8769356805371575,1.7185065686470402,2.455072135169546,0.08576636325305427,0.037297956209788166,spot
CCRCC,shipped,resnet50,random,abs,5,0.8768734227683515,1.7208419387551834,2.4474359478627425,0.0850288295030284,0.03809774772862005,spot
COAD,shipped,resnet50,random,abs,0,0.894274009392818,2.435954874654789,3.4596102591801654,0.05939673135823194,0.04632925924895005,spot
COAD,shipped,resnet50,random,abs,1,0.8974725633396592,2.4583645822588567,3.456852849004446,0.0580699711591372,0.044457465501203663,spot
HCC,shipped,resnet50,random,abs,0,0.9022239090765352,1.5729892536810957,2.1456996624299043,0.07442681039863441,0.023349280524830412,spot
HCC,shipped,resnet50,random,abs,1,0.9030941821611871,1.5771676930519538,2.1461533016276366,0.07500717343773851,0.021898644401074484,spot
IDC,shipped,resnet50,random,abs,0,0.8748094322930651,2.5418559580468467,3.708823452484617,0.06884547878684658,0.05634508892008826,spot
IDC,shipped,resnet50,random,abs,1,0.8723505330010756,2.525530352077582,3.713355321405648,0.0704338185958985,0.05721564840302601,spot
IDC,shipped,resnet50,random,abs,2,0.8718316185402107,2.5215997215824406,3.728010423570543,0.07055432886415847,0.05761405259563081,spot
IDC,shipped,resnet50,random,abs,3,0.8720730152148546,2.522863193507625,3.7234969112784952,0.0719822126588182,0.05594477212632729,spot
LUNG,shipped,resnet50,random,abs,0,0.9006683144291119,2.414969134874224,3.1321887037021705,0.049112147611970705,0.05021953795891752,spot
LUNG,shipped,resnet50,random,abs,1,0.8992197936392294,2.4056730955846626,3.1240398512824807,0.049781730430207005,0.05099847593056358,spot
LYMPH_IDC,shipped,resnet50,random,abs,0,0.9009362378385474,1.6026801258217827,2.1207104268165615,0.07034594420713862,0.028717817954314006,spot
LYMPH_IDC,shipped,resnet50,random,abs,1,0.9004411388773711,1.5972731018317727,2.1242415277497644,0.07027217074525319,0.02928669037737558,spot
LYMPH_IDC,shipped,resnet50,random,abs,2,0.900445305867747,1.5996979054053562,2.128901183504117,0.0709126938789145,0.028642000253338462,spot
LYMPH_IDC,shipped,resnet50,random,abs,3,0.9008264796487954,1.5978918145114558,2.1215490934639503,0.07040726494003277,0.02876625541117178,spot
PAAD,shipped,resnet50,random,abs,0,0.8925569580642101,2.2361441605532626,3.0541956640232613,0.05813578943835225,0.049307252497437656,spot
PAAD,shipped,resnet50,random,abs,1,0.896022916184085,2.25682577667655,3.0713184265317435,0.05646113906046529,0.04751594475544966,spot
PAAD,shipped,resnet50,random,abs,2,0.893348830425376,2.2438025637020753,3.08735910888091,0.0573779536941749,0.049273215880449105,spot
PRAD,shipped,resnet50,random,abs,0,0.9028976053959388,1.8955198544617484,2.5214521725658186,0.06895259021992389,0.028149804384137344,spot
PRAD,shipped,resnet50,random,abs,1,0.9025943837523831,1.8960423871174867,2.522496264475312,0.06925589498490883,0.02814972126270801,spot
READ,shipped,resnet50,random,abs,0,0.8971154727713404,1.4571913220715476,2.1036808965494793,0.0825965925636727,0.020287934664986913,spot
READ,shipped,resnet50,random,abs,1,0.8975072522637102,1.4584465400292541,2.0946808186862116,0.08157697094870217,0.020915776787587638,spot
SKCM,shipped,resnet50,random,abs,0,0.9045035480680716,2.7601006966141823,3.68282748735128,0.05094941385833439,0.04454703807359397,spot
SKCM,shipped,resnet50,random,abs,1,0.9000990644562993,2.7186934349262653,3.694823998021474,0.05553124151066356,0.04436969403303713,spot
