task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit
CCRCC,shipped,uni_v2,random,abs,0,0.8837621923468759,1.5998265782039858,2.1754907480839485,0.07547518288522134,0.04076262476790258,spot
CCRCC,shipped,uni_v2,random,abs,1,0.8838025433436897,1.6006296413569951,2.1822104955152986,0.07488119768565586,0.04131625897065451,spot
CCRCC,shipped,uni_v2,random,abs,2,0.8825516828553759,1.5988569181522767,2.1853688646227005,0.07648399159772885,0.040964325546895206,spot
CCRCC,shipped,uni_v2,random,abs,3,0.8816661059698937,1.5999966715505514,2.2019754274152854,0.07711793280125455,0.04121596122885172,spot
CCRCC,shipped,uni_v2,random,abs,4,0.8832412062920593,1.599728218279329,2.1816674752653435,0.07650951337612973,0.04024928033181099,spot
CCRCC,shipped,uni_v2,random,abs,5,0.8829517367313626,1.6002863148641961,2.188206571844894,0.07606902429421084,0.04097923897442661,spot
COAD,shipped,uni_v2,random,abs,0,0.8957742860286331,2.145332628770711,2.9921224209076867,0.05619998766041049,0.048025726310956376,spot
COAD,shipped,uni_v2,random,abs,1,0.8971448255831043,2.1512134775651974,2.9870057116523197,0.05605876353761876,0.046796410879277085,spot
HCC,shipped,uni_v2,random,abs,0,0.9028697996825368,1.5598441676330013,2.096379627174376,0.07244095882163783,0.024689241495825444,spot
HCC,shipped,uni_v2,random,abs,1,0.9036258495926839,1.55645033025098,2.09058111017585,0.0726663839802145,0.02370776642710163,spot
IDC,shipped,uni_v2,random,abs,0,0.8806103410687735,2.1025941816109586,3.0251755516549688,0.061480627912318474,0.05790903101890801,spot
IDC,shipped,uni_v2,random,abs,1,0.8799161534804352,2.1000278920001074,3.024309187903286,0.06236166559104774,0.05772218092851705,spot
IDC,shipped,uni_v2,random,abs,2,0.8802957692096612,2.1000807784663156,3.0185000961898973,0.061780556011970536,0.05792367477836814,spot
IDC,shipped,uni_v2,random,abs,3,0.8815795301787859,2.102725927339107,3.0095614840603635,0.06171007300370952,0.056710396817504685,spot
LUNG,shipped,uni_v2,random,abs,0,0.8988088347559164,1.9994547586319569,2.6260420530775432,0.049369718620088786,0.05182144662399468,spot
LUNG,shipped,uni_v2,random,abs,1,0.8990984633151745,2.002861291832505,2.6159931100600433,0.04912731065501826,0.05177422602980721,spot
LYMPH_IDC,shipped,uni_v2,random,abs,0,0.9009487227650276,1.4928384499395748,1.988430543859463,0.06849428612053907,0.030556991114433357,spot
LYMPH_IDC,shipped,uni_v2,random,abs,1,0.9002191579227761,1.4892285771059366,1.9938406066190937,0.06889616758271554,0.030884674494508334,spot
LYMPH_IDC,shipped,uni_v2,random,abs,2,0.899846437895499,1.4877450191917116,1.9914954902786053,0.06943864636350906,0.030714915740991937,spot
LYMPH_IDC,shipped,uni_v2,random,abs,3,0.9002556557442001,1.4876850800557242,1.9913832402745424,0.06921380244638735,0.030530541809412677,spot
PAAD,shipped,uni_v2,random,abs,0,0.8919850260884663,1.9547845599187397,2.7545139150141553,0.05771239731326996,0.05030257659826372,spot
PAAD,shipped,uni_v2,random,abs,1,0.8934346971877403,1.9717850695052621,2.780972628898774,0.05656905343172414,0.04999624938053563,spot
PAAD,shipped,uni_v2,random,abs,2,0.8926666494629965,1.964334154017089,2.7813105016927104,0.05719001198844811,0.050143338548555384,spot
PRAD,shipped,uni_v2,random,abs,0,0.904260941647987,1.822417358009473,2.394530320839966,0.06382476765068745,0.03191429070132556,spot
PRAD,shipped,uni_v2,random,abs,1,0.9036554829096491,1.8238610594777878,2.400310321741121,0.06368352210979492,0.032660994980555955,spot
READ,shipped,uni_v2,random,abs,0,0.8972324442449022,1.4110759703653577,1.9782113506926575,0.07836593291899255,0.024401622836105218,spot
READ,shipped,uni_v2,random,abs,1,0.8982500269867609,1.4171129845000148,1.9784425243964716,0.07766952053823949,0.02408045247499962,spot
SKCM,shipped,uni_v2,random,abs,0,0.9026566627250329,2.121442427816765,2.873239486130369,0.050128338059830316,0.047214999215136694,spot
SKCM,shipped,uni_v2,random,abs,1,0.8974554171595361,2.0820476582404503,2.846378106592862,0.05397366970506805,0.048570913135395855,spot
