task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT1,0.8971014492753624,1.6059656924389543,2.0576889839417856,0.04586956521739131,0.057028985507246374,276,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT10,0.8317446808510638,1.6059656924389512,2.627520897077233,0.11429787234042553,0.05395744680851064,470,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT11,0.8076136363636364,1.6059656924389527,2.6835323921998806,0.10420454545454545,0.08818181818181818,352,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT12,0.8655718475073314,1.605965692438953,2.238884623305264,0.0607624633431085,0.07366568914956012,341,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT13,0.8985688405797102,1.6059656924389563,2.0291211520846444,0.0673731884057971,0.034057971014492754,1104,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT14,0.937531305903399,1.6059656924389565,1.829593257158707,0.05103756708407871,0.011431127012522363,1118,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT15,0.9220273531777957,1.605965692438956,1.9128628896065805,0.05826226870474658,0.019710378117457763,1243,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT16,0.9287133757961783,1.6059656924389538,1.8955014148442229,0.057936305732484074,0.013350318471337578,785,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT17,0.9499428571428571,1.6059656924389545,1.8001889067112598,0.04356571428571429,0.006491428571428572,875,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT18,0.8885435313262815,1.605965692438956,2.1213798106758484,0.0733767290480065,0.03807973962571196,1229,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT19,0.9574832214765101,1.6059656924389563,1.7619072038247623,0.03671140939597315,0.005805369127516779,1192,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT2,0.8899851851851852,1.605965692438952,2.093587103357862,0.0672888888888889,0.042725925925925924,675,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT20,0.949748743718593,1.6059656924389563,1.8221967256886058,0.04435510887772194,0.005896147403685092,1194,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT21,0.9033004926108374,1.605965692438956,2.000246746728658,0.062052545155993434,0.034646962233169126,1218,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT22,0.9143388429752066,1.6059656924389554,1.9181155170969515,0.05927685950413223,0.02638429752066116,968,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT23,0.8748314606741573,1.6059656924389563,2.118197502142796,0.07042350907519447,0.054745030250648224,1157,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT24,0.9106211723534559,1.6059656924389563,2.0416544209653766,0.06671916010498688,0.022659667541557304,1143,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT3,0.8994861660079052,1.605965692438951,2.0042429088207356,0.05695652173913044,0.04355731225296442,506,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT4,0.9085285285285285,1.6059656924389532,1.9900384295424314,0.026486486486486487,0.06498498498498498,333,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT5,0.6773597359735973,1.6059656924389538,3.698296200322125,0.2861386138613861,0.036501650165016504,303,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT6,0.8580661577608143,1.605965692438952,2.3187253659674125,0.07338422391857506,0.06854961832061068,393,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT7,0.8595897435897436,1.605965692438951,2.2791540255572915,0.08608547008547009,0.05432478632478633,585,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT8,0.7957083333333332,1.6059656924389512,2.797569195799216,0.12325,0.08104166666666666,480,50
CCRCC,shipped,hoptimus0,random,abs,0,0,0,spot,INT9,0.863155452436195,1.6059656924389518,2.305246056514358,0.07127610208816705,0.06556844547563805,431,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT1,0.8973180076628353,1.599375590768969,2.0536244870037224,0.04283524904214559,0.059846743295019156,261,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT10,0.8338067061143984,1.5993755907689653,2.5716177033698955,0.1145956607495069,0.051597633136094674,507,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT11,0.8245977011494253,1.599375590768968,2.515407167121798,0.08942528735632184,0.08597701149425287,348,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT12,0.8706371191135734,1.5993755907689677,2.1813897216167923,0.058836565096952904,0.07052631578947369,361,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT13,0.8966458519179303,1.5993755907689635,2.0218597666131877,0.06851025869759143,0.03484388938447815,1121,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT14,0.9390047846889952,1.5993755907689633,1.8206559896497054,0.05043062200956938,0.010564593301435405,1045,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT15,0.92448,1.5993755907689644,1.9011242977343803,0.055856,0.019664,1250,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT16,0.9297698209718671,1.599375590768964,1.8730300822581611,0.056265984654731455,0.013964194373401535,782,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT17,0.9488989784335982,1.5993755907689637,1.80190045621723,0.04290578887627696,0.008195232690124859,881,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT18,0.89,1.5993755907689637,2.1047578228384785,0.06938842975206612,0.04061157024793388,1210,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT19,0.956848281642917,1.5993755907689637,1.7625117956153094,0.03793797150041911,0.005213746856663873,1193,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT2,0.8926348228043143,1.599375590768964,2.0693497742769633,0.0637904468412943,0.043574730354391376,649,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT20,0.9497906602254429,1.599375590768964,1.809599926996856,0.04383252818035427,0.006376811594202898,1242,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT21,0.9021130221130221,1.5993755907689637,1.997725985034724,0.06176904176904177,0.036117936117936116,1221,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT22,0.9040129449838187,1.5993755907689635,1.9631610112157858,0.06921251348435814,0.026774541531823084,927,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT23,0.8721170395869191,1.5993755907689635,2.1012780776700763,0.06948364888123924,0.05839931153184165,1162,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT24,0.9032047986289632,1.5993755907689635,2.089061908567012,0.07300771208226221,0.023787489288774638,1167,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT3,0.9066165413533835,1.5993755907689648,1.9659361232996642,0.05522556390977443,0.0381578947368421,532,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT4,0.9067701863354037,1.5993755907689688,2.0013756434274654,0.023540372670807455,0.06968944099378882,322,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT5,0.6832740213523132,1.599375590768969,3.64737831035453,0.27402135231316727,0.04270462633451957,281,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT6,0.8529611650485437,1.5993755907689668,2.331718035135157,0.07305825242718447,0.07398058252427185,412,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT7,0.8625483870967742,1.599375590768964,2.2501930800984398,0.08448387096774193,0.05296774193548387,620,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT8,0.7965161290322581,1.5993755907689657,2.751554125020475,0.12851612903225806,0.07496774193548388,465,50
CCRCC,shipped,hoptimus0,random,abs,0,1,0,spot,INT9,0.8570388349514563,1.5993755907689666,2.324760523077947,0.08393203883495146,0.059029126213592235,412,50
CCRCC,shipped,hoptimus0,random,abs,0,2,0,spot,INT1,0.9072142857142858,1.6075802976204772,2.041106867457301,0.041571428571428565,0.05121428571428571,280,50
CCRCC,shipped,hoptimus0,random,abs,0,2,0,spot,INT10,0.8393474088291747,1.6075802976204825,2.531320188620028,0.11028790786948177,0.050364683301343575,521,50
CCRCC,shipped,hoptimus0,random,abs,0,2,0,spot,INT11,0.8025405405405405,1.6075802976204787,2.752615791005742,0.1104864864864865,0.08697297297297299,370,50
CCRCC,shipped,hoptimus0,random,abs,0,2,0,spot,INT12,0.8574504249291784,1.6075802976204785,2.318599808942329,0.07070821529745042,0.0718413597733711,353,50
CCRCC,shipped,hoptimus0,random,abs,0,2,0,spot,INT13,0.9006325581395349,1.6075802976204796,2.0152771930751716,0.06731162790697674,0.032055813953488374,1075,50
CCRCC,shipped,hoptimus0,random,abs,0,2,0,spot,INT14,0.9403246167718666,1.6075802976204796,1.82188973259084,0.049071235347159604,0.01060414788097385,1109,50
CCRCC,shipped,hoptimus0,random,abs,0,2,0,spot,INT15,0.9257236842105263,1.6075802976204792,1.8980758037285506,0.05432565789473684,0.019950657894736844,1216,50
CCRCC,shipped,hoptimus0,random,abs,0,2,0,spot,INT16,0.9257468354430379,1.6075802976204816,1.898181042515403,0.06364556962025317,0.010607594936708861,790,50
