task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT1,0.8948550724637682,1.7230031626739881,2.1602364044739955,0.027028985507246375,0.0781159420289855,276,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT10,0.8234468085106382,1.723003162673988,2.8436772268340462,0.12127659574468085,0.055276595744680856,470,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT11,0.8410795454545454,1.7230031626739881,2.642027016873489,0.10636363636363637,0.052556818181818184,352,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT12,0.8818181818181818,1.7230031626739881,2.3048254649689746,0.058240469208211146,0.05994134897360704,341,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT13,0.9004710144927536,1.7230031626739832,2.1954646310520647,0.0777355072463768,0.021793478260869567,1104,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT14,0.9454919499105546,1.7230031626739832,1.9222611255245936,0.04397137745974956,0.010536672629695884,1118,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT15,0.9221882542236525,1.723003162673983,2.0317105520243284,0.057618664521319383,0.020193081255028156,1243,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT16,0.94,1.723003162673985,1.9768854569686765,0.05225477707006369,0.0077452229299363054,785,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT17,0.9462171428571429,1.7230031626739848,1.9609266632828817,0.04621714285714286,0.007565714285714286,875,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT18,0.8857445077298617,1.723003162673983,2.308171618137993,0.08030919446704639,0.03394629780309194,1229,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT19,0.9603187919463088,1.7230031626739832,1.8720633350553475,0.030939597315436242,0.008741610738255034,1192,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT2,0.9079999999999999,1.7230031626739857,2.1330486190498155,0.05988148148148149,0.03211851851851852,675,50
CCRCC,shipped,resnet50,random,abs,0,0,0,spot,INT20,0.9563316582914573,1.7230031626739832,1.9227470008353107,0.03889447236180904,0.004773869346733669,1194,50
