task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched
CCRCC,shipped,hoptimus0,random,abs,6,0.8827742989052733,0.0007138980527558476,1.603768246976373,0.0018349980322995933,2.1816661408052247,0.07537565627384553,0.04185004482088125,spot,44679
COAD,shipped,hoptimus0,random,abs,2,0.895921827447972,0.0011011615985069747,2.116559731871276,0.004922257917005797,2.9551500420808807,0.0562961909183506,0.047781981633677445,spot,4063
HCC,shipped,hoptimus0,random,abs,2,0.9023082224110677,0.0009468227149760729,1.551828048697241,0.004116880571305869,2.0904930132137034,0.07297827028280006,0.024713507306132136,spot,1552
IDC,shipped,hoptimus0,random,abs,4,0.8813137076054502,0.0008084909283975267,2.0708385335548294,0.0034393156957922906,2.9695062723085366,0.06209210185444365,0.056594190540106094,spot,11820
LUNG,shipped,hoptimus0,random,abs,2,0.8997039771842286,0.0009977659034577466,1.9697014774835848,0.00615412432390403,2.578819785412969,0.04854577260806418,0.051750250207707314,spot,1555
LYMPH_IDC,shipped,hoptimus0,random,abs,4,0.900186900054865,0.0007248164374469049,1.4837342435436633,0.003358702548662674,1.9787765198036755,0.06859066939784625,0.031222430547288738,spot,11977
PAAD,shipped,hoptimus0,random,abs,3,0.8921331881344177,0.001662048869094985,1.945669627744748,0.009539845674191133,2.7530478750569536,0.05730028148762028,0.050566530377962084,spot,3168
PRAD,shipped,hoptimus0,random,abs,2,0.9039697953253598,0.0003027285661151461,1.8095482362997286,0.0016039482717692085,2.373692660412493,0.06311417799863339,0.03291602667600676,spot,20712
READ,shipped,hoptimus0,random,abs,2,0.8974021822416131,0.0009812942186374937,1.3998708609537194,0.004409755347138275,1.9517788865341514,0.0780457480237638,0.024552069734623174,spot,3055
SKCM,shipped,hoptimus0,random,abs,2,0.9009224205224569,0.0018264855555266226,2.0884199622939077,0.014523614183855043,2.8459153095275846,0.05136556948790326,0.04771200998963987,spot,1034
