task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched
CCRCC,shipped,resnet50,random,abs,6,0.8767389140765731,0.0009269807772334333,1.7201427107215788,0.001945508119217521,2.4500254736544806,0.08523670411648211,0.038024381806944736,spot,44679
COAD,shipped,resnet50,random,abs,2,0.8958732863662386,0.002261719185802376,2.447159728456823,0.015846056211243843,3.458231554092306,0.05873335125868457,0.04539336237507686,spot,4063
HCC,shipped,resnet50,random,abs,2,0.9026590456188611,0.0006153759996415134,1.5750784733665246,0.0029546028139107315,2.1459264820287705,0.07471699191818645,0.022623962462952448,spot,1552
IDC,shipped,resnet50,random,abs,4,0.8727661497623015,0.0013785892425062793,2.527962306303624,0.009406228357850117,3.7184215271848258,0.07045395972643044,0.05677989051126809,spot,11820
LUNG,shipped,resnet50,random,abs,2,0.8999440540341707,0.0010242588732155718,2.4103211152294435,0.0065732924198255655,3.1281142774923256,0.049446939021088855,0.05060900694474055,spot,1555
LYMPH_IDC,shipped,resnet50,random,abs,4,0.9006622905581152,0.0002569017916796929,1.599385736892592,0.0024252476559585537,2.1238505578835984,0.07048451844283476,0.028853190999049958,spot,11977
PAAD,shipped,resnet50,random,abs,3,0.8939762348912237,0.0018161618030907963,2.2455908336439627,0.010456134247729744,3.070957733145305,0.057324960730997486,0.048698804377778813,spot,3168
PRAD,shipped,resnet50,random,abs,2,0.9027459945741609,0.00021441008036074684,1.8957811207896176,0.00036948638426397966,2.5219742185205654,0.06910424260241636,0.02814976282342268,spot,20712
READ,shipped,resnet50,random,abs,2,0.8973113625175253,0.0002770299357845036,1.4578189310504008,0.0008875731297614347,2.0991808576178457,0.08208678175618744,0.020601855726287276,spot,3055
SKCM,shipped,resnet50,random,abs,2,0.9023013062621854,0.0031144402295092202,2.739397065770224,0.0292793555298921,3.688825742686377,0.053240327684498975,0.044458366053315546,spot,1034
