task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
CCRCC,shipped,hoptimus0,random,abs,0,spot,1,0.8831514676907078,0.0013003906594727653,0.0044607224160657325
CCRCC,shipped,hoptimus0,random,abs,1,spot,1,0.8839723081729947,0.0024337626365718923,0.0028346471835923475
CCRCC,shipped,hoptimus0,random,abs,2,spot,1,0.8821570330731443,0.0008424916018771473,0.003301016374089947
CCRCC,shipped,hoptimus0,random,abs,3,spot,1,0.8828900109510192,0.002442935334874382,0.0046702358307458385
CCRCC,shipped,hoptimus0,random,abs,4,spot,1,0.8822412770386187,0.0009692601863430869,0.0023693094892723843
CCRCC,shipped,hoptimus0,random,abs,5,spot,1,0.8822336965051546,0.0007824431749878959,0.002368529731409041
COAD,shipped,hoptimus0,random,abs,0,spot,1,0.8951431886144855,0.0030774289099962607,0.01929011988671157
COAD,shipped,hoptimus0,random,abs,1,spot,1,0.8967004662814585,0.001976651634749935,0.012354137658595386
HCC,shipped,hoptimus0,random,abs,0,spot,1,0.9016387176487267,0.0019652802494700802,0.011525631771439573
HCC,shipped,hoptimus0,random,abs,1,spot,1,0.9029777271734087,0.0027222731484291946,0.006663781674469245
IDC,shipped,hoptimus0,random,abs,0,spot,1,0.8819246172329578,0.0021217389358608634,0.01158456477072613
IDC,shipped,hoptimus0,random,abs,1,spot,1,0.8803486758213233,0.0025102459397012833,0.009328054017489864
IDC,shipped,hoptimus0,random,abs,2,spot,1,0.8809458950398561,0.001876417340800308,0.004263246865898307
IDC,shipped,hoptimus0,random,abs,3,spot,1,0.8820356423276638,0.0039758888722492775,0.007121345298579932
LUNG,shipped,hoptimus0,random,abs,0,spot,1,0.9004095042206002,0.003948779854648945,0.02437763056028867
LUNG,shipped,hoptimus0,random,abs,1,spot,1,0.8989984501478568,0.0017273437193153628,0.010238517048218218
LYMPH_IDC,shipped,hoptimus0,random,abs,0,spot,1,0.9011127522814523,0.002099130715211875,0.006127767422535879
LYMPH_IDC,shipped,hoptimus0,random,abs,1,spot,1,0.9004143742595879,0.00214901557775222,0.007156394663502136
LYMPH_IDC,shipped,hoptimus0,random,abs,2,spot,1,0.89964224321443,0.002318838549276796,0.008633163720724655
LYMPH_IDC,shipped,hoptimus0,random,abs,3,spot,1,0.8995782304639899,0.001488669690201162,0.005991517632838079
PAAD,shipped,hoptimus0,random,abs,0,spot,1,0.8907069456390013,0.0022616618489742567,0.013572256224293212
PAAD,shipped,hoptimus0,random,abs,1,spot,1,0.8939584158075462,0.00315165830459561,0.015759814785071737
PAAD,shipped,hoptimus0,random,abs,2,spot,1,0.8917342029567052,0.0026427132620283206,0.012856558739217632
PRAD,shipped,hoptimus0,random,abs,0,spot,1,0.9041838567473187,0.0014692932023564209,0.009141241849732763
PRAD,shipped,hoptimus0,random,abs,1,spot,1,0.9037557339034009,0.00180967814741144,0.007619555565950588
READ,shipped,hoptimus0,random,abs,0,spot,1,0.8967083024452753,0.0015831399828495696,0.006912451081898243
READ,shipped,hoptimus0,random,abs,1,spot,1,0.8980960620379508,0.0028461840667879253,0.012999839697839289
SKCM,shipped,hoptimus0,random,abs,0,spot,1,0.902213940844509,0.0036176720053534774,0.020593514013398387
SKCM,shipped,hoptimus0,random,abs,1,spot,1,0.8996309002004047,0.005017487548353679,0.04157885949557137
