task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
CCRCC,shipped,resnet50,random,abs,0,spot,1,0.8773074950079938,0.001355562923647413,0.004677867070085717
CCRCC,shipped,resnet50,random,abs,1,spot,1,0.8778415164498362,0.0019557856814981247,0.004244204526724547
CCRCC,shipped,resnet50,random,abs,2,spot,1,0.8751478878603383,0.001663902475295403,0.002209257470045366
CCRCC,shipped,resnet50,random,abs,3,spot,1,0.8763274818357616,0.001149085049786722,0.005207115237994006
CCRCC,shipped,resnet50,random,abs,4,spot,1,0.8769356805371575,0.0011736782581527065,0.0025616035408382682
CCRCC,shipped,resnet50,random,abs,5,spot,1,0.8768734227683515,0.001097256098206617,0.003252544857721175
COAD,shipped,resnet50,random,abs,0,spot,1,0.894274009392818,0.004846534197091736,0.03332237929311552
COAD,shipped,resnet50,random,abs,1,spot,1,0.8974725633396592,0.0010370757437203441,0.00932851646064357
HCC,shipped,resnet50,random,abs,0,spot,1,0.9022239090765352,0.002047150770011671,0.011391924288156342
HCC,shipped,resnet50,random,abs,1,spot,1,0.9030941821611871,0.0035341105395307265,0.013819405329414355
IDC,shipped,resnet50,random,abs,0,spot,1,0.8748094322930651,0.0025598605446190458,0.015217945504093774
IDC,shipped,resnet50,random,abs,1,spot,1,0.8723505330010756,0.0016697293451067216,0.008759931905165204
IDC,shipped,resnet50,random,abs,2,spot,1,0.8718316185402107,0.0010746422310977982,0.003975803413759211
IDC,shipped,resnet50,random,abs,3,spot,1,0.8720730152148546,0.003580517707751806,0.00904106028310323
LUNG,shipped,resnet50,random,abs,0,spot,1,0.9006683144291119,0.004909776202697727,0.03797627491907672
LUNG,shipped,resnet50,random,abs,1,spot,1,0.8992197936392294,0.002887673470487009,0.01167054646466433
LYMPH_IDC,shipped,resnet50,random,abs,0,spot,1,0.9009362378385474,0.002130837988490222,0.006999285628333667
LYMPH_IDC,shipped,resnet50,random,abs,1,spot,1,0.9004411388773711,0.002520858533690158,0.0063832334640022605
LYMPH_IDC,shipped,resnet50,random,abs,2,spot,1,0.900445305867747,0.0028128880175277327,0.01100343413435594
LYMPH_IDC,shipped,resnet50,random,abs,3,spot,1,0.9008264796487954,0.002762981381891001,0.012184098291429463
PAAD,shipped,resnet50,random,abs,0,spot,1,0.8925569580642101,0.002225773762060052,0.012395270059022846
PAAD,shipped,resnet50,random,abs,1,spot,1,0.896022916184085,0.0017193217707509383,0.019493211235072173
PAAD,shipped,resnet50,random,abs,2,spot,1,0.893348830425376,0.002168461048008817,0.014600257239580174
PRAD,shipped,resnet50,random,abs,0,spot,1,0.9028976053959388,0.0013141117614403164,0.007153058597878177
PRAD,shipped,resnet50,random,abs,1,spot,1,0.9025943837523831,0.0022682998692612356,0.010786294793516308
READ,shipped,resnet50,random,abs,0,spot,1,0.8971154727713404,0.0021549843584090108,0.007336793067243045
READ,shipped,resnet50,random,abs,1,spot,1,0.8975072522637102,0.0028535359820436373,0.013775925516702888
SKCM,shipped,resnet50,random,abs,0,spot,1,0.9045035480680716,0.005463086919409693,0.03914455316834342
SKCM,shipped,resnet50,random,abs,1,spot,1,0.9000990644562993,0.007008299730651754,0.06318905790622761
