encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match
hoptimus0,READ,shipped,random,0,0,0,spot,3819,764,764,4,3819,3055,2128,2128,0,,4588,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,random,0,1,0,spot,3819,764,764,4,3819,3055,2128,2128,0,,4588,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,random,0,2,0,spot,3819,764,764,4,3819,3055,2128,2128,0,,4588,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,random,0,3,0,spot,3819,764,764,4,3819,3055,2128,2128,0,,4588,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,random,0,4,0,spot,3819,764,764,4,3819,3055,2128,2128,0,,4588,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,random,1,0,0,spot,4588,918,918,4,4588,3670,2128,2128,0,,3819,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,random,1,1,0,spot,4588,918,918,4,4588,3670,2128,2128,0,,3819,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,random,1,2,0,spot,4588,918,918,4,4588,3670,2128,2128,0,,3819,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,random,1,3,0,spot,4588,918,918,4,4588,3670,2128,2128,0,,3819,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,random,1,4,0,spot,4588,918,918,4,4588,3670,2128,2128,0,,3819,4,ZEN36;ZEN40;ZEN48;ZEN49,ZEN36;ZEN40;ZEN48;ZEN49,True,True,True,,ok,task
hoptimus0,READ,shipped,patient,0,-1,0,slide,2,1,1691,1,3819,2128,2128,2128,0,,4588,2,ZEN48;ZEN49,ZEN36,False,True,True,,ok,task
hoptimus0,READ,shipped,patient,1,-1,0,slide,2,1,2385,1,4588,2203,2128,2128,0,,3819,2,ZEN36;ZEN40,ZEN48,False,True,True,,ok,task
hoptimus0,READ,shipped,donor,READ_specimen1,-1,0,slide,2,1,1691,1,3819,2128,2128,2128,0,,4588,2,ZEN48;ZEN49,ZEN36,False,True,True,,ok,task
hoptimus0,READ,shipped,donor,READ_specimen7,-1,0,slide,2,1,2385,1,4588,2203,2128,2128,0,,3819,2,ZEN36;ZEN40,ZEN48,False,True,True,,ok,task
hoptimus0,READ,shipped,slide_out,ZEN36,-1,0,slide,3,1,2203,1,6716,4513,2128,2128,0,,1691,1,ZEN36,ZEN49,False,True,True,,ok,task
hoptimus0,READ,shipped,slide_out,ZEN36,-1,1,slide,3,1,2128,1,6716,4588,2128,2128,0,,1691,1,ZEN36,ZEN40,True,True,True,,ok,task
hoptimus0,READ,shipped,slide_out,ZEN36,-1,2,slide,3,1,2203,1,6716,4513,2128,2128,0,,1691,1,ZEN36,ZEN49,False,True,True,,ok,task
hoptimus0,READ,shipped,slide_out,ZEN40,-1,0,slide,3,1,2203,1,6279,4076,2128,2128,0,,2128,1,ZEN40,ZEN49,False,True,True,,ok,task
hoptimus0,READ,shipped,slide_out,ZEN40,-1,1,slide,3,1,2385,1,6279,3894,2128,2128,0,,2128,1,ZEN40,ZEN48,False,True,True,,ok,task
hoptimus0,READ,shipped,slide_out,ZEN40,-1,2,slide,3,1,2385,1,6279,3894,2128,2128,0,,2128,1,ZEN40,ZEN48,False,True,True,,ok,task
