task,ours,r1b_intercept_f64,abs_diff,tol,passed,encoder,r1b_source
CCRCC,0.26767961216092945,0.26767961216092945,0.0,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
COAD,0.30859433880145193,0.30859433880145193,0.0,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
HCC,0.07917236777220815,0.07917236777220812,2.7755575615628914e-17,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
IDC,0.5975835469075116,0.5975835469075116,0.0,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
LUNG,0.5590385418177191,0.5590385418177191,0.0,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
LYMPH_IDC,0.25919238116769855,0.25919238116769855,0.0,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
PAAD,0.49101649624348287,0.49101649624348287,0.0,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
PRAD,0.3851802341442762,0.3851802341442762,0.0,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
READ,0.22145331556963468,0.22145331556963466,2.7755575615628914e-17,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
SKCM,0.6453406269333952,0.6453406269333952,0.0,1e-06,True,hoptimus0,results/round2/R1b_heads/head_intercept__hoptimus0__f64.csv
