task,ours,r1b_intercept_f64,abs_diff,tol,passed,encoder,r1b_source
CCRCC,0.2638985452233266,0.26389854522332656,5.551115123125783e-17,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
COAD,0.30154873876337923,0.3015487387633792,5.551115123125783e-17,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
HCC,0.07474425945998399,0.07474425945998396,2.7755575615628914e-17,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
IDC,0.589724874705042,0.589724874705042,0.0,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
LUNG,0.5588848260615049,0.5588848260615049,0.0,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
LYMPH_IDC,0.27270950895016727,0.2727095089501672,5.551115123125783e-17,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
PAAD,0.5000365780949056,0.5000365780949055,1.1102230246251565e-16,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
PRAD,0.35706612278592786,0.35706612278592786,0.0,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
READ,0.22264632614257748,0.22264632614257743,5.551115123125783e-17,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
SKCM,0.6612926718798531,0.6612926718798531,0.0,1e-06,True,uni_v2,results/round2/R1b_heads/head_intercept__uni_v2__f64.csv
