encoder,task,fold,gene,pearson,n_train,n_test
resnet50,CCRCC,0,AKAP8,0.14439612892504564,55849,18371
resnet50,CCRCC,0,BLVRB,0.1013974385122495,55849,18371
resnet50,CCRCC,0,BTF3,0.014255785451303541,55849,18371
resnet50,CCRCC,0,CD109,0.2815905840464775,55849,18371
resnet50,CCRCC,0,CD14,0.016731543749409817,55849,18371
resnet50,CCRCC,0,CHST15,0.14063910017989095,55849,18371
resnet50,CCRCC,0,CIB1,0.12778903389583854,55849,18371
resnet50,CCRCC,0,CKB,0.1851783775044989,55849,18371
resnet50,CCRCC,0,CPD,0.1643260253403683,55849,18371
resnet50,CCRCC,0,CPE,0.4478278144876443,55849,18371
resnet50,CCRCC,0,DERL1,0.28250991803777753,55849,18371
resnet50,CCRCC,0,DNAJB12,0.07613934450763896,55849,18371
resnet50,CCRCC,0,EGFL7,0.003995161206030447,55849,18371
resnet50,CCRCC,0,FLNB,0.2388895871899677,55849,18371
resnet50,CCRCC,0,GADD45B,0.21137445698570662,55849,18371
resnet50,CCRCC,0,GPNMB,0.08851582732955657,55849,18371
resnet50,CCRCC,0,H3F3A,0.014254245436725613,55849,18371
resnet50,CCRCC,0,HMOX1,0.2625138859844991,55849,18371
resnet50,CCRCC,0,HNRNPK,0.078109126030522,55849,18371
resnet50,CCRCC,0,HSPA1A,-0.13142671728356195,55849,18371
resnet50,CCRCC,0,HTRA1,0.14630370513290805,55849,18371
resnet50,CCRCC,0,IFI27,0.12310445211560733,55849,18371
resnet50,CCRCC,0,IFI6,0.1267510909777593,55849,18371
resnet50,CCRCC,0,IRF7,0.04243192773087791,55849,18371
resnet50,CCRCC,0,ISG15,0.09496912603105447,55849,18371
resnet50,CCRCC,0,KRTCAP2,0.09366850719506499,55849,18371
resnet50,CCRCC,0,LAPTM4B,0.24653492903280383,55849,18371
resnet50,CCRCC,0,LRRC41,0.22513913745921188,55849,18371
resnet50,CCRCC,0,LY6E,0.13118552182937304,55849,18371
resnet50,CCRCC,0,NAMPT,0.12291839809885591,55849,18371
resnet50,CCRCC,0,NOL3,0.12135746682807462,55849,18371
resnet50,CCRCC,0,NOTCH3,-0.02422439465111242,55849,18371
resnet50,CCRCC,0,NT5DC2,0.05832756367910151,55849,18371
resnet50,CCRCC,0,PARP10,0.11407766750838982,55849,18371
resnet50,CCRCC,0,PTGS1,0.18232841576352513,55849,18371
resnet50,CCRCC,0,PXN,0.15168439636951206,55849,18371
resnet50,CCRCC,0,RXRA,0.13763130253627487,55849,18371
resnet50,CCRCC,0,S100A9,0.04892059538083407,55849,18371
resnet50,CCRCC,0,SCARB1,0.31763626824849145,55849,18371
resnet50,CCRCC,0,SEMA4B,0.1282794809191848,55849,18371
resnet50,CCRCC,0,SLC15A4,0.20947971594128306,55849,18371
resnet50,CCRCC,0,SLC39A14,0.25565388520640486,55849,18371
resnet50,CCRCC,0,STK39,0.3052536879358542,55849,18371
resnet50,CCRCC,0,TFRC,0.15310064286912056,55849,18371
resnet50,CCRCC,0,TM2D3,0.1122647521057448,55849,18371
resnet50,CCRCC,0,TMEM91,0.28718049322774064,55849,18371
resnet50,CCRCC,0,TP53INP1,0.04779025903624292,55849,18371
resnet50,CCRCC,0,TRBC1,0.14736497030649895,55849,18371
resnet50,CCRCC,0,VMP1,0.11253572111185482,55849,18371
resnet50,CCRCC,0,YWHAE,0.06886069865264152,55849,18371
resnet50,CCRCC,1,AKAP8,0.30865644777105533,67651,6569
resnet50,CCRCC,1,BLVRB,0.2853111704586515,67651,6569
resnet50,CCRCC,1,BTF3,0.3606975621928268,67651,6569
resnet50,CCRCC,1,CD109,0.21491099714280992,67651,6569
resnet50,CCRCC,1,CD14,0.1758536385954054,67651,6569
resnet50,CCRCC,1,CHST15,0.18721340435740874,67651,6569
resnet50,CCRCC,1,CIB1,0.22051975490794148,67651,6569
resnet50,CCRCC,1,CKB,0.4101630833491988,67651,6569
resnet50,CCRCC,1,CPD,0.13338234065037827,67651,6569
resnet50,CCRCC,1,CPE,0.3320595107484213,67651,6569
resnet50,CCRCC,1,DERL1,0.16188868633043407,67651,6569
resnet50,CCRCC,1,DNAJB12,0.13873220925085816,67651,6569
resnet50,CCRCC,1,EGFL7,0.3902213441937339,67651,6569
resnet50,CCRCC,1,FLNB,0.3868075602033393,67651,6569
resnet50,CCRCC,1,GADD45B,0.20483313041561568,67651,6569
resnet50,CCRCC,1,GPNMB,0.08097007796668795,67651,6569
resnet50,CCRCC,1,H3F3A,0.34918748159311797,67651,6569
resnet50,CCRCC,1,HMOX1,0.33206853946634957,67651,6569
resnet50,CCRCC,1,HNRNPK,0.46443374170999124,67651,6569
resnet50,CCRCC,1,HSPA1A,0.16577942376845722,67651,6569
resnet50,CCRCC,1,HTRA1,0.22254015028852683,67651,6569
resnet50,CCRCC,1,IFI27,0.3393794851806641,67651,6569
resnet50,CCRCC,1,IFI6,0.27975079675258285,67651,6569
resnet50,CCRCC,1,IRF7,0.0943269128138564,67651,6569
resnet50,CCRCC,1,ISG15,0.1650136110206979,67651,6569
resnet50,CCRCC,1,KRTCAP2,0.3339508752229644,67651,6569
resnet50,CCRCC,1,LAPTM4B,0.15087407957224402,67651,6569
resnet50,CCRCC,1,LRRC41,0.07987288314816064,67651,6569
resnet50,CCRCC,1,LY6E,0.36705085793504605,67651,6569
resnet50,CCRCC,1,NAMPT,0.14199977447229428,67651,6569
resnet50,CCRCC,1,NOL3,0.3975671834137971,67651,6569
resnet50,CCRCC,1,NOTCH3,0.2809763523404424,67651,6569
resnet50,CCRCC,1,NT5DC2,0.11907733341110066,67651,6569
resnet50,CCRCC,1,PARP10,0.33318608798591004,67651,6569
resnet50,CCRCC,1,PTGS1,0.03930997990309097,67651,6569
resnet50,CCRCC,1,PXN,0.2490427387913206,67651,6569
resnet50,CCRCC,1,RXRA,0.18814165742314545,67651,6569
resnet50,CCRCC,1,S100A9,0.058479261196486776,67651,6569
resnet50,CCRCC,1,SCARB1,0.19216814695807966,67651,6569
resnet50,CCRCC,1,SEMA4B,0.15224712925475634,67651,6569
resnet50,CCRCC,1,SLC15A4,0.12496766170899265,67651,6569
resnet50,CCRCC,1,SLC39A14,0.4376256356827173,67651,6569
resnet50,CCRCC,1,STK39,0.04023172953537635,67651,6569
resnet50,CCRCC,1,TFRC,0.055664516727051444,67651,6569
resnet50,CCRCC,1,TM2D3,0.11726980870011974,67651,6569
resnet50,CCRCC,1,TMEM91,0.45874642152393924,67651,6569
resnet50,CCRCC,1,TP53INP1,0.23301443781408113,67651,6569
resnet50,CCRCC,1,TRBC1,0.3366949116862996,67651,6569
resnet50,CCRCC,1,VMP1,0.27752823406508825,67651,6569
resnet50,CCRCC,1,YWHAE,0.5349773581369545,67651,6569
resnet50,CCRCC,2,AKAP8,0.029727855392200558,63464,10756
resnet50,CCRCC,2,BLVRB,0.30300671006551994,63464,10756
resnet50,CCRCC,2,BTF3,0.5595639403625956,63464,10756
resnet50,CCRCC,2,CD109,0.25208822081458704,63464,10756
resnet50,CCRCC,2,CD14,-0.1553743296964924,63464,10756
resnet50,CCRCC,2,CHST15,0.164953242168774,63464,10756
resnet50,CCRCC,2,CIB1,0.02402716942055499,63464,10756
resnet50,CCRCC,2,CKB,0.17565992237832817,63464,10756
resnet50,CCRCC,2,CPD,-0.022681347149529973,63464,10756
resnet50,CCRCC,2,CPE,0.41641989840155164,63464,10756
resnet50,CCRCC,2,DERL1,0.03231016506010013,63464,10756
resnet50,CCRCC,2,DNAJB12,-0.058409346083793154,63464,10756
resnet50,CCRCC,2,EGFL7,0.44103559570644174,63464,10756
resnet50,CCRCC,2,FLNB,-0.05051007193749953,63464,10756
resnet50,CCRCC,2,GADD45B,0.22644739041293346,63464,10756
resnet50,CCRCC,2,GPNMB,0.1088132652285438,63464,10756
resnet50,CCRCC,2,H3F3A,0.6173424292292657,63464,10756
resnet50,CCRCC,2,HMOX1,0.25291933647191595,63464,10756
resnet50,CCRCC,2,HNRNPK,0.5013956244058367,63464,10756
resnet50,CCRCC,2,HSPA1A,-0.032624970515248666,63464,10756
resnet50,CCRCC,2,HTRA1,0.08745525651083026,63464,10756
resnet50,CCRCC,2,IFI27,-0.0254255664852666,63464,10756
resnet50,CCRCC,2,IFI6,0.2774354107659852,63464,10756
resnet50,CCRCC,2,IRF7,-0.024295130289475313,63464,10756
resnet50,CCRCC,2,ISG15,0.08267295622950627,63464,10756
resnet50,CCRCC,2,KRTCAP2,0.4386308329517792,63464,10756
resnet50,CCRCC,2,LAPTM4B,0.09426460790232769,63464,10756
resnet50,CCRCC,2,LRRC41,0.017334270328183254,63464,10756
resnet50,CCRCC,2,LY6E,0.2886268508682411,63464,10756
resnet50,CCRCC,2,NAMPT,-0.06319457964867968,63464,10756
resnet50,CCRCC,2,NOL3,0.23068489328538824,63464,10756
resnet50,CCRCC,2,NOTCH3,0.20455325592866322,63464,10756
resnet50,CCRCC,2,NT5DC2,0.26547615076351505,63464,10756
resnet50,CCRCC,2,PARP10,0.11911396477758844,63464,10756
resnet50,CCRCC,2,PTGS1,0.18688587248973426,63464,10756
resnet50,CCRCC,2,PXN,0.1079166196140785,63464,10756
resnet50,CCRCC,2,RXRA,0.159292648062256,63464,10756
resnet50,CCRCC,2,S100A9,0.10049431489162525,63464,10756
resnet50,CCRCC,2,SCARB1,0.22345002060597602,63464,10756
resnet50,CCRCC,2,SEMA4B,-0.12276784144296879,63464,10756
resnet50,CCRCC,2,SLC15A4,0.08177769879202272,63464,10756
resnet50,CCRCC,2,SLC39A14,0.0015237072072152723,63464,10756
resnet50,CCRCC,2,STK39,0.14520612253389986,63464,10756
resnet50,CCRCC,2,TFRC,0.06294531205241921,63464,10756
resnet50,CCRCC,2,TM2D3,0.029572849300489826,63464,10756
resnet50,CCRCC,2,TMEM91,0.1314971231343,63464,10756
resnet50,CCRCC,2,TP53INP1,0.06779521664743945,63464,10756
resnet50,CCRCC,2,TRBC1,0.16518250303273405,63464,10756
resnet50,CCRCC,2,VMP1,0.1982110815720974,63464,10756
resnet50,CCRCC,2,YWHAE,0.5161888856830769,63464,10756
resnet50,CCRCC,3,AKAP8,0.32347582563957067,67098,7122
resnet50,CCRCC,3,BLVRB,0.1557897256505377,67098,7122
resnet50,CCRCC,3,BTF3,0.16278027186716662,67098,7122
resnet50,CCRCC,3,CD109,0.358837763007889,67098,7122
resnet50,CCRCC,3,CD14,0.21337419016593276,67098,7122
resnet50,CCRCC,3,CHST15,0.4724672641063444,67098,7122
resnet50,CCRCC,3,CIB1,0.3372970534724332,67098,7122
resnet50,CCRCC,3,CKB,0.39913809056028243,67098,7122
resnet50,CCRCC,3,CPD,0.4291272207605718,67098,7122
resnet50,CCRCC,3,CPE,0.19874486285611281,67098,7122
resnet50,CCRCC,3,DERL1,0.5428568501891299,67098,7122
resnet50,CCRCC,3,DNAJB12,0.22790460219602893,67098,7122
resnet50,CCRCC,3,EGFL7,0.14531650529907975,67098,7122
resnet50,CCRCC,3,FLNB,0.45139483894306925,67098,7122
resnet50,CCRCC,3,GADD45B,0.29604298115899896,67098,7122
resnet50,CCRCC,3,GPNMB,-0.07921858226207548,67098,7122
resnet50,CCRCC,3,H3F3A,-0.08994539626471726,67098,7122
resnet50,CCRCC,3,HMOX1,0.07997288823428725,67098,7122
resnet50,CCRCC,3,HNRNPK,0.1694752556922799,67098,7122
resnet50,CCRCC,3,HSPA1A,0.021973282353360574,67098,7122
resnet50,CCRCC,3,HTRA1,0.3509033948283218,67098,7122
resnet50,CCRCC,3,IFI27,-0.14597975045982028,67098,7122
resnet50,CCRCC,3,IFI6,0.22328757679544256,67098,7122
