encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T
hoptimus0,READ,shipped,random,0,0,0,2128,764,4588,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,random,0,1,0,2128,764,4588,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,random,0,2,0,2128,764,4588,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,random,0,3,0,2128,764,4588,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,random,0,4,0,2128,764,4588,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,random,1,0,0,2128,918,3819,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,random,1,1,0,2128,918,3819,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,random,1,2,0,2128,918,3819,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,random,1,3,0,2128,918,3819,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,random,1,4,0,2128,918,3819,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,patient,0,-1,0,2128,1691,4588,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,patient,1,-1,0,2128,2385,3819,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,donor,READ_specimen1,-1,0,2128,1691,4588,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,donor,READ_specimen7,-1,0,2128,2385,3819,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,slide_out,ZEN36,-1,0,2128,2203,1691,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,slide_out,ZEN36,-1,1,2128,2128,1691,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,slide_out,ZEN36,-1,2,2128,2203,1691,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,slide_out,ZEN40,-1,0,2128,2203,2128,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,slide_out,ZEN40,-1,1,2128,2385,2128,0,0,0,True,True,2128,2128,0.0,0.0,0.0
hoptimus0,READ,shipped,slide_out,ZEN40,-1,2,2128,2385,2128,0,0,0,True,True,2128,2128,0.0,0.0,0.0
