encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T
uni_v2,CCRCC,shipped,patient,0,-1,0,55849,0,18371,0,0,0,True,True,55849,55849,0.0,0.0,0.0
uni_v2,CCRCC,shipped,patient,1,-1,0,67651,0,6569,0,0,0,True,True,67651,67651,0.0,0.0,0.0
uni_v2,CCRCC,shipped,patient,2,-1,0,63464,0,10756,0,0,0,True,True,63464,63464,0.0,0.0,0.0
uni_v2,CCRCC,shipped,patient,3,-1,0,67098,0,7122,0,0,0,True,True,67098,67098,0.0,0.0,0.0
uni_v2,CCRCC,shipped,patient,4,-1,0,59472,0,14748,0,0,0,True,True,59472,59472,0.0,0.0,0.0
uni_v2,CCRCC,shipped,patient,5,-1,0,57566,0,16654,0,0,0,True,True,57566,57566,0.0,0.0,0.0
uni_v2,COAD,shipped,patient,0,-1,0,5079,0,10572,0,0,0,True,True,5079,5079,0.0,0.0,0.0
uni_v2,COAD,shipped,patient,1,-1,0,10572,0,5079,0,0,0,True,True,10572,10572,0.0,0.0,0.0
uni_v2,HCC,shipped,patient,0,-1,0,1941,0,2255,0,0,0,True,True,1941,1941,0.0,0.0,0.0
uni_v2,HCC,shipped,patient,1,-1,0,2255,0,1941,0,0,0,True,True,2255,2255,0.0,0.0,0.0
uni_v2,IDC,shipped,patient,0,-1,0,14775,0,20761,0,0,0,True,True,14775,14775,0.0,0.0,0.0
uni_v2,IDC,shipped,patient,1,-1,0,27776,0,7760,0,0,0,True,True,27776,27776,0.0,0.0,0.0
uni_v2,IDC,shipped,patient,2,-1,0,31526,0,4010,0,0,0,True,True,31526,31526,0.0,0.0,0.0
uni_v2,IDC,shipped,patient,3,-1,0,32531,0,3005,0,0,0,True,True,32531,32531,0.0,0.0,0.0
uni_v2,LUNG,shipped,patient,0,-1,0,1944,0,3262,0,0,0,True,True,1944,1944,0.0,0.0,0.0
uni_v2,LUNG,shipped,patient,1,-1,0,3262,0,1944,0,0,0,True,True,3262,3262,0.0,0.0,0.0
uni_v2,LYMPH_IDC,shipped,patient,0,-1,0,14972,0,4992,0,0,0,True,True,14972,14972,0.0,0.0,0.0
uni_v2,LYMPH_IDC,shipped,patient,1,-1,0,14972,0,4992,0,0,0,True,True,14972,14972,0.0,0.0,0.0
uni_v2,LYMPH_IDC,shipped,patient,2,-1,0,14976,0,4988,0,0,0,True,True,14976,14976,0.0,0.0,0.0
uni_v2,LYMPH_IDC,shipped,patient,3,-1,0,14972,0,4992,0,0,0,True,True,14972,14972,0.0,0.0,0.0
uni_v2,PAAD,shipped,patient,0,-1,0,5561,0,2010,0,0,0,True,True,5561,5561,0.0,0.0,0.0
uni_v2,PAAD,shipped,patient,1,-1,0,3961,0,3610,0,0,0,True,True,3961,3961,0.0,0.0,0.0
uni_v2,PAAD,shipped,patient,2,-1,0,5620,0,1951,0,0,0,True,True,5620,5620,0.0,0.0,0.0
uni_v2,PRAD,shipped,patient,0,-1,0,36819,0,25891,0,0,0,True,True,36819,36819,0.0,0.0,0.0
uni_v2,PRAD,shipped,patient,1,-1,0,25891,0,36819,0,0,0,True,True,25891,25891,0.0,0.0,0.0
uni_v2,READ,shipped,patient,0,-1,0,3819,0,4588,0,0,0,True,True,3819,3819,0.0,0.0,0.0
uni_v2,READ,shipped,patient,1,-1,0,4588,0,3819,0,0,0,True,True,4588,4588,0.0,0.0,0.0
uni_v2,SKCM,shipped,patient,0,-1,0,1741,0,1293,0,0,0,True,True,1741,1741,0.0,0.0,0.0
uni_v2,SKCM,shipped,patient,1,-1,0,1293,0,1741,0,0,0,True,True,1293,1293,0.0,0.0,0.0
