task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit,superseded_label_set
IDC,audited,phikon,slide_out,abs,NCBI783,0.9024315030504715,4.663422260474447,6.227674778469456,0.061235718247365505,0.03633277870216306,slide,True
IDC,audited,phikon,slide_out,abs,NCBI785,0.6585353283458022,3.7361798461317632,9.564239014888079,0.30033083956774725,0.04113383208645054,slide,True
IDC,audited,phikon,slide_out,abs,TENX95,0.8797654639175257,4.851123119049166,7.6416349831169015,0.10384536082474227,0.016389175257731956,slide,True
IDC,audited,phikon,slide_out,abs,TENX99,0.8735292134290256,4.369496600037789,6.538889495463373,0.0322967744007193,0.09417401217025513,slide,True
IDC,audited,phikon,slide_out,scaled,NCBI783,0.8933155851358846,34.360418037970184,36.07292980739636,0.08044370493621741,0.02624070992789795,slide,True
IDC,audited,phikon,slide_out,scaled,NCBI785,0.6892834580216126,5.118933780492532,10.777070920174774,0.27770906068162926,0.0330074812967581,slide,True
IDC,audited,phikon,slide_out,scaled,TENX95,0.890631443298969,97.9442248860585,100.66563059923448,0.0936159793814433,0.015752577319587627,slide,True
IDC,audited,phikon,slide_out,scaled,TENX99,0.8727203249682899,13.389971102061764,15.855103756004345,0.03236645633639998,0.09491321869531011,slide,True
PRAD,shipped,phikon,slide_out,abs,MEND139,0.8646465724193119,2.1832141549778794,2.8225173748081116,0.02962567795856673,0.10572774962212146,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND140,0.8965443583118002,2.0030812581697504,2.5472754583169057,0.09038070628768302,0.013074935400516796,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND141,0.9529208472686733,2.0958415169284925,2.323258824207666,0.03872909698996655,0.008350055741360088,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND142,0.9515026137248359,2.130077419843677,2.334996059165088,0.028842175508842178,0.019655210766321877,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND143,0.9671348707197764,1.938003307300016,2.0556071560395597,0.02414744933612858,0.008717679944095037,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND144,0.9793928980526919,2.107853473118808,2.186457638365296,0.017777777777777778,0.002829324169530355,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND145,0.9473812881993418,2.128055547518706,2.421866885007477,0.0488763516690174,0.003742360131640809,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND146,0.9624236252545826,1.9809924537594306,2.1743034586321657,0.029813306177868298,0.007763068567549218,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND147,0.9568336902212705,2.258089423562742,2.461979232874704,0.03641399000713776,0.006752319771591721,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND148,0.9807919983670136,2.1064506311362527,2.203893789788682,0.013859971422739335,0.005348030210246989,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND149,0.9467134882045741,1.9674531093507792,2.2198810820188335,0.04140104448046101,0.011885467314964884,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND150,0.8984275652008376,2.2510323713400218,2.9511064366638533,0.09252998286693319,0.009042451932229202,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND151,0.9541897435897436,2.177729264530222,2.3550997403923852,0.022156410256410256,0.023653846153846154,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND152,0.9238697815271468,2.2051730466255304,2.585547498352714,0.05160285528877353,0.0245273631840796,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND153,0.9276007326007326,2.24150723762634,2.5735907434108003,0.06341758241758243,0.008981684981684982,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND154,0.8450974658869397,2.0310171778665684,3.0848079141631675,0.08266569200779728,0.07223684210526317,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND156,0.7047364471956481,1.8999562691734182,5.740095008016554,0.21244419433502157,0.08281935846933033,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND157,0.818601880877743,1.9257537547249923,3.1781281521990388,0.0934440961337513,0.08795402298850574,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND158,0.8963691246226823,2.254547117960947,2.9222044279187345,0.08021345407503234,0.023417421302285468,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND159,0.6752264868603043,1.8966889330198031,4.655402125074722,0.03566044260027663,0.2891130705394191,slide,False
PRAD,shipped,phikon,slide_out,abs,MEND160,0.8735049440222277,2.0926932949679915,2.845482009161731,0.02685625561820708,0.09963880035956525,slide,False
