task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit,superseded_label_set
CCRCC,shipped,resnet50,donor,abs,INT1,0.7853997539975399,2.023307075202905,3.2382203679167194,0.022853628536285364,0.1917466174661747,donor,False
CCRCC,shipped,resnet50,donor,abs,INT10,0.8049789880652211,2.2389039357361598,3.978254262727559,0.18288788031601952,0.012133131618759457,donor,False
CCRCC,shipped,resnet50,donor,abs,INT11,0.863080843178133,2.104649447188839,2.9520905654026333,0.09045170257123002,0.04646745425063701,donor,False
CCRCC,shipped,resnet50,donor,abs,INT12,0.8939444061566736,2.291266076375865,2.8637730394991934,0.02724557776246267,0.07881001608086378,donor,False
CCRCC,shipped,resnet50,donor,abs,INT13,0.9158201422344575,2.2381272738748965,2.7508846660101263,0.07768448420891642,0.006495373556626137,donor,False
CCRCC,shipped,resnet50,donor,abs,INT14,0.970866578985825,2.1889585500760282,2.2921063095688416,0.02333625602805787,0.0057971649861172,donor,False
CCRCC,shipped,resnet50,donor,abs,INT15,0.9312456140350877,2.125363394090691,2.4489039524781506,0.048551956815114705,0.02020242914979757,donor,False
CCRCC,shipped,resnet50,donor,abs,INT16,0.9385901434809732,2.0868236632449464,2.6308475151818214,0.046631316281971306,0.01477854023705552,donor,False
CCRCC,shipped,resnet50,donor,abs,INT17,0.9329019060901906,2.0451134900931778,2.418378496797159,0.058979079497907955,0.00811901441190144,donor,False
CCRCC,shipped,resnet50,donor,abs,INT18,0.8728789420142421,2.25315220938652,3.168847347101506,0.09016751441166497,0.03695354357409291,donor,False
CCRCC,shipped,resnet50,donor,abs,INT19,0.9716127728375102,2.170313598449486,2.2962268484878057,0.018744273780652115,0.00964295338183778,donor,False
CCRCC,shipped,resnet50,donor,abs,INT2,0.9470077519379845,2.2498866800933848,2.5158109356160363,0.037720930232558146,0.015271317829457365,donor,False
CCRCC,shipped,resnet50,donor,abs,INT20,0.9624170096021949,2.0599236594317722,2.2190555277306716,0.025473251028806584,0.012109739368998626,donor,False
CCRCC,shipped,resnet50,donor,abs,INT21,0.920692797319933,2.295877968838829,2.807459659646136,0.06194974874371859,0.01735745393634841,donor,False
CCRCC,shipped,resnet50,donor,abs,INT22,0.8608897014015845,2.029555815210616,3.0108282096749206,0.09889440236789415,0.04021589623052146,donor,False
CCRCC,shipped,resnet50,donor,abs,INT23,0.8645383806519452,2.3074677222997297,3.492323279768494,0.1259404135997196,0.009521205748335088,donor,False
CCRCC,shipped,resnet50,donor,abs,INT24,0.9228011825572802,2.1455358175210955,2.871037716698351,0.06764966740576496,0.009549150036954916,donor,False
CCRCC,shipped,resnet50,donor,abs,INT3,0.95715661850191,2.4030907580728518,2.600399925824524,0.031237335990699222,0.011606045507390798,donor,False
CCRCC,shipped,resnet50,donor,abs,INT4,0.90763528539659,2.1518164484495474,2.6292963002726952,0.012913269088213492,0.07945144551519644,donor,False
CCRCC,shipped,resnet50,donor,abs,INT5,0.263282743114109,2.002151629469958,17.595457592345912,0.7318718381112985,0.004845418774592468,donor,False
CCRCC,shipped,resnet50,donor,abs,INT6,0.8732300357568534,2.272571977103007,2.989284866978854,0.041974572904251085,0.0847953913388955,donor,False
CCRCC,shipped,resnet50,donor,abs,INT7,0.8369615276607695,2.0305777470954096,3.360745858287799,0.13884302162313958,0.024195450716090985,donor,False
CCRCC,shipped,resnet50,donor,abs,INT8,0.7218505216350266,2.048446542580308,4.7880906874569416,0.26698477851889857,0.01116469984607491,donor,False
CCRCC,shipped,resnet50,donor,abs,INT9,0.8661910377358492,2.31838576285765,3.2896626407269625,0.022264150943396222,0.11154481132075472,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT1,0.9387146371463714,2.516352039338108,2.7373015775667433,0.017453874538745386,0.04383148831488315,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT10,0.8065187426458228,2.209040457381617,4.0265547543042395,0.1887376029584804,0.004743654395696756,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT11,0.8658003242992819,2.1049854352201565,3.028520790152335,0.10729210099606208,0.026907574704656007,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT12,0.9502412129565817,2.7465908562848504,3.0207492519087755,0.02249483115093039,0.02726395589248794,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT13,0.8468471361933165,1.8371319441050742,2.973635465824993,0.14507149957941423,0.008081364227269251,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT14,0.9504559403770276,2.0226822211366557,2.249702062948065,0.04689463685518047,0.0026494227677919036,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT15,0.9328353576248313,2.215122755094366,2.5905482581930017,0.059184885290148447,0.007979757085020243,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT16,0.8913183614056978,1.697428639061598,2.577439649309415,0.09652318569349137,0.01215845290081098,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT17,0.8607940492794048,1.5866419650943973,2.5773359512334006,0.13380753138075316,0.005398419339841934,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT18,0.8978338419803323,2.4037039795295168,3.165935061285332,0.08486266531027468,0.017303492709393017,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT19,0.9225127997844247,1.6795034708515353,2.0875362570407514,0.06749663163567772,0.009990568579897602,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT2,0.9435167958656331,2.2273623178343196,2.54547819848246,0.04989922480620155,0.006583979328165374,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT20,0.916570644718793,1.6102999189790974,2.0606235951067577,0.07081069958847737,0.012618655692729767,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT21,0.9131443886097151,2.2335683867216196,2.8350986181261515,0.07630418760469011,0.01055142378559464,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT22,0.8710350831374597,2.1996556109638252,3.1458792054618137,0.10006790284669627,0.028897014015843995,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT23,0.8731132141605329,2.4351369752391165,3.58351629396005,0.12365509989484753,0.0032316859446196986,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT24,0.8890716925351071,1.922095790488379,2.919033282506682,0.10477161862527717,0.006156688839615669,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT3,0.9453911310413553,2.5093821904483264,2.87327277157792,0.05424348114931075,0.00036538780933399766,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT4,0.961235483073882,2.3366469251981,2.5159455706294342,0.01776130467012602,0.021003212255992092,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT5,0.32839797639123103,2.4458515353362675,14.97925117259669,0.6701573917931422,0.0014446318156267565,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT6,0.9297655939610646,2.6817036157367617,3.065912648242658,0.04201032975764799,0.028224076281287244,donor,False
CCRCC,shipped,resnet50,donor,scaled,INT7,0.8353496208930076,2.0324195747319163,3.574343056852945,0.15822521763549566,0.006425161471496771,donor,False
