task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit,superseded_label_set
CCRCC,shipped,uni_v1,donor,abs,INT1,0.7330811808118082,2.0228639679343634,3.685959429978675,0.021463714637146372,0.2454551045510455,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT10,0.8013313161875946,2.1604800879488875,3.9147716773677033,0.19284585644646157,0.005822827365943857,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT11,0.8216446606439657,2.048982231962545,3.0541047461449953,0.06966875144776465,0.10868658790826963,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT12,0.852965770732828,2.176407370940726,2.991141452658649,0.01916838961635654,0.12786583965081552,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT13,0.9074130152175576,2.1977789431565036,2.7870874108201646,0.08821748107364075,0.004369503708801713,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT14,0.9596098202542743,2.1544819237961943,2.3111139736007735,0.033200350723366946,0.007189829022358614,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT15,0.9186612685560055,2.0710155412200435,2.413431245959812,0.034213225371120114,0.047125506072874496,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT16,0.9261863173216884,2.004838782815308,2.656428312571154,0.066126013724267,0.0076876689540445005,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT17,0.944792189679219,2.057916275710856,2.3547703969929987,0.044334728033472805,0.01087308228730823,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT18,0.8765846049508307,2.2486830658010475,3.233960024404199,0.10130891827738216,0.022106476771787047,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT19,0.9764254917811911,2.1043916054528524,2.191789839775472,0.01643761789275128,0.007136890326057667,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT2,0.9354573643410853,2.164314577151966,2.48523417364594,0.037656330749354004,0.02688630490956072,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT20,0.9555761316872428,2.0166840199024616,2.1697596727028325,0.012205761316872428,0.03221810699588477,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT21,0.9312804020100502,2.2999227817979886,2.7296970593290784,0.0592817420435511,0.009437855946398661,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT22,0.8553199268738574,1.9805565476082378,2.7498880252015145,0.0708853486550013,0.07379472447114128,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT23,0.8634237644584647,2.279544048737399,3.4440194354505445,0.1278191377497371,0.008757097791798106,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT24,0.914240946045824,2.117360731549899,2.9174570358959713,0.07982557280118256,0.005933481152993349,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT3,0.9669390466699884,2.3997161430210525,2.536725878154129,0.025597076897525328,0.007463876432486298,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT4,0.8816703731158883,2.0702027085307866,2.731034793914952,0.010521373857178157,0.10780825302693353,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT5,0.26487914558740866,1.9696506456663645,17.50517926047133,0.7314896008993816,0.0036312535132096684,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT6,0.8767977751291219,2.1732876006223285,2.8032511011133123,0.05053635280095351,0.07266587206992452,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT7,0.8518786857624262,1.9799320961195948,3.0330747621917866,0.10853131142937378,0.039590002808199944,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT8,0.7493860099196169,2.0278813235152087,4.215112507859341,0.23336069779374038,0.017253292286642723,donor,False
CCRCC,shipped,uni_v1,donor,abs,INT9,0.9267885220125787,2.2999122129769827,2.672646844137045,0.043085691823899375,0.030125786163522014,donor,False
CCRCC,shipped,uni_v1,donor,scaled,INT1,0.8078290282902829,2.3277175912187134,3.287187715554125,0.0157380073800738,0.17643296432964328,donor,False
CCRCC,shipped,uni_v1,donor,scaled,INT10,0.8036006051437217,2.0461126191774928,3.744717283360302,0.1942444108253488,0.002154984030929568,donor,False
CCRCC,shipped,uni_v1,donor,scaled,INT11,0.8629881862404448,2.1965670717340515,2.9926366839184886,0.07248552235348622,0.06452629140606903,donor,False
CCRCC,shipped,uni_v1,donor,scaled,INT12,0.9144314266023432,2.4795540869734034,2.970208732454425,0.012754422237537331,0.07281415116011947,donor,False
CCRCC,shipped,uni_v1,donor,scaled,INT13,0.8730932170987229,2.0402892134019126,2.9379539872925453,0.12198822359868472,0.004918559302592338,donor,False
CCRCC,shipped,uni_v1,donor,scaled,INT14,0.9286730965950607,1.9233546220175164,2.246428957564272,0.061069706269180186,0.01025719713575917,donor,False
CCRCC,shipped,uni_v1,donor,scaled,INT15,0.9338556005398111,2.204569049099875,2.4740822213328,0.03718623481781377,0.028958164642375172,donor,False
