task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit,superseded_label_set
IDC,audited,uni_v2,slide_out,abs,NCBI783,0.8995851358846366,4.240603874570416,5.672513994020598,0.058216306156405995,0.04219855795895729,slide,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,0.728525353283458,3.598810853085329,7.348852768733326,0.22725353283458025,0.04422111388196176,slide,True
IDC,audited,uni_v2,slide_out,abs,TENX95,0.872852233676976,4.360825914225838,7.213218881554666,0.11122079037800688,0.015926975945017182,slide,True
IDC,audited,uni_v2,slide_out,abs,TENX99,0.856889038742514,3.9182295551690474,6.216277412502635,0.03407639323731998,0.10903456802016602,slide,True
IDC,audited,uni_v2,slide_out,scaled,NCBI783,0.8782739877981142,4.745883168466808,6.390242187123952,0.0770471436494731,0.04467886855241265,slide,True
IDC,audited,uni_v2,slide_out,scaled,NCBI785,0.7766583541147131,4.700344540949633,7.821751806916814,0.19549625935162096,0.027845386533665837,slide,True
IDC,audited,uni_v2,slide_out,scaled,TENX95,0.875372852233677,5.214807663272911,8.088456797096727,0.10931529209621993,0.015311855670103092,slide,True
IDC,audited,uni_v2,slide_out,scaled,TENX99,0.8429590739045967,4.046058751990045,6.982184730050345,0.03998651317373922,0.11705441292166403,slide,True
PRAD,shipped,uni_v2,slide_out,abs,MEND139,0.8490495243175958,2.1441419572161204,2.9193941078848424,0.03432204143327109,0.1166284342491331,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,0.896761412575366,2.005768301415581,2.5480386040349274,0.08951593453919034,0.013722652885443583,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,0.9535748792270531,2.0970909654478955,2.3367123346416143,0.04249721293199554,0.0039279078409513194,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND142,0.9536625514403293,2.14774148629198,2.3522316041854734,0.03327327327327328,0.013064175286397509,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND143,0.9669951083158631,1.9341936209533195,2.0581331073240294,0.03019392033542977,0.0028109713487071974,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND144,0.9761332024218622,2.097974388259286,2.1944450332736296,0.021304205531009656,0.0025625920471281298,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND145,0.950719322990127,2.1242355502543755,2.3911170620690445,0.04757404795486601,0.0017066290550070522,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND146,0.9653530210454854,1.9552996047095068,2.1328458890339568,0.02598099117447386,0.008665987780040733,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND147,0.9635717344753747,2.2898652900801877,2.4495587712064695,0.025284796573875803,0.011143468950749464,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND148,0.9823229230455195,2.101782353077615,2.1883625803119773,0.013741579914268219,0.003935497040212288,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND149,0.9569818116333514,1.9699246731833415,2.170838661745401,0.03553394561498289,0.007484242751665766,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND150,0.9113687416714259,2.2942301844552273,2.8669966130308584,0.07667618503712165,0.011955073291452503,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND151,0.955651282051282,2.1861764502618732,2.352107044882416,0.01688974358974359,0.02745897435897436,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND152,0.9270625135193598,2.1946890715578653,2.5645202152082645,0.04935107073329007,0.02358641574735021,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND153,0.9162783882783883,2.252043887996756,2.662949388986155,0.07587545787545787,0.007846153846153846,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND154,0.8478070175438597,2.012657068117633,3.096795153018712,0.083979044834308,0.06821393762183235,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND156,0.7253404614518852,1.8754907831862522,5.944259304619475,0.2154004877133746,0.0592590508347402,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND157,0.8150428422152561,1.893537556690674,3.163396172467745,0.09128735632183908,0.09366980146290492,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND158,0.8886050021561017,2.2132898859674053,2.933608336787547,0.07622897800776197,0.035166019836136264,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND159,0.6339903181189489,1.8397657331959365,5.2726239907036065,0.03716804979253112,0.3288416320885201,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND160,0.8731551850943858,2.1044561340304924,2.8756788324391445,0.026230285200621067,0.10061452970499306,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND161,0.7676372372372372,2.069702515198642,4.042228341495522,0.200024024024024,0.032338738738738736,slide,False
PRAD,shipped,uni_v2,slide_out,abs,MEND162,0.9582062092755845,1.8636163982345302,2.176641967620182,0.02174779609045611,0.02004599463395937,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND139,0.8986858717880324,2.3482268530341774,2.9252746222524,0.03776473726327021,0.06354939094869744,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND140,0.8685891472868216,1.7575493426985436,2.49836113367469,0.12385185185185184,0.007559000861326443,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND141,0.9158751393534003,1.6974529882449563,2.137123664824185,0.07642883686361947,0.0076960237829803045,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND142,0.9315248581915249,1.8397612611872332,2.158418981652052,0.056249582916249576,0.01222555889222556,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND143,0.9134800838574423,1.481838258163962,1.889726798853637,0.08339972047519217,0.0031201956673654785,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND144,0.9110489281623302,1.386434428917006,1.834301308637632,0.08569464899361806,0.00325642284405171,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND145,0.9019652092148567,1.57729763426689,2.1287838392491722,0.09479548660084626,0.003239304184297132,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND146,0.9259742023082146,1.4517000802395241,1.8525969980417176,0.06784114052953157,0.0061846571622539035,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND147,0.9246509635974304,1.850671758264377,2.2827073412280763,0.06785724482512491,0.007491791577444683,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND148,0.9320963461931008,1.3234588044255553,1.6718891383182142,0.06333945703204735,0.004564196774852011,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND149,0.9269872141184945,1.6759279085588599,2.0297914977122984,0.06632090761750405,0.006691878264001441,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND150,0.887371026080335,2.055155152929036,2.748342922249421,0.10555492099752523,0.00707405292213973,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND151,0.9332333333333334,1.9105251769249019,2.230242153837272,0.048164102564102564,0.0186025641025641,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND152,0.9331300021630975,2.2134791193929417,2.6180150651879632,0.055807916937053864,0.011062080899848581,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND153,0.8386959706959707,1.809219276306731,2.795059365925859,0.1366043956043956,0.0246996336996337,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND154,0.8911890838206628,2.0606944042445114,2.7611895587766617,0.08225877192982456,0.02655214424951267,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND156,0.8080116300881635,2.200817518441821,5.171573507918809,0.18015944475708123,0.011828925154755206,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND157,0.9195235109717869,2.3274332343691646,2.798049710344911,0.06710344827586207,0.013373040752351096,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND158,0.8533074601121173,1.862410664427853,2.9166402036643766,0.1327511858559724,0.013941354031910306,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND159,0.9482105809128631,3.041817716826078,3.360680824027522,0.0280515214384509,0.02373789764868603,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND160,0.9577347389065948,2.3504046728190624,2.5627694566655728,0.02618125357522268,0.01608400751818256,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND161,0.8049321321321322,2.1351589747932667,3.7355599221248768,0.1876684684684685,0.007399399399399399,slide,False
PRAD,shipped,uni_v2,slide_out,scaled,MEND162,0.9023840551935608,1.2087155555030833,1.9276194868130776,0.05789446786763767,0.039721476938801584,slide,False
READ,shipped,uni_v2,slide_out,abs,ZEN36,0.7791523753203232,1.4457144002954105,3.4679822298894476,0.208247585255273,0.012600039424403707,slide,False
READ,shipped,uni_v2,slide_out,abs,ZEN40,0.7716791979949874,1.3329631187449027,2.585869440403572,0.057020676691729326,0.1713001253132832,slide,False
READ,shipped,uni_v2,slide_out,abs,ZEN48,0.9324640111809924,1.9260375933640976,2.321628496114531,0.041808525506638716,0.02572746331236897,slide,False
READ,shipped,uni_v2,slide_out,abs,ZEN49,0.9078650325313967,1.766966080481822,2.29055796501104,0.05676804357694054,0.035366923891662884,slide,False
READ,shipped,uni_v2,slide_out,scaled,ZEN36,0.8304119850187265,3.4593652326444357,4.9288334971938275,0.1644667849398778,0.005121230041395624,slide,False
READ,shipped,uni_v2,slide_out,scaled,ZEN40,0.8436685463659148,1.857668378426619,2.6124041878969444,0.062192982456140355,0.09413847117794487,slide,False
READ,shipped,uni_v2,slide_out,scaled,ZEN48,0.9324388539482878,4.528521264403175,4.89306166799036,0.057716282320055906,0.009844863731656184,slide,False
READ,shipped,uni_v2,slide_out,scaled,ZEN49,0.8877258284157966,3.4089332536988137,4.0752913550524825,0.09273112422454229,0.01954304735966107,slide,False
