task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit,superseded_label_set
CCRCC,shipped,virchow2,donor,abs,INT1,0.7656396063960639,2.0304384819084027,3.429506377222405,0.02387453874538745,0.21048585485854857,donor,False
CCRCC,shipped,virchow2,donor,abs,INT10,0.7836140527819802,2.104446370284968,4.033574922835579,0.20878130778282064,0.007604639435199193,donor,False
CCRCC,shipped,virchow2,donor,abs,INT11,0.7811860088024091,1.9971295888698546,3.3689083149729124,0.05985174889969886,0.15896224229789205,donor,False
CCRCC,shipped,virchow2,donor,abs,INT12,0.8447645302090513,2.1256615137745514,2.958987081749145,0.018676774638180564,0.1365586951527682,donor,False
CCRCC,shipped,virchow2,donor,abs,INT13,0.9214116387550663,2.1332601716211474,2.5864453502895697,0.07457979658943183,0.004008564655502026,donor,False
CCRCC,shipped,virchow2,donor,abs,INT14,0.9712421452579277,2.175864593399453,2.2714181597241296,0.023074674850211894,0.005683179891860295,donor,False
CCRCC,shipped,virchow2,donor,abs,INT15,0.9233508771929825,2.0132548565868458,2.384362000281634,0.061906882591093115,0.014742240215924426,donor,False
CCRCC,shipped,virchow2,donor,abs,INT16,0.9204262840507381,1.9586505518176514,2.631111885638564,0.07059471823663964,0.008978997712622167,donor,False
CCRCC,shipped,virchow2,donor,abs,INT17,0.9426164574616457,2.0002512907041416,2.2717004585874965,0.04259042305904231,0.014793119479311946,donor,False
CCRCC,shipped,virchow2,donor,abs,INT18,0.8878684299762631,2.2512645960366675,3.0193664157266995,0.08130891827738217,0.030822651746354696,donor,False
CCRCC,shipped,virchow2,donor,abs,INT19,0.979403125842091,2.0691408642355786,2.1414090692533683,0.013117758016707087,0.007479116141201832,donor,False
CCRCC,shipped,virchow2,donor,abs,INT2,0.9200413436692507,2.140301882741231,2.5329396832942783,0.03765116279069767,0.04230749354005168,donor,False
CCRCC,shipped,virchow2,donor,abs,INT20,0.9522578875171468,2.0111577401371896,2.1721805612050913,0.010814814814814814,0.03692729766803841,donor,False
CCRCC,shipped,virchow2,donor,abs,INT21,0.9261748743718593,2.292590319183227,2.8003933911711187,0.06738894472361809,0.006436180904522614,donor,False
CCRCC,shipped,virchow2,donor,abs,INT22,0.8839958213632801,1.9725470104195335,2.788451104190317,0.0953704187342213,0.020633759902498477,donor,False
CCRCC,shipped,virchow2,donor,abs,INT23,0.8711910269891342,2.243721162925444,3.2397206151612017,0.11371468629512795,0.01509428671573782,donor,False
CCRCC,shipped,virchow2,donor,abs,INT24,0.9255003695491499,2.104878472647878,2.8009523603886657,0.06765410199556542,0.006845528455284553,donor,False
CCRCC,shipped,virchow2,donor,abs,INT3,0.966846038863976,2.372680136762092,2.506895986073449,0.026902507889054975,0.006251453246968942,donor,False
CCRCC,shipped,virchow2,donor,abs,INT4,0.8616506053867062,2.0462857827577414,2.8020000513535552,0.008885594267358536,0.12946380034593527,donor,False
CCRCC,shipped,virchow2,donor,abs,INT5,0.2626700393479483,1.9452296324186726,17.460939167345575,0.7338392355255762,0.0034907251264755476,donor,False
CCRCC,shipped,virchow2,donor,abs,INT6,0.897787048073103,2.167675548883966,2.7239113837770645,0.05934843067143425,0.04286452125546286,donor,False
CCRCC,shipped,virchow2,donor,abs,INT7,0.8365515304689694,1.9527233550536431,3.1182065160489887,0.11499297950014041,0.048455490030890204,donor,False
CCRCC,shipped,virchow2,donor,abs,INT8,0.7408175132546605,2.0176234229989842,4.291553193751721,0.2407114759705832,0.018471010774756283,donor,False
CCRCC,shipped,virchow2,donor,abs,INT9,0.9149764150943396,2.296696578255385,2.7300912423091055,0.035896226415094344,0.049127358490566035,donor,False
CCRCC,shipped,virchow2,donor,scaled,INT1,0.8111808118081182,2.2629286272293654,3.2786384593747546,0.018646986469864697,0.17017220172201722,donor,False
CCRCC,shipped,virchow2,donor,scaled,INT10,0.7871642292822324,2.003271601550499,3.8729058866465143,0.20925533703143384,0.003580433686333838,donor,False
CCRCC,shipped,virchow2,donor,scaled,INT11,0.8648783877692843,2.3415991897388815,3.127267098265815,0.05441278665740098,0.08070882557331481,donor,False
CCRCC,shipped,virchow2,donor,scaled,INT12,0.8933517114633586,2.329759004856187,2.9277676906955854,0.013824948311509303,0.0928233402251321,donor,False
