task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit
CCRCC,shipped,virchow,donor,abs,INT1,0.7988991389913899,2.0199152631406445,3.1405021258521004,0.023671586715867162,0.17742927429274294,donor
CCRCC,shipped,virchow,donor,abs,INT10,0.7761775088250126,2.1049676672998774,4.175818693260645,0.21816775928727516,0.00565473188771222,donor
CCRCC,shipped,virchow,donor,abs,INT11,0.8290989112809822,2.042233947836011,3.0404625229064774,0.06319666435024322,0.1077044243687746,donor
CCRCC,shipped,virchow,donor,abs,INT12,0.8150103376981392,2.142814088245944,3.153402291919813,0.014063864001837812,0.17092579830002297,donor
CCRCC,shipped,virchow,donor,abs,INT13,0.9261390227116312,2.1992449529917306,2.635655318579156,0.07093064158446127,0.002930335703907624,donor
CCRCC,shipped,virchow,donor,abs,INT14,0.9649715037264358,2.1543374407733547,2.28092264368399,0.02926494227677919,0.005763553996785037,donor
CCRCC,shipped,virchow,donor,abs,INT15,0.936557354925776,2.0956306317985987,2.368369108998411,0.04119163292847503,0.022251012145748986,donor
CCRCC,shipped,virchow,donor,abs,INT16,0.9127095030151798,2.016504310535289,2.7407492917868606,0.06996880848409233,0.0173216885007278,donor
CCRCC,shipped,virchow,donor,abs,INT17,0.9462724314272432,2.000419876982496,2.2684191096958215,0.04362807996280799,0.01009948860994886,donor
CCRCC,shipped,virchow,donor,abs,INT18,0.865955917260088,2.2150530636231127,3.20537414721541,0.10559647338080706,0.028447609359104783,donor
CCRCC,shipped,virchow,donor,abs,INT19,0.9793680948531392,2.0895417706261283,2.161379660249166,0.013652654271085961,0.006979250875774724,donor
CCRCC,shipped,virchow,donor,abs,INT2,0.927609819121447,2.161296919827368,2.527305680083157,0.03744186046511628,0.03494832041343669,donor
CCRCC,shipped,virchow,donor,abs,INT20,0.9553744855967078,2.0347825699626276,2.201938562260355,0.014419753086419754,0.03020576131687243,donor
CCRCC,shipped,virchow,donor,abs,INT21,0.931208040201005,2.3046005967249017,2.753417676433783,0.05993165829145728,0.008860301507537688,donor
CCRCC,shipped,virchow,donor,abs,INT22,0.8724854182989467,1.9653504111825704,2.725907570259533,0.08062679550796553,0.04688778619308784,donor
CCRCC,shipped,virchow,donor,abs,INT23,0.8712611286365229,2.287717377332171,3.2595098464621373,0.1163757448300035,0.012363126533473537,donor
CCRCC,shipped,virchow,donor,abs,INT24,0.9222158167036216,2.1600174734704716,2.8859064542517685,0.07194530672579454,0.005838876570583888,donor
CCRCC,shipped,virchow,donor,abs,INT3,0.9666135193489453,2.3902166281186408,2.5293123572675085,0.024577312738747716,0.008809167912306926,donor
CCRCC,shipped,virchow,donor,abs,INT4,0.895868544600939,2.07081657031862,2.6649024833917245,0.012325179145045712,0.09180627625401533,donor
CCRCC,shipped,virchow,donor,abs,INT5,0.27010118043844855,1.9614849162788441,16.90449090932894,0.7264980326025858,0.0034007869589657105,donor
CCRCC,shipped,virchow,donor,abs,INT6,0.8920182757250695,2.1746904112576657,2.743017044487299,0.048355184743742556,0.059626539531187926,donor
CCRCC,shipped,virchow,donor,abs,INT7,0.8381241224375175,2.0015834834202675,3.220799426224989,0.12502667789946645,0.03684919966301601,donor
CCRCC,shipped,virchow,donor,abs,INT8,0.7493381221139046,2.012042627697912,4.1406789861364075,0.22581836839404823,0.024843509492047205,donor
CCRCC,shipped,virchow,donor,abs,INT9,0.908683176100629,2.303440111057876,2.7750290862578506,0.033545597484276726,0.057771226415094336,donor
CCRCC,shipped,virchow,donor,scaled,INT1,0.8833148831488314,2.3104587815805173,2.7950650822406975,0.02076260762607626,0.09592250922509225,donor
CCRCC,shipped,virchow,donor,scaled,INT10,0.7567355858127417,1.8895605561166053,4.073911006472447,0.23886703647671878,0.004397377710539586,donor
CCRCC,shipped,virchow,donor,scaled,INT11,0.8676997915218903,2.2043619517074395,2.977863383596464,0.060194579569145236,0.07210562890896456,donor
CCRCC,shipped,virchow,donor,scaled,INT12,0.8647737192740639,2.336673502474437,3.0680666732673196,0.010976338157592464,0.12424994256834367,donor
CCRCC,shipped,virchow,donor,scaled,INT13,0.9131436873900741,2.115640845564656,2.666967245010929,0.0843113864036094,0.0025449262063164334,donor
CCRCC,shipped,virchow,donor,scaled,INT14,0.93226801110624,1.8706940381416892,2.1711518258971494,0.059831945053339185,0.007900043840420867,donor
CCRCC,shipped,virchow,donor,scaled,INT15,0.9320391363022941,2.0717028923551553,2.390001204673886,0.050960863697705805,0.017,donor
CCRCC,shipped,virchow,donor,scaled,INT16,0.8451653150343107,1.6538608138480813,2.88182500462308,0.13863589103763777,0.01619879392805157,donor
CCRCC,shipped,virchow,donor,scaled,INT17,0.9060994886099488,1.6355213392075747,2.1670377684452418,0.08488702928870294,0.009013482101348209,donor
CCRCC,shipped,virchow,donor,scaled,INT18,0.8616995591726009,2.1912760903214887,3.267403964146063,0.1188321464903357,0.019468294337063412,donor
CCRCC,shipped,virchow,donor,scaled,INT19,0.945675020210186,1.655322222834115,1.8896036432904044,0.04309350579358664,0.011231473996227433,donor
CCRCC,shipped,virchow,donor,scaled,INT2,0.9237467700258398,2.146396583155529,2.5496495926479543,0.04867441860465116,0.027578811369509043,donor
CCRCC,shipped,virchow,donor,scaled,INT20,0.9615445816186557,2.0364271545428028,2.1918336236527067,0.021547325102880658,0.01690809327846365,donor
CCRCC,shipped,virchow,donor,scaled,INT21,0.9323095477386936,2.2792799521308797,2.6900828831162706,0.06197252931323283,0.005717922948073702,donor
CCRCC,shipped,virchow,donor,scaled,INT22,0.8837990772177243,2.0506136147434053,2.7676483837287194,0.0837120222860625,0.03248890049621311,donor
CCRCC,shipped,virchow,donor,scaled,INT23,0.8830984928145812,2.436695314308187,3.2832840612975125,0.10935015772870664,0.007551349456712233,donor
CCRCC,shipped,virchow,donor,scaled,INT24,0.8863858093126386,1.8898375439606028,2.8461414892046952,0.10747228381374724,0.0061419068736141905,donor
CCRCC,shipped,virchow,donor,scaled,INT3,0.9660554725128717,2.507102793645053,2.682282249277538,0.03336987211426673,0.0005746553728616508,donor
CCRCC,shipped,virchow,donor,scaled,INT4,0.9444279713367928,2.235912764446242,2.5046161478381666,0.01796392389424265,0.037608104768964666,donor
CCRCC,shipped,virchow,donor,scaled,INT5,0.3519449128724002,2.4820602126078573,13.835126488436785,0.6474985947161326,0.0005564924114671164,donor
CCRCC,shipped,virchow,donor,scaled,INT6,0.9170679380214541,2.2878884010754637,2.7302862957614935,0.04976162097735399,0.033170441001191896,donor
CCRCC,shipped,virchow,donor,scaled,INT7,0.8737826453243471,2.204774619454678,3.2034219461969813,0.11505195169896097,0.01116540297669194,donor
CCRCC,shipped,virchow,donor,scaled,INT8,0.8147083974687873,2.3264931171017484,3.8079807493947335,0.17668205917564564,0.008609543355566957,donor
CCRCC,shipped,virchow,donor,scaled,INT9,0.9621658805031448,2.718349197171294,2.9040402034050365,0.025180817610062894,0.012653301886792452,donor
CCRCC,shipped,virchow,patient,abs,0,0.9566772698924143,2.646545228821374,2.9430990166449633,0.03849857491542138,0.004824155192164207,patient
CCRCC,shipped,virchow,patient,abs,1,0.7785506861807283,1.9896076042222266,3.622398010688128,0.08298203399371436,0.1384672798255574,patient
CCRCC,shipped,virchow,patient,abs,2,0.8442684203493885,2.3279206965071655,3.504891641171015,0.12286998462721581,0.032861595023395716,patient
CCRCC,shipped,virchow,patient,abs,3,0.7049924941003379,1.9061373212751864,6.376316298844565,0.20372332203815383,0.09128418386150815,patient
CCRCC,shipped,virchow,patient,abs,4,0.9092139566009451,2.1857933804608427,2.7344174125809366,0.03709410332512252,0.05369194007393228,patient
CCRCC,shipped,virchow,patient,abs,5,0.9469181299989525,2.4162484720961803,2.787509861724773,0.0398328668911179,0.013249003109929528,patient
CCRCC,shipped,virchow,patient,scaled,0,0.9317815764958031,2.5601026868831247,3.039199390383096,0.06367090693171114,0.004547516572485891,patient
CCRCC,shipped,virchow,patient,scaled,1,0.8437960904207825,2.2968378823552125,3.3249907927493303,0.07442100292664762,0.08178290665256992,patient
CCRCC,shipped,virchow,patient,scaled,2,0.8713231773161239,2.4803084476044215,3.445510673535305,0.10962906237717891,0.019047760306697307,patient
CCRCC,shipped,virchow,patient,scaled,3,0.7712072937636733,2.196753917509167,5.545379652182011,0.1868864377655993,0.041906268470727516,patient
CCRCC,shipped,virchow,patient,scaled,4,0.9135349670506003,2.1792833257111686,2.6730831012135376,0.04289624259155409,0.043568790357845555,patient
CCRCC,shipped,virchow,patient,scaled,5,0.9054070393557921,2.0506382008596784,2.7226969274117114,0.08515559894681886,0.009437361697389087,patient
CCRCC,shipped,virchow,random,abs,0,0.883436590479276,1.6163626624253475,2.192177545977136,0.07460231117999985,0.04196109834072419,spot
CCRCC,shipped,virchow,random,abs,1,0.8835469269540062,1.6182501437345969,2.192685813830519,0.07439431188252683,0.04205876116346706,spot
CCRCC,shipped,virchow,random,abs,2,0.8814999257885967,1.6145909752424206,2.2071698681936924,0.07693252546655575,0.041567548744847506,spot
CCRCC,shipped,virchow,random,abs,3,0.8815714433502879,1.6153159727987838,2.2112780715567797,0.07595535714521784,0.042473199504494234,spot
CCRCC,shipped,virchow,random,abs,4,0.8825920342997022,1.6173403833238176,2.2016930333096774,0.07669140843607722,0.04071655726422042,spot
CCRCC,shipped,virchow,random,abs,5,0.8824833500368209,1.6174570413756946,2.2010370572328113,0.07586021816462107,0.041656431798558026,spot
CCRCC,shipped,virchow,random,scaled,0,0.8993901221906537,1.595904830146108,2.075221883928081,0.0782689812211032,0.022340896588243016,spot
CCRCC,shipped,virchow,random,scaled,1,0.899604547020784,1.5945131404549606,2.0739934167399516,0.07815834085596664,0.022237112123249404,spot
CCRCC,shipped,virchow,random,scaled,2,0.8981337771435707,1.5954346309831624,2.083472380566941,0.07980980749169399,0.022056415364735453,spot
CCRCC,shipped,virchow,random,scaled,3,0.8981622655624474,1.5961612699398184,2.0814532378522617,0.07882969874607229,0.023008035691480307,spot
CCRCC,shipped,virchow,random,scaled,4,0.8993345748639768,1.5975801641680598,2.0785618680217848,0.07935136135673095,0.02131406377929227,spot
CCRCC,shipped,virchow,random,scaled,5,0.8991089248125741,1.597333247752427,2.077797758470708,0.07894551593572356,0.02194555925170234,spot
COAD,shipped,virchow,donor,abs,COAD_Oliveira_P1,0.8978545119705341,3.44758432845995,4.499823814416145,0.0269963167587477,0.07514917127071823,donor
COAD,shipped,virchow,donor,abs,COAD_Oliveira_P2,0.8445412541254126,3.139053643307065,5.43163677106353,0.11779915134370579,0.03765959453088166,donor
COAD,shipped,virchow,donor,abs,COAD_Oliveira_P5,0.8843800604819042,3.3380752835798657,4.9118719745804444,0.08401326699834162,0.03160667251975417,donor
COAD,shipped,virchow,donor,abs,COAD_donor_TENX111,0.8314510730458752,3.1305755872024847,5.83093398779971,0.0691684714838879,0.09938045547023693,donor
COAD,shipped,virchow,donor,scaled,COAD_Oliveira_P1,0.9059005524861878,10.607165659798971,11.56108316562046,0.027983425414364643,0.06611602209944752,donor
COAD,shipped,virchow,donor,scaled,COAD_Oliveira_P2,0.8671079679396513,3.891188489127351,5.738752707451071,0.10601791607732203,0.026874115983026872,donor
COAD,shipped,virchow,donor,scaled,COAD_Oliveira_P5,0.8569720027314408,3.4481407011434055,5.164294272864412,0.10733001658374793,0.03569798068481123,donor
COAD,shipped,virchow,donor,scaled,COAD_donor_TENX111,0.7984170112226816,3.514038260301966,6.52002707119133,0.0923738268688062,0.10920916190851217,donor
COAD,shipped,virchow,patient,abs,0,0.6101167065455303,1.8947333892037992,11.906112391858423,0.30593109596874,0.08395219748572959,block
COAD,shipped,virchow,patient,abs,1,0.8070578197807968,3.156756303554919,5.941755773947864,0.05789328607993699,0.13504889413926627,slide
COAD,shipped,virchow,patient,scaled,0,0.5487919259331003,1.7293226833271629,13.258462776655444,0.35380288515683395,0.09740518891006573,block
COAD,shipped,virchow,patient,scaled,1,0.7827879503839338,3.9747764422296217,7.154345838427183,0.07731705716348362,0.13989499245258252,slide
COAD,shipped,virchow,random,abs,0,0.8952658605293575,2.1550380249672534,3.0131543828487386,0.05635721403390672,0.04837692543673581,spot
COAD,shipped,virchow,random,abs,1,0.897521476080381,2.1675847394330567,3.012651147224097,0.055987924997458305,0.04649059892216077,spot
COAD,shipped,virchow,random,scaled,0,0.9016545794604989,2.3083196865046345,2.9668015733165376,0.06152414482308445,0.03682127571641665,spot
COAD,shipped,virchow,random,scaled,1,0.9004774509476485,2.2920267251654516,2.9580746907994815,0.06277733944113346,0.03674520961121798,spot
HCC,shipped,virchow,donor,abs,CHC20,0.7884320796840116,1.7027330439634134,3.560623849971494,0.12100978876867592,0.09055813154731239,block
HCC,shipped,virchow,donor,abs,CHC23,0.7123665927568368,1.440362719557987,4.431173110514114,0.21539098300073908,0.07224242424242423,block
HCC,shipped,virchow,donor,scaled,CHC20,0.7127288339343981,4.208957084602978,7.203623704317408,0.18614116434827407,0.10113000171732785,block
HCC,shipped,virchow,donor,scaled,CHC23,0.7709445676274944,4.074757766968126,6.654141846474881,0.18442276422764228,0.04463266814486327,block
HCC,shipped,virchow,patient,abs,0,0.7379127864005913,1.5158129121181998,4.203632524317711,0.19503917220990394,0.0670480413895048,block
HCC,shipped,virchow,patient,abs,1,0.7782208483599519,1.6946091952686118,3.7012669703381262,0.11809376609994848,0.10368538554009961,block
HCC,shipped,virchow,patient,scaled,0,0.7688159645232816,3.1561379699013066,5.6982419816257766,0.18322838137472286,0.047955654101995565,block
HCC,shipped,virchow,patient,scaled,1,0.6909531169500257,2.7349252710484975,5.928552354057074,0.18285419886656362,0.1261926841834106,block
HCC,shipped,virchow,random,abs,0,0.9012876208324009,1.5866742185439722,2.142275536166475,0.07135357664647993,0.027358802521119142,spot
HCC,shipped,virchow,random,abs,1,0.903564984842664,1.5925017327082902,2.1330204786524236,0.07081982155506869,0.025615193602267328,spot
HCC,shipped,virchow,random,scaled,0,0.8965049714581086,2.0879838973147575,2.7439079819739627,0.08454963924765577,0.01894538929423561,spot
HCC,shipped,virchow,random,scaled,1,0.9009702233933894,2.2658359064898166,2.891402982792418,0.08094955388892629,0.01808022271768442,spot
IDC,audited,virchow,donor,abs,IDC_JanesickSample1,0.8940275254032517,5.414441110353733,7.879957416609087,0.055942045938136384,0.05003042865861198,donor
IDC,audited,virchow,donor,abs,NCBI783,0.8672412645590682,4.268305537077861,5.987954309495284,0.05068219633943428,0.0820765391014975,donor
IDC,audited,virchow,donor,abs,NCBI785,0.7196807980049875,3.8202207533435137,8.609310308377285,0.23999002493765587,0.040329177057356606,donor
IDC,audited,virchow,donor,scaled,IDC_JanesickSample1,0.8794195028023897,11.663768611891198,14.606352242281957,0.06710150909938689,0.05347898809822342,donor
IDC,audited,virchow,donor,scaled,NCBI783,0.8369584026622295,5.175565546589318,7.547218000715771,0.0669018302828619,0.0961397670549085,donor
IDC,audited,virchow,donor,scaled,NCBI785,0.7450224438902743,6.041836904796129,10.735599440052923,0.21281296758104737,0.0421645885286783,donor
IDC,audited,virchow,patient,abs,0,0.852918131753448,4.029261534098666,6.259403506884993,0.03317630814186857,0.11390556010468345,patient
IDC,audited,virchow,patient,abs,1,0.865335910652921,4.282556589046968,6.87937803582392,0.11152147766323024,0.0231426116838488,patient
IDC,audited,virchow,patient,abs,2,0.6849093931837075,3.845812012679523,9.24600582131724,0.2835195344970906,0.031571072319202,patient
IDC,audited,virchow,patient,abs,3,0.8550992789794787,4.101727198551455,6.150386387930086,0.049819190238491406,0.09508153078202997,patient
IDC,audited,virchow,patient,scaled,0,0.8734136120610762,9.655857005677056,11.707526206490646,0.03713469164940674,0.0894516962895172,patient
IDC,audited,virchow,patient,scaled,1,0.8965506872852234,45.44255454709835,47.3511358711369,0.08852920962199312,0.014920103092783505,patient
IDC,audited,virchow,patient,scaled,2,0.7455344970906069,15.222972209954591,20.10764959534308,0.22371072319201998,0.030754779717373237,patient
IDC,audited,virchow,patient,scaled,3,0.8160310593455352,9.835744906104502,12.41311458050887,0.07341098169717138,0.11055795895729341,patient
IDC,audited,virchow,random,abs,0,0.8797881135050979,2.166627717539921,3.1195002595541372,0.0629039211290039,0.05730796536589824,spot
IDC,audited,virchow,random,abs,1,0.8780624957691726,2.152171137294127,3.12540322494079,0.06351678264274614,0.05842072158808122,spot
IDC,audited,virchow,random,abs,2,0.8783144790755142,2.153418963661911,3.113032008434142,0.06375053423381513,0.057934986690670834,spot
IDC,audited,virchow,random,abs,3,0.8781323593458656,2.1606084386200477,3.1339150670211113,0.062466209820706796,0.05940143083342749,spot
IDC,audited,virchow,random,scaled,0,0.8925808424282943,2.359776173469664,3.106801102031198,0.060590140377811616,0.046829017193894006,spot
IDC,audited,virchow,random,scaled,1,0.8904532185235695,2.332624349632014,3.0992033982851894,0.0618408206298109,0.04770596084661957,spot
IDC,audited,virchow,random,scaled,2,0.8905103305308397,2.3350465873336033,3.098312315291169,0.06154676476102934,0.047942904708130944,spot
