task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes,superseded_label_set
IDC,audited,conch_v1,slide_out,abs,NCBI783,-1,0,slide,NCBI783,0.8429351081530783,3.837183027387218,6.166035977609979,0.08447254575707154,0.07259234608985025,3005,50,True
IDC,audited,conch_v1,slide_out,abs,NCBI783,-1,1,slide,NCBI783,0.9061830282861897,4.657977464431603,6.0038037713905315,0.06041264559068219,0.03340432612312812,3005,50,True
IDC,audited,conch_v1,slide_out,abs,NCBI783,-1,2,slide,NCBI783,0.9050449251247921,4.7049364441588,6.089606328953149,0.05867554076539101,0.03627953410981697,3005,50,True
IDC,audited,conch_v1,slide_out,abs,NCBI785,-1,0,slide,NCBI785,0.7688379052369078,3.984412453662871,7.704942053560342,0.18466334164588527,0.04649875311720698,4010,50,True
IDC,audited,conch_v1,slide_out,abs,NCBI785,-1,1,slide,NCBI785,0.6910773067331671,3.702555064339334,8.596009060966505,0.25585536159600997,0.05306733167082294,4010,50,True
IDC,audited,conch_v1,slide_out,abs,NCBI785,-1,2,slide,NCBI785,0.694997506234414,3.6735118676267082,8.42073410053151,0.2553865336658354,0.049615960099750625,4010,50,True
IDC,audited,conch_v1,slide_out,abs,TENX95,-1,0,slide,TENX95,0.8967293814432991,4.648094521056836,7.378892668785483,0.08700515463917526,0.01626546391752577,7760,50,True
IDC,audited,conch_v1,slide_out,abs,TENX95,-1,1,slide,TENX95,0.8990644329896906,4.779545679930112,7.519389289583214,0.08693298969072165,0.014002577319587628,7760,50,True
IDC,audited,conch_v1,slide_out,abs,TENX95,-1,2,slide,TENX95,0.8389768041237113,4.03770143859537,6.4862526002291,0.08719587628865978,0.07382731958762886,7760,50,True
IDC,audited,conch_v1,slide_out,abs,TENX99,-1,0,slide,TENX99,0.9206618178315109,4.673018152002557,6.103184118730197,0.021583738740908433,0.05775444342758056,20761,50,True
IDC,audited,conch_v1,slide_out,abs,TENX99,-1,1,slide,TENX99,0.8391753769086268,3.938536726188168,6.591584020092507,0.04785318626270411,0.11297143682866913,20761,50,True
IDC,audited,conch_v1,slide_out,abs,TENX99,-1,2,slide,TENX99,0.8641886228987044,4.19562557143986,6.680055671946338,0.037582968065122103,0.0982284090361736,20761,50,True
IDC,audited,conch_v1,slide_out,scaled,NCBI783,-1,0,slide,NCBI783,0.8087520798668885,3.9911787728717423,6.770050193475471,0.1187287853577371,0.07251913477537437,3005,50,True
IDC,audited,conch_v1,slide_out,scaled,NCBI783,-1,1,slide,NCBI783,0.9025623960066556,25.386669166574976,26.712700113308237,0.07305158069883527,0.02438602329450915,3005,50,True
IDC,audited,conch_v1,slide_out,scaled,NCBI783,-1,2,slide,NCBI783,0.873963394342762,7.3388983232770855,9.121399011524307,0.0892512479201331,0.036785357737104826,3005,50,True
IDC,audited,conch_v1,slide_out,scaled,NCBI785,-1,0,slide,NCBI785,0.812643391521197,6.190200568809512,9.304109700281936,0.1430274314214464,0.04432917705735661,4010,50,True
IDC,audited,conch_v1,slide_out,scaled,NCBI785,-1,1,slide,NCBI785,0.77385536159601,5.581604771090164,9.012277451403786,0.20078802992518704,0.025356608478802993,4010,50,True
IDC,audited,conch_v1,slide_out,scaled,NCBI785,-1,2,slide,NCBI785,0.7828079800498753,5.488997387857027,8.660285736483768,0.1922543640897756,0.02493765586034913,4010,50,True
IDC,audited,conch_v1,slide_out,scaled,TENX95,-1,0,slide,TENX95,0.8708634020618556,5.13394506540255,8.021614739479972,0.10183505154639175,0.027301546391752578,7760,50,True
IDC,audited,conch_v1,slide_out,scaled,TENX95,-1,1,slide,TENX95,0.8855927835051547,7.375031196584385,10.277845541833448,0.09700257731958763,0.01740463917525773,7760,50,True
IDC,audited,conch_v1,slide_out,scaled,TENX95,-1,2,slide,TENX95,0.8445025773195876,5.60060999528805,7.866722363369458,0.08458505154639175,0.07091237113402062,7760,50,True
IDC,audited,conch_v1,slide_out,scaled,TENX99,-1,0,slide,TENX99,0.8913944415008911,9.982574258140188,12.234865371725004,0.031905977554067724,0.07669958094504119,20761,50,True
IDC,audited,conch_v1,slide_out,scaled,TENX99,-1,1,slide,TENX99,0.8461769664274361,4.408272256515803,7.082668188168323,0.057092625596069556,0.09673040797649439,20761,50,True
IDC,audited,conch_v1,slide_out,scaled,TENX99,-1,2,slide,TENX99,0.8939607918693704,5.8549411621477505,8.199655111320334,0.037929772168970664,0.06810943596165889,20761,50,True
