task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes,superseded_label_set
CCRCC,shipped,ctranspath,donor,abs,INT1,-1,0,donor,INT1,0.6628966789667896,1.8689088408246022,3.9061644420012454,0.012822878228782288,0.324280442804428,1084,50,False
CCRCC,shipped,ctranspath,donor,abs,INT1,-1,1,donor,INT1,0.9547416974169742,2.258986637915068,2.4852026210627316,0.03896678966789668,0.006291512915129151,1084,50,False
CCRCC,shipped,ctranspath,donor,abs,INT1,-1,2,donor,INT1,0.7312915129151292,2.273225603564041,3.7419968082480075,0.007121771217712177,0.2615867158671587,1084,50,False
CCRCC,shipped,ctranspath,donor,abs,INT10,-1,0,donor,INT10,0.846343923348462,2.1247428092857077,3.2202734878560095,0.13331316187594555,0.020342914775592535,1983,50,False
CCRCC,shipped,ctranspath,donor,abs,INT10,-1,1,donor,INT10,0.7828441754916793,2.348183642435759,4.375622605300978,0.21504790721129602,0.00210791729702471,1983,50,False
CCRCC,shipped,ctranspath,donor,abs,INT10,-1,2,donor,INT10,0.8277861825516893,2.1779954818639187,3.642278452411302,0.1648915784165406,0.007322239031770046,1983,50,False
CCRCC,shipped,ctranspath,donor,abs,INT11,-1,0,donor,INT11,0.7993050729673383,1.9463535311108549,3.3509940515682364,0.10412786657400973,0.09656706045865183,1439,50,False
CCRCC,shipped,ctranspath,donor,abs,INT11,-1,1,donor,INT11,0.9192494788047254,2.385935970434376,2.858298865353617,0.06247394023627519,0.018276580958999304,1439,50,False
CCRCC,shipped,ctranspath,donor,abs,INT11,-1,2,donor,INT11,0.822585128561501,1.943355756216653,3.1378989622341096,0.12457261987491314,0.052842251563585824,1439,50,False
CCRCC,shipped,ctranspath,donor,abs,INT12,-1,0,donor,INT12,0.9042453480358374,2.3124868988951373,2.884184205995981,0.021337008959338388,0.07441764300482426,1451,50,False
CCRCC,shipped,ctranspath,donor,abs,INT12,-1,1,donor,INT12,0.8972157133011716,2.1626883108905584,2.7147434449132937,0.04213645761543763,0.06064782908339076,1451,50,False
CCRCC,shipped,ctranspath,donor,abs,INT12,-1,2,donor,INT12,0.916512749827705,2.3544908644503355,2.780153689182605,0.018621640248104757,0.06486560992419022,1451,50,False
CCRCC,shipped,ctranspath,donor,abs,INT13,-1,0,donor,INT13,0.9408671713695802,2.285342981268091,2.5855410253274225,0.048589125946317965,0.010543702684101859,4359,50,False
CCRCC,shipped,ctranspath,donor,abs,INT13,-1,1,donor,INT13,0.9302500573526038,2.2371675943174956,2.618444569665323,0.057288368891947695,0.012461573755448499,4359,50,False
CCRCC,shipped,ctranspath,donor,abs,INT13,-1,2,donor,INT13,0.9206790548290893,2.217076262763315,2.655754833958271,0.06396421197522367,0.015356733195687084,4359,50,False
CCRCC,shipped,ctranspath,donor,abs,INT14,-1,0,donor,INT14,0.9807496711968434,2.349936932271526,2.408261826858452,0.012959228408592722,0.006291100394563788,4562,50,False
CCRCC,shipped,ctranspath,donor,abs,INT14,-1,1,donor,INT14,0.973669443226655,2.3339598136779127,2.416473759243003,0.011350284962735642,0.014980271810609382,4562,50,False
CCRCC,shipped,ctranspath,donor,abs,INT14,-1,2,donor,INT14,0.960179745725559,2.009453848998871,2.1519646032280226,0.028040333187198598,0.011779921087242438,4562,50,False
CCRCC,shipped,ctranspath,donor,abs,INT15,-1,0,donor,INT15,0.9118866396761134,2.0501499913482806,2.439700132100721,0.049550607287449394,0.03856275303643725,4940,50,False
CCRCC,shipped,ctranspath,donor,abs,INT15,-1,1,donor,INT15,0.9584898785425101,2.3259842886494027,2.511727020667804,0.03245344129554656,0.00905668016194332,4940,50,False
