task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
IDC,audited,ctranspath,slide_out,abs,NCBI783,-1,0,slide,NCBI783,0.8311214642262895,4.044688450258835,6.764219952951026,0.07517470881863561,0.09370382695507487,3005,50
IDC,audited,ctranspath,slide_out,abs,NCBI783,-1,1,slide,NCBI783,0.8796073211314476,4.928109757450163,6.918152769057889,0.08167720465890183,0.03871547420965058,3005,50
IDC,audited,ctranspath,slide_out,abs,NCBI783,-1,2,slide,NCBI783,0.869757071547421,4.909387563509549,7.09493152768386,0.09050249584026622,0.03974043261231282,3005,50
IDC,audited,ctranspath,slide_out,abs,NCBI785,-1,0,slide,NCBI785,0.8132319201995013,4.883907796677438,7.649670352725674,0.15481795511221944,0.0319501246882793,4010,50
IDC,audited,ctranspath,slide_out,abs,NCBI785,-1,1,slide,NCBI785,0.7294114713216957,3.7827834910603957,7.779207760223462,0.21594513715710723,0.05464339152119701,4010,50
IDC,audited,ctranspath,slide_out,abs,NCBI785,-1,2,slide,NCBI785,0.736643391521197,3.8086521724209446,7.708632847935987,0.207785536159601,0.05557107231920199,4010,50
IDC,audited,ctranspath,slide_out,abs,TENX95,-1,0,slide,TENX95,0.898389175257732,5.161898444740153,8.03751010639498,0.09197938144329897,0.009631443298969072,7760,50
IDC,audited,ctranspath,slide_out,abs,TENX95,-1,1,slide,TENX95,0.894791237113402,5.048632579049332,8.005409525403657,0.09715463917525773,0.008054123711340207,7760,50
IDC,audited,ctranspath,slide_out,abs,TENX95,-1,2,slide,TENX95,0.8347551546391753,4.268717682057894,6.602953262152977,0.09604123711340205,0.06920360824742268,7760,50
IDC,audited,ctranspath,slide_out,abs,TENX99,-1,0,slide,TENX99,0.8963951640094407,4.391333957246763,6.359630832991431,0.02078512595732383,0.08281971003323539,20761,50
IDC,audited,ctranspath,slide_out,abs,TENX99,-1,1,slide,TENX99,0.8437002071191176,4.2608847278203115,6.686049990248404,0.023569192235441454,0.13273060064544098,20761,50
IDC,audited,ctranspath,slide_out,abs,TENX99,-1,2,slide,TENX99,0.8951534126487164,4.621602102052263,6.4335946085904405,0.027222195462646308,0.07762439188863735,20761,50
IDC,audited,ctranspath,slide_out,scaled,NCBI783,-1,0,slide,NCBI783,0.8507088186356073,4.847830671193935,7.201960692335141,0.07569384359400998,0.0735973377703827,3005,50
IDC,audited,ctranspath,slide_out,scaled,NCBI783,-1,1,slide,NCBI783,0.8671547420965058,242.4806589419265,244.80738813623213,0.11854908485856905,0.014296173044925125,3005,50
IDC,audited,ctranspath,slide_out,scaled,NCBI783,-1,2,slide,NCBI783,0.8707287853577371,87.2563158027176,89.69251952874572,0.10845257903494175,0.02081863560732113,3005,50
IDC,audited,ctranspath,slide_out,scaled,NCBI785,-1,0,slide,NCBI785,0.7990922693266833,59.96130782240566,63.90948083851851,0.1555660847880299,0.04534164588528678,4010,50
IDC,audited,ctranspath,slide_out,scaled,NCBI785,-1,1,slide,NCBI785,0.786927680798005,5.2274842206391146,8.629070000110245,0.17165586034912717,0.04141645885286783,4010,50
IDC,audited,ctranspath,slide_out,scaled,NCBI785,-1,2,slide,NCBI785,0.7802294264339151,5.01183492541177,8.41831155178561,0.17636907730673318,0.043401496259351614,4010,50
IDC,audited,ctranspath,slide_out,scaled,TENX95,-1,0,slide,TENX95,0.9187654639175258,86.72309195607576,89.3680972172316,0.07261855670103093,0.008615979381443298,7760,50
IDC,audited,ctranspath,slide_out,scaled,TENX95,-1,1,slide,TENX95,0.9306211340206185,122.48859377404501,124.41381248112019,0.06219072164948454,0.007188144329896907,7760,50
IDC,audited,ctranspath,slide_out,scaled,TENX95,-1,2,slide,TENX95,0.8296288659793816,4.416311882832884,6.758846925415518,0.0983659793814433,0.07200515463917526,7760,50
IDC,audited,ctranspath,slide_out,scaled,TENX99,-1,0,slide,TENX99,0.8717768893598574,12.26422574740865,14.883722479544385,0.02629642117431723,0.10192668946582534,20761,50
IDC,audited,ctranspath,slide_out,scaled,TENX99,-1,1,slide,TENX99,0.8529309763498868,4.60308396854939,6.900547373986633,0.02456432734454024,0.12250469630557294,20761,50
IDC,audited,ctranspath,slide_out,scaled,TENX99,-1,2,slide,TENX99,0.9099715813303791,61.319360933841445,62.98240909930577,0.027603679976879725,0.0624247386927412,20761,50
PRAD,shipped,ctranspath,slide_out,abs,MEND139,-1,0,slide,MEND139,0.8710802880768205,2.1587452219415955,2.7541658405323637,0.03440917578020806,0.09451053614297146,3749,50
PRAD,shipped,ctranspath,slide_out,abs,MEND139,-1,1,slide,MEND139,0.9013070152040544,2.2494154359622915,2.6463794702397676,0.029437183248866364,0.06925580154707922,3749,50
