task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes,superseded_label_set
IDC,audited,phikon,slide_out,abs,NCBI783,-1,0,slide,NCBI783,0.8624758735440932,3.970891342034986,6.054287622261551,0.07865557404326123,0.05886855241264559,3005,50,True
IDC,audited,phikon,slide_out,abs,NCBI783,-1,1,slide,NCBI783,0.9212978369384359,4.97839822421403,6.3361882351569525,0.049743760399334445,0.028958402662229616,3005,50,True
IDC,audited,phikon,slide_out,abs,NCBI783,-1,2,slide,NCBI783,0.9235207986688851,5.040977215174326,6.292548477989864,0.055307820299500834,0.021171381031613975,3005,50,True
IDC,audited,phikon,slide_out,abs,NCBI785,-1,0,slide,NCBI785,0.7210872817955112,4.02073966203596,8.497775122808116,0.23885286783042392,0.04005985037406484,4010,50,True
IDC,audited,phikon,slide_out,abs,NCBI785,-1,1,slide,NCBI785,0.6395660847880299,3.609478257193061,9.685076452993677,0.31709725685785534,0.04333665835411472,4010,50,True
IDC,audited,phikon,slide_out,abs,NCBI785,-1,2,slide,NCBI785,0.6149526184538654,3.5783216191662683,10.509865468862442,0.34504239401496256,0.04000498753117207,4010,50,True
IDC,audited,phikon,slide_out,abs,TENX95,-1,0,slide,TENX95,0.9050618556701031,5.185522122633122,7.786408055829169,0.08789690721649485,0.007041237113402063,7760,50,True
IDC,audited,phikon,slide_out,abs,TENX95,-1,1,slide,TENX95,0.9093917525773196,5.257184201859809,7.795806585980032,0.08568556701030929,0.004922680412371133,7760,50,True
IDC,audited,phikon,slide_out,abs,TENX95,-1,2,slide,TENX95,0.8248427835051547,4.110663032654567,7.342690307541505,0.13795360824742267,0.03720360824742268,7760,50,True
IDC,audited,phikon,slide_out,abs,TENX99,-1,0,slide,TENX99,0.9272096719811185,5.010246488162033,6.475751363424205,0.019104089398391214,0.053686238620490344,20761,50,True
IDC,audited,phikon,slide_out,abs,TENX99,-1,1,slide,TENX99,0.8319676316169742,4.197353253895562,6.651412205697271,0.04779056885506479,0.12024179952796109,20761,50,True
IDC,audited,phikon,slide_out,abs,TENX99,-1,2,slide,TENX99,0.8614103366889841,3.9008900580557726,6.489504917268642,0.029995664948701893,0.10859399836231395,20761,50,True
IDC,audited,phikon,slide_out,scaled,NCBI783,-1,0,slide,NCBI783,0.834675540765391,4.242628065432583,6.7904655812829,0.10652911813643927,0.05879534109816972,3005,50,True
IDC,audited,phikon,slide_out,scaled,NCBI783,-1,1,slide,NCBI783,0.9159467554076539,90.49249995089514,91.94806192075112,0.07213976705490849,0.011913477537437605,3005,50,True
IDC,audited,phikon,slide_out,scaled,NCBI783,-1,2,slide,NCBI783,0.929324459234609,8.346126097582818,9.480261920155073,0.06266222961730449,0.008013311148086523,3005,50,True
IDC,audited,phikon,slide_out,scaled,NCBI785,-1,0,slide,NCBI785,0.724498753117207,5.927134069784107,11.249332186908136,0.2303142144638404,0.04518703241895262,4010,50,True
IDC,audited,phikon,slide_out,scaled,NCBI785,-1,1,slide,NCBI785,0.6764638403990025,4.701317722300291,10.507931177310404,0.2984837905236908,0.025052369077306732,4010,50,True
IDC,audited,phikon,slide_out,scaled,NCBI785,-1,2,slide,NCBI785,0.6668877805486284,4.728349549393198,10.573949396305782,0.3043291770573566,0.028783042394014965,4010,50,True
IDC,audited,phikon,slide_out,scaled,TENX95,-1,0,slide,TENX95,0.9254046391752577,107.00583931011847,109.05849652170296,0.06551804123711341,0.009077319587628866,7760,50,True
IDC,audited,phikon,slide_out,scaled,TENX95,-1,1,slide,TENX95,0.921971649484536,175.66162019682733,178.2697771750591,0.07348711340206185,0.004541237113402062,7760,50,True
IDC,audited,phikon,slide_out,scaled,TENX95,-1,2,slide,TENX95,0.8245180412371134,11.165215151229745,14.668618100941385,0.14184278350515464,0.03363917525773196,7760,50,True
IDC,audited,phikon,slide_out,scaled,TENX99,-1,0,slide,TENX99,0.9248562207986127,30.270882408441693,32.149742317378866,0.01027503492124657,0.06486874428014065,20761,50,True
IDC,audited,phikon,slide_out,scaled,TENX99,-1,1,slide,TENX99,0.8273377968305958,5.348936132250597,8.071594963914693,0.04789364674148643,0.12476855642791772,20761,50,True
IDC,audited,phikon,slide_out,scaled,TENX99,-1,2,slide,TENX99,0.8659669572756612,4.550094765493001,7.343973986719473,0.03893068734646693,0.09510235537787198,20761,50,True
PRAD,shipped,phikon,slide_out,abs,MEND139,-1,0,slide,MEND139,0.863680981595092,2.143404183232141,2.758972208552927,0.03232328620965591,0.10399573219525207,3749,50,False
PRAD,shipped,phikon,slide_out,abs,MEND139,-1,1,slide,MEND139,0.9103280874899973,2.2716641479037394,2.5985821509080393,0.02680714857295279,0.06286476393704989,3749,50,False
PRAD,shipped,phikon,slide_out,abs,MEND139,-1,2,slide,MEND139,0.819930648172846,2.1345741337977575,3.1099977649633685,0.02974659909309149,0.15032275273406243,3749,50,False
PRAD,shipped,phikon,slide_out,abs,MEND140,-1,0,slide,MEND140,0.9302842377260981,2.261813806698867,2.6112806982833097,0.06251162790697674,0.007204134366925064,1935,50,False
PRAD,shipped,phikon,slide_out,abs,MEND140,-1,1,slide,MEND140,0.9050852713178295,2.0388498902324868,2.527625954818041,0.08777260981912144,0.007142118863049095,1935,50,False
PRAD,shipped,phikon,slide_out,abs,MEND140,-1,2,slide,MEND140,0.8542635658914729,1.7085800775778972,2.502919721849366,0.1208578811369509,0.024878552971576227,1935,50,False
PRAD,shipped,phikon,slide_out,abs,MEND141,-1,0,slide,MEND141,0.951371237458194,1.9551557536895328,2.173675072560378,0.036477146042363434,0.012151616499442585,1794,50,False
PRAD,shipped,phikon,slide_out,abs,MEND141,-1,1,slide,MEND141,0.9758862876254181,2.422335058087455,2.5404564751418097,0.023088071348940913,0.0010256410256410256,1794,50,False
PRAD,shipped,phikon,slide_out,abs,MEND141,-1,2,slide,MEND141,0.931505016722408,1.9100337390084905,2.25564492492081,0.05662207357859532,0.011872909698996655,1794,50,False
PRAD,shipped,phikon,slide_out,abs,MEND142,-1,0,slide,MEND142,0.9504571237904571,2.06262029923605,2.2687733306888727,0.03261928595261929,0.016923590256923592,2997,50,False
PRAD,shipped,phikon,slide_out,abs,MEND142,-1,1,slide,MEND142,0.9345745745745745,1.905995128847172,2.181690866210743,0.03778445111778445,0.027640974307640974,2997,50,False
PRAD,shipped,phikon,slide_out,abs,MEND142,-1,2,slide,MEND142,0.9694761428094761,2.4216168314478095,2.554523980595648,0.01612278945612279,0.014401067734401068,2997,50,False
PRAD,shipped,phikon,slide_out,abs,MEND143,-1,0,slide,MEND143,0.9636844863731656,1.851457692964522,1.9851730484485504,0.030744234800838575,0.005571278825995807,3816,50,False
PRAD,shipped,phikon,slide_out,abs,MEND143,-1,1,slide,MEND143,0.962374213836478,1.8179512503197197,1.946195152594123,0.018427672955974844,0.01919811320754717,3816,50,False
PRAD,shipped,phikon,slide_out,abs,MEND143,-1,2,slide,MEND143,0.9753459119496856,2.144600978615807,2.2354532670760063,0.023270440251572325,0.0013836477987421384,3816,50,False
