task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes,superseded_label_set
IDC,audited,uni_v1,slide_out,abs,NCBI783,-1,0,slide,NCBI783,0.8557537437603994,3.916270547253358,6.051481228293458,0.07915474209650582,0.06509151414309483,3005,50,True
IDC,audited,uni_v1,slide_out,abs,NCBI783,-1,1,slide,NCBI783,0.9242595673876872,4.823032396949937,6.013180074544571,0.050848585690515806,0.024891846921797006,3005,50,True
IDC,audited,uni_v1,slide_out,abs,NCBI783,-1,2,slide,NCBI783,0.9208053244592347,4.754921945332237,6.004984324667131,0.048279534109816974,0.03091514143094842,3005,50,True
IDC,audited,uni_v1,slide_out,abs,NCBI785,-1,0,slide,NCBI785,0.7032269326683291,3.805967527246811,8.530098425205477,0.26267331670822947,0.0340997506234414,4010,50,True
IDC,audited,uni_v1,slide_out,abs,NCBI785,-1,1,slide,NCBI785,0.6688977556109725,3.6922476024820616,9.24986789471992,0.29860349127182045,0.03249875311720698,4010,50,True
IDC,audited,uni_v1,slide_out,abs,NCBI785,-1,2,slide,NCBI785,0.6577755610972568,3.698970860478843,9.423595094005845,0.3142643391521197,0.027960099750623444,4010,50,True
IDC,audited,uni_v1,slide_out,abs,TENX95,-1,0,slide,TENX95,0.9003762886597939,4.981923918403401,7.644015235851024,0.09234278350515464,0.007280927835051546,7760,50,True
IDC,audited,uni_v1,slide_out,abs,TENX95,-1,1,slide,TENX95,0.8980876288659794,5.1138442973413545,7.866738192857969,0.09159793814432989,0.01031443298969072,7760,50,True
IDC,audited,uni_v1,slide_out,abs,TENX95,-1,2,slide,TENX95,0.8383479381443298,3.829114283870141,6.897560844302428,0.11126288659793815,0.05038917525773196,7760,50,True
IDC,audited,uni_v1,slide_out,abs,TENX99,-1,0,slide,TENX99,0.9054901016328694,4.707217157027698,6.476524653086675,0.01868888781850585,0.07582101054862482,20761,50,True
IDC,audited,uni_v1,slide_out,abs,TENX99,-1,1,slide,TENX99,0.8262829343480564,3.844898242679511,6.208966739898482,0.04435142815856654,0.129365637493377,20761,50,True
IDC,audited,uni_v1,slide_out,abs,TENX99,-1,2,slide,TENX99,0.8481903569192235,3.7870014985775957,6.466425177210227,0.03945667357063725,0.1123529695101392,20761,50,True
IDC,audited,uni_v1,slide_out,scaled,NCBI783,-1,0,slide,NCBI783,0.83077537437604,3.915834540815451,6.273209169926057,0.10092512479201332,0.06829950083194675,3005,50,True
IDC,audited,uni_v1,slide_out,scaled,NCBI783,-1,1,slide,NCBI783,0.90338768718802,5.4471151329752665,7.008844067896482,0.07916139767054908,0.017450915141430948,3005,50,True
IDC,audited,uni_v1,slide_out,scaled,NCBI783,-1,2,slide,NCBI783,0.9155873544093178,6.7226689350512485,7.995305345547017,0.059507487520798666,0.02490515806988353,3005,50,True
IDC,audited,uni_v1,slide_out,scaled,NCBI785,-1,0,slide,NCBI785,0.7053366583541147,4.218167237812469,9.12666994088895,0.2612768079800499,0.03338653366583541,4010,50,True
IDC,audited,uni_v1,slide_out,scaled,NCBI785,-1,1,slide,NCBI785,0.7066583541147132,4.814530865498202,9.611251560730368,0.27623940149625936,0.01710224438902743,4010,50,True
IDC,audited,uni_v1,slide_out,scaled,NCBI785,-1,2,slide,NCBI785,0.6912119700748129,4.8671223902956475,9.964009525068995,0.29367581047381547,0.015112219451371572,4010,50,True
IDC,audited,uni_v1,slide_out,scaled,TENX95,-1,0,slide,TENX95,0.8740257731958764,6.864834174516261,10.00448275151744,0.11243298969072166,0.013541237113402063,7760,50,True
IDC,audited,uni_v1,slide_out,scaled,TENX95,-1,1,slide,TENX95,0.8841030927835051,95.83208626450616,99.10111561529965,0.10637371134020618,0.00952319587628866,7760,50,True
IDC,audited,uni_v1,slide_out,scaled,TENX95,-1,2,slide,TENX95,0.8165,3.755119814427902,7.343664593620008,0.1273762886597938,0.05612371134020619,7760,50,True
IDC,audited,uni_v1,slide_out,scaled,TENX99,-1,0,slide,TENX99,0.8707239535667839,17.713866364173665,20.537762110682323,0.02036318096430808,0.10891286546890805,20761,50,True
IDC,audited,uni_v1,slide_out,scaled,TENX99,-1,1,slide,TENX99,0.8691248013101489,4.612191220336402,6.415853333028359,0.039652232551418524,0.09122296613843264,20761,50,True
IDC,audited,uni_v1,slide_out,scaled,TENX99,-1,2,slide,TENX99,0.8681662733009007,4.327205318421229,7.053740033860221,0.049055440489379126,0.08277828620972015,20761,50,True
PRAD,shipped,uni_v1,slide_out,abs,MEND139,-1,0,slide,MEND139,0.8323446252333956,2.1382566933066207,3.130133283655013,0.03454787943451587,0.13310749533208857,3749,50,False
PRAD,shipped,uni_v1,slide_out,abs,MEND139,-1,1,slide,MEND139,0.8604694585222726,2.2068229291455426,2.8817043097959862,0.03500666844491864,0.10452387303280875,3749,50,False
PRAD,shipped,uni_v1,slide_out,abs,MEND139,-1,2,slide,MEND139,0.8075220058682315,2.1014801195482073,3.256375652465889,0.03891704454521206,0.15356094958655642,3749,50,False
PRAD,shipped,uni_v1,slide_out,abs,MEND140,-1,0,slide,MEND140,0.9408785529715762,2.354945499858873,2.6528386666690755,0.05277519379844962,0.00634625322997416,1935,50,False
PRAD,shipped,uni_v1,slide_out,abs,MEND140,-1,1,slide,MEND140,0.9069043927648579,2.03643434789994,2.5047227109835233,0.0852093023255814,0.007886304909560724,1935,50,False
PRAD,shipped,uni_v1,slide_out,abs,MEND140,-1,2,slide,MEND140,0.8281343669250646,1.6694058500196172,2.6795379589306965,0.15193798449612403,0.01992764857881137,1935,50,False
PRAD,shipped,uni_v1,slide_out,abs,MEND141,-1,0,slide,MEND141,0.9475139353400224,1.9441432663244165,2.192164148847116,0.048874024526198434,0.003612040133779264,1794,50,False
PRAD,shipped,uni_v1,slide_out,abs,MEND141,-1,1,slide,MEND141,0.9738350055741359,2.5011184730562586,2.621399749503332,0.025596432552954292,0.0005685618729096989,1794,50,False
PRAD,shipped,uni_v1,slide_out,abs,MEND141,-1,2,slide,MEND141,0.9318060200668896,1.909517881715978,2.2788892392275937,0.06542920847268674,0.0027647714604236346,1794,50,False
PRAD,shipped,uni_v1,slide_out,abs,MEND142,-1,0,slide,MEND142,0.9516383049716383,2.0622264221488593,2.2722036416485447,0.036443109776443106,0.011918585251918586,2997,50,False
