task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
IDC,audited,uni_v2,slide_out,abs,NCBI783,-1,0,slide,NCBI783,0.8650515806988353,3.8465204273713365,5.800797715962371,0.07692512479201331,0.05802329450915141,3005,50
IDC,audited,uni_v2,slide_out,abs,NCBI783,-1,1,slide,NCBI783,0.9200399334442595,4.442691310869639,5.574192069573969,0.04813311148086522,0.03182695507487521,3005,50
IDC,audited,uni_v2,slide_out,abs,NCBI783,-1,2,slide,NCBI783,0.9136638935108153,4.432599885470273,5.642552196525455,0.049590682196339435,0.03674542429284526,3005,50
IDC,audited,uni_v2,slide_out,abs,NCBI785,-1,0,slide,NCBI785,0.7461147132169575,3.633250073516604,7.202868938045608,0.20062344139650873,0.05326184538653367,4010,50
IDC,audited,uni_v2,slide_out,abs,NCBI785,-1,1,slide,NCBI785,0.7111670822942644,3.578169398651902,7.600948854910176,0.25118204488778056,0.037650872817955115,4010,50
IDC,audited,uni_v2,slide_out,abs,NCBI785,-1,2,slide,NCBI785,0.7282942643391521,3.5850130870874803,7.242740513244192,0.22995511221945136,0.0417506234413965,4010,50
IDC,audited,uni_v2,slide_out,abs,TENX95,-1,0,slide,TENX95,0.8971984536082475,4.733888094039946,7.275415701387617,0.093840206185567,0.008961340206185567,7760,50
IDC,audited,uni_v2,slide_out,abs,TENX95,-1,1,slide,TENX95,0.8934407216494846,4.626634165690012,7.324905593198394,0.09668041237113402,0.009878865979381443,7760,50
IDC,audited,uni_v2,slide_out,abs,TENX95,-1,2,slide,TENX95,0.8279175257731959,3.721955482947556,7.039335350077987,0.1431417525773196,0.028940721649484535,7760,50
IDC,audited,uni_v2,slide_out,abs,TENX99,-1,0,slide,TENX99,0.8917113819180194,4.1951800722405865,6.185672908401094,0.021773517653292232,0.08651510042868842,20761,50
IDC,audited,uni_v2,slide_out,abs,TENX99,-1,1,slide,TENX99,0.8256432734454024,3.79387261043704,6.091006657221914,0.044934251721978714,0.12942247483261884,20761,50
IDC,audited,uni_v2,slide_out,abs,TENX99,-1,2,slide,TENX99,0.8533124608641203,3.7656359828295165,6.372152671884898,0.035521410336688986,0.1111661287991908,20761,50
IDC,audited,uni_v2,slide_out,scaled,NCBI783,-1,0,slide,NCBI783,0.8173843594009983,3.6933469120299014,6.153864693973354,0.10609650582362729,0.07651913477537438,3005,50
IDC,audited,uni_v2,slide_out,scaled,NCBI783,-1,1,slide,NCBI783,0.9110282861896839,5.458518346639669,6.645197872502925,0.06586356073211315,0.023108153078202992,3005,50
IDC,audited,uni_v2,slide_out,scaled,NCBI783,-1,2,slide,NCBI783,0.9064093178036606,5.085784246730853,6.371663994895576,0.05918136439267887,0.034409317803660563,3005,50
IDC,audited,uni_v2,slide_out,scaled,NCBI785,-1,0,slide,NCBI785,0.8033915211970074,4.486783908082693,7.11992568442316,0.16235411471321698,0.034254364089775564,4010,50
IDC,audited,uni_v2,slide_out,scaled,NCBI785,-1,1,slide,NCBI785,0.7511271820448877,4.934339923170823,8.58985151417146,0.22389526184538652,0.02497755610972569,4010,50
IDC,audited,uni_v2,slide_out,scaled,NCBI785,-1,2,slide,NCBI785,0.7754563591022443,4.679909791595384,7.755478222155821,0.20023940149625935,0.024304239401496258,4010,50
