task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes,superseded_label_set
CCRCC,shipped,virchow,donor,abs,INT1,-1,0,donor,INT1,0.6862730627306273,1.7876015791895827,3.638564845818971,0.020645756457564578,0.2930811808118081,1084,50,False
CCRCC,shipped,virchow,donor,abs,INT1,-1,1,donor,INT1,0.9441881918819187,2.1626952505451937,2.4345036059993093,0.03654981549815498,0.0192619926199262,1084,50,False
CCRCC,shipped,virchow,donor,abs,INT1,-1,2,donor,INT1,0.7662361623616236,2.1094489596871573,3.3484379257380215,0.01381918819188192,0.21994464944649447,1084,50,False
CCRCC,shipped,virchow,donor,abs,INT10,-1,0,donor,INT10,0.8171558245083207,2.0444799516145307,3.4891244505380463,0.1719415027735754,0.010902672718103882,1983,50,False
CCRCC,shipped,virchow,donor,abs,INT10,-1,1,donor,INT10,0.7381946545637922,2.193124247032482,4.899058613942388,0.2597377710539586,0.0020675743822491173,1983,50,False
CCRCC,shipped,virchow,donor,abs,INT10,-1,2,donor,INT10,0.7731820474029248,2.07729880325262,4.139273015301501,0.22282400403429148,0.0039939485627836615,1983,50,False
CCRCC,shipped,virchow,donor,abs,INT11,-1,0,donor,INT11,0.778373870743572,1.885390267377093,3.263777890264478,0.0660597637248089,0.15556636553161918,1439,50,False
CCRCC,shipped,virchow,donor,abs,INT11,-1,1,donor,INT11,0.9269909659485753,2.343280502002028,2.721939115128417,0.050451702571230016,0.02255733148019458,1439,50,False
CCRCC,shipped,virchow,donor,abs,INT11,-1,2,donor,INT11,0.7819318971507991,1.898031074128912,3.1356705633265376,0.07307852675469076,0.14498957609451008,1439,50,False
CCRCC,shipped,virchow,donor,abs,INT12,-1,0,donor,INT12,0.8447139903514816,2.189004582389547,3.027227366517187,0.01233631977946244,0.14294968986905582,1451,50,False
CCRCC,shipped,virchow,donor,abs,INT12,-1,1,donor,INT12,0.8385251550654721,2.0222418426824214,2.9033265267417936,0.021998621640248107,0.1394762232942798,1451,50,False
CCRCC,shipped,virchow,donor,abs,INT12,-1,2,donor,INT12,0.7617918676774639,2.2171958396658638,3.5296529825004597,0.007856650585802894,0.23035148173673328,1451,50,False
CCRCC,shipped,virchow,donor,abs,INT13,-1,0,donor,INT13,0.9350814406974076,2.216660363338632,2.5887497132096744,0.06261527873365451,0.0023032805689378296,4359,50,False
CCRCC,shipped,virchow,donor,abs,INT13,-1,1,donor,INT13,0.9338380362468456,2.27064864405732,2.6609402744407897,0.0638862124340445,0.0022757513191098877,4359,50,False
CCRCC,shipped,virchow,donor,abs,INT13,-1,2,donor,INT13,0.9094975911906401,2.1104258515792402,2.6572759680870037,0.08629043358568479,0.004211975223675155,4359,50,False
CCRCC,shipped,virchow,donor,abs,INT14,-1,0,donor,INT14,0.9732748794388426,2.191929283262109,2.276893803659844,0.018982902235861465,0.007742218325295923,4562,50,False
CCRCC,shipped,virchow,donor,abs,INT14,-1,1,donor,INT14,0.9745462516440158,2.274570715081676,2.3560345557551083,0.018842612889083735,0.006611135466900482,4562,50,False
CCRCC,shipped,virchow,donor,abs,INT14,-1,2,donor,INT14,0.947093380096449,1.9965123239762794,2.2098395716370174,0.04996931170539237,0.0029373081981587026,4562,50,False
CCRCC,shipped,virchow,donor,abs,INT15,-1,0,donor,INT15,0.9427327935222672,2.0769716605821986,2.3397828607829005,0.04938056680161943,0.00788663967611336,4940,50,False
CCRCC,shipped,virchow,donor,abs,INT15,-1,1,donor,INT15,0.9541821862348178,2.231661042666044,2.428211956184609,0.0374412955465587,0.008376518218623482,4940,50,False
CCRCC,shipped,virchow,donor,abs,INT15,-1,2,donor,INT15,0.9127570850202429,1.9782591921475536,2.3371125100277235,0.036753036437246964,0.05048987854251012,4940,50,False
CCRCC,shipped,virchow,donor,abs,INT16,-1,0,donor,INT16,0.9190954460386774,2.1080987029919727,2.8917998171506953,0.07220835932626325,0.008696194635059265,3206,50,False
