task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
IDC,audited,virchow,slide_out,abs,NCBI783,-1,0,slide,NCBI783,0.8499168053244592,3.82031330455324,5.8998607453618055,0.05682529118136439,0.09325790349417637,3005,50
IDC,audited,virchow,slide_out,abs,NCBI783,-1,1,slide,NCBI783,0.9171647254575707,4.729270282288763,5.964213098349352,0.040965058236272875,0.0418702163061564,3005,50
IDC,audited,virchow,slide_out,abs,NCBI783,-1,2,slide,NCBI783,0.9189683860232946,4.711390994687429,5.87804266285703,0.04222296173044925,0.03880865224625624,3005,50
IDC,audited,virchow,slide_out,abs,NCBI785,-1,0,slide,NCBI785,0.710713216957606,3.66118760562688,8.252760864350817,0.25020448877805485,0.03908229426433915,4010,50
IDC,audited,virchow,slide_out,abs,NCBI785,-1,1,slide,NCBI785,0.64342144638404,3.6000480243529283,9.216224414357404,0.3232917705735661,0.03328678304239401,4010,50
IDC,audited,virchow,slide_out,abs,NCBI785,-1,2,slide,NCBI785,0.657137157107232,3.6055156751854955,8.9239244877179,0.31085286783042393,0.03200997506234414,4010,50
IDC,audited,virchow,slide_out,abs,TENX95,-1,0,slide,TENX95,0.9013247422680412,4.937666178902853,7.407264405010386,0.0869020618556701,0.01177319587628866,7760,50
IDC,audited,virchow,slide_out,abs,TENX95,-1,1,slide,TENX95,0.8990154639175257,5.051959848726652,7.576012814342985,0.08865721649484536,0.012327319587628867,7760,50
IDC,audited,virchow,slide_out,abs,TENX95,-1,2,slide,TENX95,0.8262396907216495,3.881116617894555,7.010640373146135,0.1445618556701031,0.02919845360824742,7760,50
IDC,audited,virchow,slide_out,abs,TENX99,-1,0,slide,TENX99,0.9248571841433457,4.718768579538851,6.052439036387097,0.018960551033187226,0.056182264823467075,20761,50
IDC,audited,virchow,slide_out,abs,TENX99,-1,1,slide,TENX99,0.8367323346659602,3.98877565819756,6.028914603764716,0.03793555223736814,0.12533211309667164,20761,50
IDC,audited,virchow,slide_out,abs,TENX99,-1,2,slide,TENX99,0.8522730118973074,3.864698238265214,6.344471799560512,0.033143875535860505,0.11458311256683204,20761,50
IDC,audited,virchow,slide_out,scaled,NCBI783,-1,0,slide,NCBI783,0.813018302828619,3.728757276057848,6.1924418134570285,0.07667886855241264,0.11030282861896838,3005,50
IDC,audited,virchow,slide_out,scaled,NCBI783,-1,1,slide,NCBI783,0.9079866888519135,6.006518028838707,7.327574043373151,0.06418635607321131,0.027826955074875207,3005,50
IDC,audited,virchow,slide_out,scaled,NCBI783,-1,2,slide,NCBI783,0.9131514143094841,5.762202523441711,7.036795478657695,0.04798003327787022,0.03886855241264559,3005,50
IDC,audited,virchow,slide_out,scaled,NCBI785,-1,0,slide,NCBI785,0.7412019950124689,4.515943410996844,8.63788917209335,0.2261346633416459,0.03266334164588529,4010,50
IDC,audited,virchow,slide_out,scaled,NCBI785,-1,1,slide,NCBI785,0.7043790523690773,5.004260249369732,9.577101905614557,0.26774064837905237,0.027880299251870327,4010,50
IDC,audited,virchow,slide_out,scaled,NCBI785,-1,2,slide,NCBI785,0.7215162094763091,5.141249734390882,9.48169690216915,0.2552967581047382,0.02318703241895262,4010,50
IDC,audited,virchow,slide_out,scaled,TENX95,-1,0,slide,TENX95,0.9014226804123712,6.267315269060734,8.89938167293206,0.08851546391752578,0.010061855670103093,7760,50
IDC,audited,virchow,slide_out,scaled,TENX95,-1,1,slide,TENX95,0.9169639175257732,7.149284680917905,9.25408845643676,0.07531443298969072,0.007721649484536083,7760,50
IDC,audited,virchow,slide_out,scaled,TENX95,-1,2,slide,TENX95,0.8485180412371135,4.511161519732287,7.206630185640568,0.13147938144329896,0.020002577319587628,7760,50
IDC,audited,virchow,slide_out,scaled,TENX99,-1,0,slide,TENX99,0.9025432300948895,5.11593330754831,7.481592919919982,0.01711285583546072,0.08034391406964982,20761,50
IDC,audited,virchow,slide_out,scaled,TENX99,-1,1,slide,TENX99,0.8095053224796493,4.02447300719412,6.677342783579252,0.053176629256779545,0.13731804826357114,20761,50
IDC,audited,virchow,slide_out,scaled,TENX99,-1,2,slide,TENX99,0.9049612253745002,5.368741021074302,7.112432260432929,0.029622850537064687,0.06541592408843505,20761,50
PRAD,shipped,virchow,slide_out,abs,MEND139,-1,0,slide,MEND139,0.8181275006668445,2.144560586674012,3.431521778660514,0.03379567884769272,0.1480768204854628,3749,50
