task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched
CCRCC,shipped,gigapath,donor,abs,24,0.8674544148298468,0.14272051820762877,2.1083245859272775,0.12165203872507625,3.445039179645565,0.09570033119123028,0.036845253978922986,donor,35996
CCRCC,shipped,gigapath,donor,scaled,24,0.8758270913229173,0.12998022358885442,2.132251576647984,0.26165408897172737,3.31430700918805,0.10179476006892267,0.022378148608160137,donor,35996
CCRCC,shipped,gigapath,patient,abs,6,0.8571471547518176,0.09242848752447147,2.2319313955621065,0.2352969845972515,3.68908170168403,0.0923340204766197,0.0505188247715626,patient,35996
CCRCC,shipped,gigapath,patient,scaled,6,0.8679758881250121,0.05758163843251746,2.2351616845590088,0.10529014577105009,3.5178516550805843,0.10051579228041808,0.031508319594569824,patient,35996
CCRCC,shipped,gigapath,random,abs,6,0.8829635743084002,0.0005894436699500748,1.618155773782912,0.0013292691192816441,2.2032114092271815,0.07632304757511531,0.04071337811648445,spot,35996
CCRCC,shipped,gigapath,random,scaled,6,0.8997208124032978,0.0005109618830644984,1.6000477181689259,0.0014217781414196872,2.0812536621253597,0.07899948977951246,0.021279697817189625,spot,35996
COAD,shipped,gigapath,donor,abs,4,0.8643810969498879,0.023866045705844965,3.3539513924821236,0.19530775242167778,5.288970210535381,0.07694979648861981,0.05866910656149232,donor,3389
COAD,shipped,gigapath,donor,scaled,4,0.8624389179699055,0.03423325592481359,4.010785692417704,0.5149036747111223,5.863239689468761,0.08197215046968721,0.055588931560407444,donor,3389
COAD,shipped,gigapath,patient,abs,2,0.7324788368293517,0.14721111734657355,2.542207720574443,0.913775222706782,8.380020597575726,0.1815432124181707,0.08597795075247769,block;slide,3389
COAD,shipped,gigapath,patient,scaled,2,0.6946079748535279,0.1643964827650872,2.547453417698028,1.056698643361157,9.003655842038786,0.20792292431528628,0.09746910083118593,block;slide,3389
COAD,shipped,gigapath,random,abs,2,0.896381656965249,0.0007183031759838871,2.1808967306730436,0.0015400927898273867,3.0314003332067037,0.05642152592325472,0.04719681711149623,spot,3389
COAD,shipped,gigapath,random,scaled,2,0.9000236384110647,0.0007035157900014068,2.312174726017684,0.008594289788227731,2.9852672854931095,0.06278233988709218,0.03719402170184319,spot,3389
HCC,shipped,gigapath,donor,abs,2,0.7529708210388273,0.04491358401826378,1.555846780492472,0.1970199751874477,3.89466446700221,0.15918702537875457,0.08784215358241822,block,1203
