task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched,superseded_label_set
CCRCC,shipped,phikon,donor,abs,24,0.8649558548529847,0.1430895894660139,2.1176115278989847,0.1165090861112547,3.4609598101999617,0.09540928001949489,0.03963486512752033,donor,35996,False
CCRCC,shipped,phikon,donor,scaled,24,0.8719941055571557,0.1264491443346833,2.154494296428681,0.25597806081709096,3.3584754944665396,0.10223131150282622,0.025774582940018106,donor,35996,False
CCRCC,shipped,phikon,patient,abs,6,0.8541422461475402,0.08788457839301919,2.223774595057833,0.20100684258793838,3.686968822320394,0.08896376672549605,0.05689398712696372,patient,35996,False
CCRCC,shipped,phikon,patient,scaled,6,0.8633701233879904,0.053497185147238696,2.2410740584927,0.17297952784410905,3.562687731376131,0.10068415522432811,0.03594572138768154,patient,35996,False
CCRCC,shipped,phikon,random,abs,6,0.8842605065214632,0.0010429767713090081,1.6194255714942678,0.0015239908819964082,2.191857768922165,0.07559491396809477,0.04014457951044218,spot,35996,False
CCRCC,shipped,phikon,random,scaled,6,0.9002467881031446,0.0007899772921298742,1.600157667591011,0.0011604252608595766,2.0753766464791648,0.0782381553937435,0.02151505650311189,spot,35996,False
COAD,shipped,phikon,donor,abs,4,0.8547403285004597,0.04829668780554407,3.425944582107791,0.26712041892447236,5.600415652820628,0.07466896811096674,0.07059070338857362,donor,3389,False
COAD,shipped,phikon,donor,scaled,4,0.8558378454583631,0.04799119562172796,10.493533348890065,7.507519004074536,12.558677885993893,0.08064826609345897,0.06351388844817801,donor,3389,False
COAD,shipped,phikon,patient,abs,2,0.6847717114164193,0.12489420825231967,2.5398410271215113,0.9062102562326215,9.206009879537083,0.1680380396075697,0.14719024897601088,block;slide,3389,False
COAD,shipped,phikon,patient,scaled,2,0.6749226286325742,0.1877249847778489,3.3108270079236144,2.0399041525280968,10.450661087501715,0.18915974278761225,0.13591762857981346,block;slide,3389,False
COAD,shipped,phikon,random,abs,2,0.8960975638844562,0.0007224733738560558,2.202655358131035,0.005539253003029901,3.055340579637014,0.05607754959943954,0.04782488651610446,spot,3389,False
COAD,shipped,phikon,random,scaled,2,0.8998613835182283,0.0009708961064137099,2.3664551778687315,0.008659423188750055,3.0451615687975693,0.06248275594939981,0.03765586053237196,spot,3389,False
HCC,shipped,phikon,donor,abs,2,0.736918215212783,0.039583707146638135,1.6197352853103126,0.2054494507659188,4.1559281770235685,0.15905509499945358,0.10402668978776342,block,1203,False
HCC,shipped,phikon,donor,scaled,2,0.7440457692619642,0.029503101943839174,5.532045920470625,0.07558702844460805,8.456760723986676,0.17899326434320967,0.07696096639482623,block,1203,False
HCC,shipped,phikon,patient,abs,2,0.7443133753945379,0.021193340590594304,1.623333758005945,0.14192279687282663,4.085208345472784,0.1546392671008346,0.10104735750462746,block,1203,False
HCC,shipped,phikon,patient,scaled,2,0.7390565800501339,0.03830652702075354,4.3219360823315105,1.36595661388119,7.207864726117398,0.1809915424459851,0.07995187750388112,block,1203,False
HCC,shipped,phikon,random,abs,2,0.9014147144766308,0.0009606476793912747,1.6146708994630925,0.0038418559124031013,2.1751117154004964,0.07093223282575822,0.027653052697611043,spot,1203,False
HCC,shipped,phikon,random,scaled,2,0.8967791619903365,0.000191333745501351,2.397211554246228,0.07762375615935253,3.067604360354893,0.08428491115668205,0.018935926852981375,spot,1203,False
IDC,audited,phikon,donor,abs,3,0.8399443131549852,0.10312544722745376,4.874603997952261,0.873471318186649,7.662740777110589,0.11078333680906471,0.04927235003595004,donor,3005,True
IDC,audited,phikon,donor,scaled,3,0.7970947327131794,0.08754528139572494,114.00544215054282,71.44438575432754,118.6925332747583,0.13217890644651684,0.07072636084030363,donor,3005,True
IDC,audited,phikon,patient,abs,4,0.8121329624712423,0.08327296254783632,4.223184519839131,0.21672330770743248,7.548146202799996,0.1313001761880332,0.05656686134072457,patient,3005,True
IDC,audited,phikon,patient,scaled,4,0.8135487346280204,0.09158314731151353,69.28712076579808,44.79822869347261,73.21618980067475,0.13254307486250852,0.053908190509471064,patient,3005,True
IDC,audited,phikon,random,abs,4,0.8780813301389969,0.0008704453806891891,2.2656205093122597,0.004342989232163092,3.2676626928950685,0.06414114249638045,0.05777752736462271,spot,3005,True
IDC,audited,phikon,random,scaled,4,0.8925391699406651,0.000777019045796848,2.5024271166906864,0.007112047974624621,3.28448195008814,0.0617832221044884,0.04567760795484656,spot,3005,True
IDC,shipped,phikon,donor,abs,4,0.8176741685025833,0.11946011005211722,4.29087244339376,0.4205086695828645,7.613732498321825,0.13275478421550438,0.049571047281912306,donor,3005,False
IDC,shipped,phikon,donor,scaled,4,0.8225838717135265,0.11508071641827745,32.88099179007967,43.5408611872524,36.284390036713525,0.1269781749438793,0.05043795334259411,donor,3005,False
IDC,shipped,phikon,patient,abs,4,0.8115936222060056,0.07961340600122412,4.1020756112687,0.1515067629843542,7.422989485013575,0.1296876077662841,0.058718770027710296,patient,3005,False
IDC,shipped,phikon,patient,scaled,4,0.7990522717238391,0.10227288660766178,17.160828935264774,15.03486778225938,21.101082700515867,0.1398321152912641,0.061115612984896775,patient,3005,False
IDC,shipped,phikon,random,abs,4,0.8794295654253101,0.0005636583723247922,2.2092157533121872,0.003589743379484593,3.174619596453285,0.06357244595573641,0.056997988618953374,spot,3005,False
IDC,shipped,phikon,random,scaled,4,0.8962792721786966,0.00027655112146712156,2.3164426283900568,0.0064227319535347565,3.008966587840639,0.06049641576487709,0.04322431205642628,spot,3005,False
