task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched,superseded_label_set
CCRCC,shipped,virchow,donor,abs,24,0.86466922391828,0.14120906457228108,2.1211959629376302,0.11783857179714134,3.437636291541388,0.09459252413160009,0.04073825195011984,donor,35996,False
CCRCC,shipped,virchow,donor,scaled,24,0.8754021539312964,0.12200358931763627,2.1473710126039793,0.2785459147979156,3.2643871214842615,0.10039962110959987,0.024198224959103773,donor,35996,False
CCRCC,shipped,virchow,patient,abs,6,0.8567701595204612,0.10016933497704085,2.245375450563829,0.27604283028757887,3.661438706942397,0.08750014763179097,0.055729692847747876,patient,35996,False
CCRCC,shipped,virchow,patient,scaled,6,0.8728416907337958,0.05893362067602815,2.2939874101537954,0.19358264976022113,3.458476756245832,0.09377654192325165,0.03338176734295255,patient,35996,False
CCRCC,shipped,virchow,random,abs,6,0.8825217118181149,0.0008765321178660711,1.61655286315011,0.001395246636930924,2.2010068983501028,0.07573935537916643,0.04173893280271857,spot,35996,False
CCRCC,shipped,virchow,random,scaled,6,0.8989557019323344,0.0006452665325968122,1.5961545472407561,0.0011572914927599053,2.0784167575966213,0.07889395093454844,0.022150347133117133,spot,35996,False
COAD,shipped,virchow,donor,abs,4,0.8645567249059315,0.0316138709661983,3.2638222106373416,0.15556766249073983,5.168566636964957,0.07449430164617075,0.06094897344789775,donor,3389,False
COAD,shipped,virchow,donor,scaled,4,0.8570993835949904,0.04444233304278739,5.365133277592923,3.5001347610600946,7.246039304281818,0.0834262962360602,0.05947432016894945,donor,3389,False
COAD,shipped,virchow,patient,abs,2,0.7085872631631636,0.1392583966630847,2.525744846379359,0.8923849607504865,8.923934082903143,0.1819121910243385,0.10950054581249793,block;slide,3389,False
COAD,shipped,virchow,patient,scaled,2,0.6657899381585171,0.1654601756598775,2.8520495627783924,1.5877755797607518,10.206404307541312,0.2155599711601588,0.11865009068132412,block;slide,3389,False
COAD,shipped,virchow,random,abs,2,0.8963936683048692,0.0015949610518785824,2.161311382200155,0.008871866880380903,3.0129027650364177,0.056172569515682516,0.047433762179448294,spot,3389,False
COAD,shipped,virchow,random,scaled,2,0.9010660152040737,0.000832355553764515,2.3001732058350433,0.011520863448546638,2.9624381320580095,0.06215074213210896,0.036783242663817314,spot,3389,False
HCC,shipped,virchow,donor,abs,2,0.7503993362204242,0.053786421620462016,1.5715478817607003,0.1855238355691915,3.995898480242804,0.1682003858847075,0.08140027789486831,block,1203,False
HCC,shipped,virchow,donor,scaled,2,0.7418367007809463,0.041164740066138523,4.1418574257855525,0.09489324753021124,6.928882775396145,0.18528196428795818,0.07288133493109555,block,1203,False
HCC,shipped,virchow,patient,abs,2,0.7580668173802716,0.028502103947951354,1.6052110536934059,0.12642806426660627,3.9524497473279183,0.15656646915492622,0.08536671346480221,block,1203,False
HCC,shipped,virchow,patient,scaled,2,0.7298845407366537,0.05505734752154376,2.945531620474902,0.29784235568070844,5.813397167841425,0.18304129012064324,0.08707416914270308,block,1203,False
HCC,shipped,virchow,random,abs,2,0.9024263028375324,0.0016103395348872477,1.5895879756261313,0.004120674783049862,2.1376480074094495,0.07108669910077431,0.026486998061693235,spot,1203,False
HCC,shipped,virchow,random,scaled,2,0.898737597425749,0.003157409923143409,2.1769099019022873,0.12576036173533617,2.8176554823831905,0.08274959656829103,0.018512806005960017,spot,1203,False
IDC,audited,virchow,donor,abs,3,0.8269831959891025,0.09388679035071547,4.500989133591703,0.8221866447111691,7.492407344827218,0.11553808907174218,0.05747871493915536,donor,3005,True
