task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
CCRCC,shipped,conch_v15,donor,abs,INT1,donor,3,0.7818327183271833,0.15182499916605421,0.1857585452956544
CCRCC,shipped,conch_v15,donor,abs,INT10,donor,3,0.8026054799125903,0.017885555731414902,0.06617735035499381
CCRCC,shipped,conch_v15,donor,abs,INT11,donor,3,0.8425804957146167,0.06842414365327863,0.25671510256095853
CCRCC,shipped,conch_v15,donor,abs,INT12,donor,3,0.8878428669882839,0.013255113208559795,0.08845224475882156
CCRCC,shipped,conch_v15,donor,abs,INT13,donor,3,0.9184185975376615,0.005854424946737044,0.05495817260823136
CCRCC,shipped,conch_v15,donor,abs,INT14,donor,3,0.9687666228262458,0.005199269371582196,0.11456231614370248
CCRCC,shipped,conch_v15,donor,abs,INT15,donor,3,0.933365721997301,0.019905529037717782,0.12821345722576977
CCRCC,shipped,conch_v15,donor,abs,INT16,donor,3,0.9257018091079227,0.0045152259239411695,0.05861594718481949
CCRCC,shipped,conch_v15,donor,abs,INT17,donor,3,0.9396671315667131,0.015707455842105426,0.1704689627075722
CCRCC,shipped,conch_v15,donor,abs,INT18,donor,3,0.8768802984062395,0.04799173542771989,0.37686465749708425
CCRCC,shipped,conch_v15,donor,abs,INT19,donor,3,0.9762947992454863,0.0034478111236115718,0.07179842153322873
CCRCC,shipped,conch_v15,donor,abs,INT2,donor,3,0.9216304909560723,0.017668726700329807,0.10927968368761344
CCRCC,shipped,conch_v15,donor,abs,INT20,donor,3,0.9487558299039781,0.014651140519800364,0.14712339313752165
CCRCC,shipped,conch_v15,donor,abs,INT21,donor,3,0.9247611390284757,0.023747324845561107,0.2667359367453227
CCRCC,shipped,conch_v15,donor,abs,INT22,donor,3,0.8496021589623052,0.03684691722844316,0.07714701287068121
CCRCC,shipped,conch_v15,donor,abs,INT23,donor,3,0.8570837714686296,0.03777548145951797,0.33469349774959517
CCRCC,shipped,conch_v15,donor,abs,INT24,donor,3,0.9209504804138952,0.007537903080974412,0.1161440032216495
CCRCC,shipped,conch_v15,donor,abs,INT3,donor,3,0.9613917953828267,0.019439910828066675,0.20889424215500352
CCRCC,shipped,conch_v15,donor,abs,INT4,donor,3,0.8772127501853224,0.04947848225794778,0.1084953531124536
CCRCC,shipped,conch_v15,donor,abs,INT5,donor,3,0.2597189432265317,0.013436085951363155,0.059338231374268115
CCRCC,shipped,conch_v15,donor,abs,INT6,donor,3,0.8775764799364323,0.052651823738732235,0.18289485586075277
CCRCC,shipped,conch_v15,donor,abs,INT7,donor,3,0.8493007582139849,0.01820405146437624,0.11044847039608682
CCRCC,shipped,conch_v15,donor,abs,INT8,donor,3,0.7302479904224389,0.022156147390097195,0.11501760331876766
CCRCC,shipped,conch_v15,donor,abs,INT9,donor,3,0.9133844339622641,0.04517422717899333,0.2996251763734873
CCRCC,shipped,conch_v15,donor,scaled,INT1,donor,3,0.9301476014760147,0.03500152694558854,0.1818061036626466
CCRCC,shipped,conch_v15,donor,scaled,INT10,donor,3,0.8064414187258363,0.04453542182305319,0.15233930300910287
CCRCC,shipped,conch_v15,donor,scaled,INT11,donor,3,0.8880287236506833,0.03484358690265712,0.22267540884904896
