task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
IDC,audited,conch_v15,slide_out,abs,NCBI783,slide,3,0.8940765391014974,0.03158497382299543,0.47860593438723775
IDC,audited,conch_v15,slide_out,abs,NCBI785,slide,3,0.7418553615960101,0.0020004850128010026,0.04285932903243514
IDC,audited,conch_v15,slide_out,abs,TENX95,slide,3,0.8919914089347079,0.028365735995503804,0.43904184273016617
IDC,audited,conch_v15,slide_out,abs,TENX99,slide,3,0.8404787823322576,0.04737646975709675,0.33066393114746934
IDC,audited,conch_v15,slide_out,scaled,NCBI783,slide,3,0.9044370493621742,0.04133252378002172,1.0718995264961901
IDC,audited,conch_v15,slide_out,scaled,NCBI785,slide,3,0.772852867830424,0.014885994287089588,0.3465587323011538
IDC,audited,conch_v15,slide_out,scaled,TENX95,slide,3,0.903548969072165,0.022583441215704072,0.5658288030403864
IDC,audited,conch_v15,slide_out,scaled,TENX99,slide,3,0.8339367082510476,0.04732949826034965,0.47005410130022346
PRAD,shipped,conch_v15,slide_out,abs,MEND139,slide,3,0.8742971459055747,0.028072211113137794,0.06381880042935167
PRAD,shipped,conch_v15,slide_out,abs,MEND140,slide,3,0.88299052540913,0.05024237240323486,0.3288379081259241
PRAD,shipped,conch_v15,slide_out,abs,MEND141,slide,3,0.9370680044593088,0.021730006946972302,0.23979666436035701
PRAD,shipped,conch_v15,slide_out,abs,MEND142,slide,3,0.9508530752975197,0.01672772521300637,0.256565993514462
PRAD,shipped,conch_v15,slide_out,abs,MEND143,slide,3,0.9652585604472397,0.008858599550604829,0.17574668658119857
PRAD,shipped,conch_v15,slide_out,abs,MEND144,slide,3,0.975868106692849,0.008606836401844224,0.24390407719894708
PRAD,shipped,conch_v15,slide_out,abs,MEND145,slide,3,0.9435072872590503,0.014079084052871334,0.1433176135772463
PRAD,shipped,conch_v15,slide_out,abs,MEND146,slide,3,0.956612355736592,0.010496459411922298,0.11996532410301394
PRAD,shipped,conch_v15,slide_out,abs,MEND147,slide,3,0.9547780157030692,0.016533277708321577,0.20312907057774135
PRAD,shipped,conch_v15,slide_out,abs,MEND148,slide,3,0.9779138599714227,0.00770151304946533,0.16982080548574469
PRAD,shipped,conch_v15,slide_out,abs,MEND149,slide,3,0.9445200792364488,0.022399650273535205,0.16235677261828105
PRAD,shipped,conch_v15,slide_out,abs,MEND150,slide,3,0.9014277555682467,0.02749741637565207,0.23821632431097278
