task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
CCRCC,shipped,ctranspath,donor,abs,INT1,donor,3,0.7829766297662978,0.15263319487086144,0.22943244487132539
CCRCC,shipped,ctranspath,donor,abs,INT10,donor,3,0.8189914271306101,0.03265065522552641,0.11670879933573822
CCRCC,shipped,ctranspath,donor,abs,INT11,donor,3,0.8470465601111883,0.06360374476409372,0.25466283383882926
CCRCC,shipped,ctranspath,donor,abs,INT12,donor,3,0.9059912703882379,0.009766273000589873,0.10082341794988159
CCRCC,shipped,ctranspath,donor,abs,INT13,donor,3,0.9305987611837577,0.010098574559535937,0.03508293594439216
CCRCC,shipped,ctranspath,donor,abs,INT14,donor,3,0.9715329533830191,0.010450066990814851,0.19213195093723268
CCRCC,shipped,ctranspath,donor,abs,INT15,donor,3,0.93155330634278,0.024137193562101582,0.13797510254662657
CCRCC,shipped,ctranspath,donor,abs,INT16,donor,3,0.9153150343106674,0.013887595034724778,0.07484858539704338
CCRCC,shipped,ctranspath,donor,abs,INT17,donor,3,0.9210469549046955,0.021484290758102143,0.15050224677514037
CCRCC,shipped,ctranspath,donor,abs,INT18,donor,3,0.875041030857918,0.04604206451017358,0.39746035755752285
CCRCC,shipped,ctranspath,donor,abs,INT19,donor,3,0.9720789544597143,0.00471492563826717,0.09956737717395235
CCRCC,shipped,ctranspath,donor,abs,INT2,donor,3,0.9424289405684755,0.014215465605179937,0.1819475995598981
CCRCC,shipped,ctranspath,donor,abs,INT20,donor,3,0.9610164609053498,0.009761160728527236,0.12314531319081298
CCRCC,shipped,ctranspath,donor,abs,INT21,donor,3,0.9217902847571189,0.01995288684186434,0.26914814704424067
CCRCC,shipped,ctranspath,donor,abs,INT22,donor,3,0.8522277357012276,0.04082840819439291,0.09369737010299295
CCRCC,shipped,ctranspath,donor,abs,INT23,donor,3,0.838509638976516,0.055208789791860155,0.3195830179306066
CCRCC,shipped,ctranspath,donor,abs,INT24,donor,3,0.9203355506282335,0.008400892738981411,0.09433762164967847
CCRCC,shipped,ctranspath,donor,abs,INT3,donor,3,0.9653246968942035,0.013266067901624344,0.18884465930337202
CCRCC,shipped,ctranspath,donor,abs,INT4,donor,3,0.8779985174203113,0.056993377293909686,0.15337200411239532
CCRCC,shipped,ctranspath,donor,abs,INT5,donor,3,0.27195615514333893,0.016220519582451264,0.07322439936318464
CCRCC,shipped,ctranspath,donor,abs,INT6,donor,3,0.8973381009137862,0.03854072851170499,0.22081126025341102
CCRCC,shipped,ctranspath,donor,abs,INT7,donor,3,0.8247514743049704,0.01515300292117186,0.12784862030677577
CCRCC,shipped,ctranspath,donor,abs,INT8,donor,3,0.7356011629895672,0.022449777978532905,0.0803526775729086
CCRCC,shipped,ctranspath,donor,abs,INT9,donor,3,0.9028459119496856,0.06222016198817665,0.27779508698540417
CCRCC,shipped,ctranspath,donor,scaled,INT1,donor,3,0.8850430504305042,0.09271797329705976,0.46478319405742263
CCRCC,shipped,ctranspath,donor,scaled,INT10,donor,3,0.8243435871575054,0.05848875582795928,0.04184847586840107
CCRCC,shipped,ctranspath,donor,scaled,INT11,donor,3,0.8568496641186009,0.0614083145008833,0.34110445989921656
CCRCC,shipped,ctranspath,donor,scaled,INT12,donor,3,0.9599770273374685,0.008318402054330777,0.1777634937055751
CCRCC,shipped,ctranspath,donor,scaled,INT13,donor,3,0.9167209604649385,0.012211384594220488,0.21817707612910267
CCRCC,shipped,ctranspath,donor,scaled,INT14,donor,3,0.9577217594622242,0.015835762832078198,0.3085287670629276
CCRCC,shipped,ctranspath,donor,scaled,INT15,donor,3,0.9361457489878543,0.03932415965652526,0.4302261617246393
CCRCC,shipped,ctranspath,donor,scaled,INT16,donor,3,0.8625431482636724,0.01721279927124074,0.09175354206271331
CCRCC,shipped,ctranspath,donor,scaled,INT17,donor,3,0.8548117154811715,0.01044504482823654,0.028887660190375038
CCRCC,shipped,ctranspath,donor,scaled,INT18,donor,3,0.8799498134961002,0.039586048402546835,0.41924592917159703
CCRCC,shipped,ctranspath,donor,scaled,INT19,donor,3,0.9350767987065481,0.0044444105882149665,0.1128403664488756
CCRCC,shipped,ctranspath,donor,scaled,INT2,donor,3,0.9301653746770026,0.014533584093490768,0.261287616246916
CCRCC,shipped,ctranspath,donor,scaled,INT20,donor,3,0.9540864197530864,0.004982859407286476,0.09940244989789043
CCRCC,shipped,ctranspath,donor,scaled,INT21,donor,3,0.9095705192629816,0.01941208101946205,0.18932237461616314
CCRCC,shipped,ctranspath,donor,scaled,INT22,donor,3,0.8635257247323059,0.034620909516260005,2.0084103670750793
CCRCC,shipped,ctranspath,donor,scaled,INT23,donor,3,0.8193592709428672,0.03257607189518692,0.2589704229074033
CCRCC,shipped,ctranspath,donor,scaled,INT24,donor,3,0.8835240206947524,0.027366121462087507,0.2075292460214343
CCRCC,shipped,ctranspath,donor,scaled,INT3,donor,3,0.9643746885899352,0.01419808897216705,0.1977676509747889
CCRCC,shipped,ctranspath,donor,scaled,INT4,donor,3,0.9415221151470224,0.026933255802530764,0.16693467406558585
CCRCC,shipped,ctranspath,donor,scaled,INT5,donor,3,0.33966835300730747,0.014492970430315524,0.05805536532471626
CCRCC,shipped,ctranspath,donor,scaled,INT6,donor,3,0.9266070719110052,0.037268370983160964,0.30850553148364407
CCRCC,shipped,ctranspath,donor,scaled,INT7,donor,3,0.818101656837967,0.040932006419108546,0.11047387209447462
CCRCC,shipped,ctranspath,donor,scaled,INT8,donor,3,0.7853805370275354,0.00398683261058964,0.07370591380543114
CCRCC,shipped,ctranspath,donor,scaled,INT9,donor,3,0.9593317610062893,0.01790226915649809,0.2867378556266021
CCRCC,shipped,ctranspath,patient,abs,0,patient,3,0.9529903731175636,0.026978174778814944,0.062007165524665016
CCRCC,shipped,ctranspath,patient,abs,1,patient,3,0.7912260191401259,0.08391649273165949,0.19629676232571736
CCRCC,shipped,ctranspath,patient,abs,2,patient,3,0.8202455730567432,0.0935341304405868,0.7165863851998796
CCRCC,shipped,ctranspath,patient,abs,3,patient,3,0.7333697792057423,0.03281315784710237,0.13802456664770799
CCRCC,shipped,ctranspath,patient,abs,4,patient,3,0.8897740762339922,0.06273391082417736,0.2526685143405462
CCRCC,shipped,ctranspath,patient,abs,5,patient,3,0.9440010192651361,0.02442756685551987,0.3910963945976919
CCRCC,shipped,ctranspath,patient,scaled,0,patient,3,0.9511439709372557,0.01387864305909003,0.12223557211789608
CCRCC,shipped,ctranspath,patient,scaled,1,patient,3,0.8849253186331804,0.04199402676704243,0.17960649238732024
CCRCC,shipped,ctranspath,patient,scaled,2,patient,3,0.8137681167348366,0.06484783478545525,0.5878082450764974
CCRCC,shipped,ctranspath,patient,scaled,3,patient,3,0.788047346216123,0.019603667318191336,0.24822640601659884
CCRCC,shipped,ctranspath,patient,scaled,4,patient,3,0.8914160304729374,0.05767560591202169,0.29569802351716057
CCRCC,shipped,ctranspath,patient,scaled,5,patient,3,0.8917578712999523,0.03975419570031101,0.347314867625597
CCRCC,shipped,ctranspath,random,abs,0,spot,1,0.8802319633112272,0.0014469327528585012,0.003166182198156966
CCRCC,shipped,ctranspath,random,abs,1,spot,1,0.8810284088849982,0.0026589881253394525,0.005842191164501517
CCRCC,shipped,ctranspath,random,abs,2,spot,1,0.8788198062032844,0.0012174178106915568,0.0026748770573994905
CCRCC,shipped,ctranspath,random,abs,3,spot,1,0.8788944524119101,0.002144753630685726,0.004848100954283935
CCRCC,shipped,ctranspath,random,abs,4,spot,1,0.8798649927340569,0.0010271403763933218,0.0024308911794861656
CCRCC,shipped,ctranspath,random,abs,5,spot,1,0.8792453159941843,0.001603112069674007,0.0034162601797695694
CCRCC,shipped,ctranspath,random,scaled,0,spot,1,0.9004989872648892,0.0016391782856586205,0.0044917637694083965
CCRCC,shipped,ctranspath,random,scaled,1,spot,1,0.9005010700814436,0.0016281191761229334,0.005798424554937073
CCRCC,shipped,ctranspath,random,scaled,2,spot,1,0.89905922553251,0.0009785696394774203,0.0016941883866840686
CCRCC,shipped,ctranspath,random,scaled,3,spot,1,0.8996470357097298,0.0028657011024247675,0.010012721658397653
CCRCC,shipped,ctranspath,random,scaled,4,spot,1,0.9002600036576137,0.0010633551141953751,0.004287334177276332
CCRCC,shipped,ctranspath,random,scaled,5,spot,1,0.8995525078050036,0.0020035758002489015,0.007189749922859027
COAD,shipped,ctranspath,donor,abs,COAD_Oliveira_P1,donor,3,0.9027403314917127,0.004085922051659841,0.2901742657388447
COAD,shipped,ctranspath,donor,abs,COAD_Oliveira_P2,donor,3,0.8282696841112682,0.014484270381396061,0.10069476422541267
COAD,shipped,ctranspath,donor,abs,COAD_Oliveira_P5,donor,3,0.8946990537508536,0.008803373094953115,0.17536992770934634
COAD,shipped,ctranspath,donor,abs,COAD_donor_TENX111,donor,3,0.838382883769771,0.02271822495176033,0.0428605267643035
COAD,shipped,ctranspath,donor,scaled,COAD_Oliveira_P1,donor,3,0.9152872928176796,0.015117951437405321,51.588118495227285
COAD,shipped,ctranspath,donor,scaled,COAD_Oliveira_P2,donor,3,0.8332673267326732,0.026370668525311648,0.6008064469238418
COAD,shipped,ctranspath,donor,scaled,COAD_Oliveira_P5,donor,3,0.8721432055409228,0.002934588494213487,0.28776626170283215
COAD,shipped,ctranspath,donor,scaled,COAD_donor_TENX111,donor,3,0.779561593489532,0.03072654527598759,0.38444928441884074
COAD,shipped,ctranspath,patient,abs,0,block,3,0.5865791102248745,0.006473784371061167,0.009758194540908045
COAD,shipped,ctranspath,patient,abs,1,slide,3,0.8379549780140447,0.014054680954702347,0.013151790572212944
COAD,shipped,ctranspath,patient,scaled,0,block,3,0.5510209555715959,0.01377634240415052,0.06604303837160076
COAD,shipped,ctranspath,patient,scaled,1,slide,3,0.7851978735971649,0.011542293632070417,1.2821637299285813
COAD,shipped,ctranspath,random,abs,0,spot,1,0.8960163654504459,0.0035117049929502663,0.02754781158828891
COAD,shipped,ctranspath,random,abs,1,spot,1,0.8972946536658741,0.0018667313669346272,0.013423600531295125
COAD,shipped,ctranspath,random,scaled,0,spot,1,0.9010565244519666,0.0021527001833567534,0.01963981290080866
COAD,shipped,ctranspath,random,scaled,1,spot,1,0.9005670448117169,0.0017392237405166806,0.01686946460602592
HCC,shipped,ctranspath,donor,abs,CHC20,block,3,0.7610990898162461,0.002717481251285112,0.008586792328916815
HCC,shipped,ctranspath,donor,abs,CHC23,block,3,0.6776969696969696,0.030068230279612324,0.06699074298416416
HCC,shipped,ctranspath,donor,scaled,CHC20,block,3,0.7134157650695517,0.03571329999469738,3.078713457879617
HCC,shipped,ctranspath,donor,scaled,CHC23,block,3,0.8205144124168515,0.049638473518081136,3.6331657437502387
HCC,shipped,ctranspath,patient,abs,0,block,3,0.7129283074648928,0.015134317065115185,0.04827297331080469
HCC,shipped,ctranspath,patient,abs,1,block,3,0.7407281470032631,0.03309158327580546,0.04140396390958112
HCC,shipped,ctranspath,patient,scaled,0,block,3,0.8089342202512935,0.03745273013052302,1.4360255518416056
HCC,shipped,ctranspath,patient,scaled,1,block,3,0.7007865361497511,0.008717158135038575,0.7859659778934049
HCC,shipped,ctranspath,random,abs,0,spot,1,0.901151139944788,0.003363836122975173,0.01943477064121555
HCC,shipped,ctranspath,random,abs,1,spot,1,0.9013505007697944,0.0023111427130978785,0.011350762887487448
HCC,shipped,ctranspath,random,scaled,0,spot,1,0.8983404468233884,0.00707584291984631,0.3787200483181133
HCC,shipped,ctranspath,random,scaled,1,spot,1,0.8998081954317992,0.004607440851293851,0.10996247017252467
IDC,audited,ctranspath,donor,abs,IDC_JanesickSample1,donor,1,0.8808894161559864,,
IDC,audited,ctranspath,donor,abs,NCBI783,donor,1,0.8428685524126456,,
IDC,audited,ctranspath,donor,abs,NCBI785,donor,1,0.8034463840399002,,
IDC,audited,ctranspath,donor,scaled,IDC_JanesickSample1,donor,1,0.9284142548081579,,
IDC,audited,ctranspath,donor,scaled,NCBI783,donor,1,0.872945091514143,,
IDC,audited,ctranspath,donor,scaled,NCBI785,donor,1,0.780219451371571,,
IDC,audited,ctranspath,patient,abs,0,patient,3,0.8775405808968739,0.029671378697376957,0.19523991126880783
IDC,audited,ctranspath,patient,abs,1,patient,3,0.8664896907216496,0.02366308780946599,0.38881370561169043
IDC,audited,ctranspath,patient,abs,2,patient,3,0.7712086450540315,0.06550909690976177,0.3940524062669134
IDC,audited,ctranspath,patient,abs,3,patient,3,0.8267043815862452,0.06192410232159839,0.6856923395967769
IDC,audited,ctranspath,patient,scaled,0,patient,3,0.8896575309474496,0.025514430878364792,46.423402181972016
IDC,audited,ctranspath,patient,scaled,1,patient,3,0.8878341924398626,0.038471550060107364,129.92425537146147
IDC,audited,ctranspath,patient,scaled,2,patient,3,0.7303142144638404,0.06773831229256688,77.74213689209222
IDC,audited,ctranspath,patient,scaled,3,patient,3,0.8009561841375485,0.05045216905032461,34.36891266582106
IDC,audited,ctranspath,random,abs,0,spot,1,0.8757371243099279,0.002106280482612661,0.018372621007009954
IDC,audited,ctranspath,random,abs,1,spot,1,0.8752035686963893,0.001634298262381646,0.013393044523570968
IDC,audited,ctranspath,random,abs,2,spot,1,0.8735156973055636,0.0010285972004745753,0.006904684751350707
IDC,audited,ctranspath,random,abs,3,spot,1,0.8725704500529006,0.0036879269847947898,0.009962728725489213
IDC,audited,ctranspath,random,scaled,0,spot,1,0.8909672445191802,0.0014470102593660537,0.02425306233011942
IDC,audited,ctranspath,random,scaled,1,spot,1,0.8904725909236753,0.0022384043880952216,0.026103646910231898
IDC,audited,ctranspath,random,scaled,2,spot,1,0.8904769193745358,0.0015631309575382013,0.010717983444937067
IDC,audited,ctranspath,random,scaled,3,spot,1,0.8859361820975472,0.003371222122853759,0.01121904002973317
IDC,shipped,ctranspath,donor,abs,IDC_shipped_patient_1,donor,3,0.8755172358428464,0.027741859298226625,0.1342630507896478
IDC,shipped,ctranspath,donor,abs,IDC_shipped_patient_2,donor,3,0.87771735395189,0.030253520287386208,0.41129072685950346
IDC,shipped,ctranspath,donor,abs,NCBI783,donor,3,0.8468996117581807,0.02195177662113063,0.5268392353235375
IDC,shipped,ctranspath,donor,abs,NCBI785,donor,3,0.7641845386533666,0.04296313806500675,0.6534720850786659
IDC,shipped,ctranspath,donor,scaled,IDC_shipped_patient_1,donor,3,0.8820821090827353,0.031383810826052225,53.58104838145096
IDC,shipped,ctranspath,donor,scaled,IDC_shipped_patient_2,donor,3,0.8843994845360825,0.041514556693678296,49.73292378274636
