task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
IDC,audited,ctranspath,slide_out,abs,NCBI783,slide,3,0.8601619523017193,0.02562751090061794,0.5047257147867801
IDC,audited,ctranspath,slide_out,abs,NCBI785,slide,3,0.7597622610141314,0.04644705057904866,0.6283998969063102
IDC,audited,ctranspath,slide_out,abs,TENX95,slide,3,0.8759785223367698,0.03574578049184148,0.4862900845012709
IDC,audited,ctranspath,slide_out,abs,TENX99,slide,3,0.8784162612590917,0.03007139501083491,0.18264603474248364
IDC,audited,ctranspath,slide_out,scaled,NCBI783,slide,3,0.8628641153632834,0.01067740020846263,120.66145214097921
IDC,audited,ctranspath,slide_out,scaled,NCBI785,slide,3,0.7887497921862012,0.009562519434362426,31.663023972096365
IDC,audited,ctranspath,slide_out,scaled,TENX95,slide,3,0.8930051546391753,0.05520466195544961,60.545631437941346
IDC,audited,ctranspath,slide_out,scaled,TENX99,slide,3,0.8782264823467077,0.02906209888165619,30.772919518950147
PRAD,shipped,ctranspath,slide_out,abs,MEND139,slide,3,0.8652725171156753,0.03926188186543851,0.09704257918454962
PRAD,shipped,ctranspath,slide_out,abs,MEND140,slide,3,0.8881791559000861,0.056745140871398175,0.33282176741205777
PRAD,shipped,ctranspath,slide_out,abs,MEND141,slide,3,0.939635823114084,0.013762776975808097,0.19461028025543878
PRAD,shipped,ctranspath,slide_out,abs,MEND142,slide,3,0.9601490379268157,0.014246206066939295,0.3458076434487089
PRAD,shipped,ctranspath,slide_out,abs,MEND143,slide,3,0.9581376659678545,0.016500673471278322,0.1886574741857065
PRAD,shipped,ctranspath,slide_out,abs,MEND144,slide,3,0.9798232695139912,0.008509410676495443,0.2758688216250081
PRAD,shipped,ctranspath,slide_out,abs,MEND145,slide,3,0.9417771509167842,0.0153659547191032,0.12182214190561193
PRAD,shipped,ctranspath,slide_out,abs,MEND146,slide,3,0.9599830278343516,0.008582777685245268,0.12755474578566195
PRAD,shipped,ctranspath,slide_out,abs,MEND147,slide,3,0.9629321912919343,0.014463079895331854,0.23157110226712418
PRAD,shipped,ctranspath,slide_out,abs,MEND148,slide,3,0.9797754643804858,0.0075274813482054575,0.16452687628334012
PRAD,shipped,ctranspath,slide_out,abs,MEND149,slide,3,0.9520043219881145,0.017884243073130888,0.14536125824643098
PRAD,shipped,ctranspath,slide_out,abs,MEND150,slide,3,0.8924957167332952,0.03718920706733461,0.2653692692428745
PRAD,shipped,ctranspath,slide_out,abs,MEND151,slide,3,0.948,0.024186436856441892,0.1247348671390064
PRAD,shipped,ctranspath,slide_out,abs,MEND152,slide,3,0.9059528444732857,0.03596850279559372,0.1947609818357307
PRAD,shipped,ctranspath,slide_out,abs,MEND153,slide,3,0.9065714285714286,0.03071615516534467,0.2526371630081802
PRAD,shipped,ctranspath,slide_out,abs,MEND154,slide,3,0.858316276803119,0.04720807227243447,0.35509056688256657
PRAD,shipped,ctranspath,slide_out,abs,MEND156,slide,3,0.7285462389795535,0.04024892167019274,0.1857086304829642
PRAD,shipped,ctranspath,slide_out,abs,MEND157,slide,3,0.8284158829676072,0.058573218112257346,0.238252507243277
PRAD,shipped,ctranspath,slide_out,abs,MEND158,slide,3,0.8958128503665373,0.02332813147176676,0.180570316612961
PRAD,shipped,ctranspath,slide_out,abs,MEND159,slide,3,0.6385079529737206,0.05859514517693163,0.1861160430577431
PRAD,shipped,ctranspath,slide_out,abs,MEND160,slide,3,0.8897147993789328,0.05164050040352027,0.4236809309237023
PRAD,shipped,ctranspath,slide_out,abs,MEND161,slide,3,0.7793657657657658,0.010174054762444854,0.0352048788210069
PRAD,shipped,ctranspath,slide_out,abs,MEND162,slide,3,0.952975597291427,0.012297213806961565,0.12375197170499337
PRAD,shipped,ctranspath,slide_out,scaled,MEND139,slide,3,0.9368809460300525,0.03217773645610254,0.3448857054053017
PRAD,shipped,ctranspath,slide_out,scaled,MEND140,slide,3,0.8455676141257537,0.0385961827147269,0.13236380922169944
PRAD,shipped,ctranspath,slide_out,scaled,MEND141,slide,3,0.8548420661464139,0.01498464756128366,0.08843030316824396
PRAD,shipped,ctranspath,slide_out,scaled,MEND142,slide,3,0.938465131798465,0.026600051297063203,0.245953480946578
PRAD,shipped,ctranspath,slide_out,scaled,MEND143,slide,3,0.8879385045422782,0.038282293074865636,0.18829656240215917
PRAD,shipped,ctranspath,slide_out,scaled,MEND144,slide,3,0.925647193585338,0.008797493757896874,0.12956112860711308
PRAD,shipped,ctranspath,slide_out,scaled,MEND145,slide,3,0.8962153267512929,0.035955432274008166,0.1784744288993789
PRAD,shipped,ctranspath,slide_out,scaled,MEND146,slide,3,0.9014019008825526,0.022427142733648882,0.1457278614489844
PRAD,shipped,ctranspath,slide_out,scaled,MEND147,slide,3,0.9211563169164881,0.018343525823427118,0.12780858072102047
PRAD,shipped,ctranspath,slide_out,scaled,MEND148,slide,3,0.8836129822412738,0.039370422508494145,0.12146593857162867
PRAD,shipped,ctranspath,slide_out,scaled,MEND149,slide,3,0.9273689897352781,0.004895343199753856,0.1964888131147315
PRAD,shipped,ctranspath,slide_out,scaled,MEND150,slide,3,0.851288787359604,0.04556126624199003,0.24516862065378017
PRAD,shipped,ctranspath,slide_out,scaled,MEND151,slide,3,0.9336025641025641,0.01611006215270768,0.14932354009151824
PRAD,shipped,ctranspath,slide_out,scaled,MEND152,slide,3,0.9249729612805537,0.02021191469031525,0.21271638479474567
PRAD,shipped,ctranspath,slide_out,scaled,MEND153,slide,3,0.8332673992673992,0.04826405193822448,0.3511772287037727
PRAD,shipped,ctranspath,slide_out,scaled,MEND154,slide,3,0.947624269005848,0.026566234358205598,0.3276455239600775
PRAD,shipped,ctranspath,slide_out,scaled,MEND156,slide,3,0.7900093791033577,0.015808106072794172,0.15591976297194388
PRAD,shipped,ctranspath,slide_out,scaled,MEND157,slide,3,0.939337513061651,0.018389224901282197,0.21718892296455813
PRAD,shipped,ctranspath,slide_out,scaled,MEND158,slide,3,0.8790405347132384,0.013107356907779933,0.06785436489502575
PRAD,shipped,ctranspath,slide_out,scaled,MEND159,slide,3,0.9660010373443985,0.005165982915056849,0.2000839936881228
PRAD,shipped,ctranspath,slide_out,scaled,MEND160,slide,3,0.9642951703848982,0.0074494563505559065,0.16311713483737988
PRAD,shipped,ctranspath,slide_out,scaled,MEND161,slide,3,0.8451579579579579,0.06160338187811596,0.29645589476255685
PRAD,shipped,ctranspath,slide_out,scaled,MEND162,slide,3,0.8697610834291556,0.03154580933331949,0.2008774987544543
READ,shipped,ctranspath,slide_out,abs,ZEN36,slide,3,0.7858111571062487,0.054466374407167964,0.440379257939025
READ,shipped,ctranspath,slide_out,abs,ZEN40,slide,3,0.6348276942355889,0.037144161938158574,0.03162761178644185
READ,shipped,ctranspath,slide_out,abs,ZEN48,slide,3,0.9390663871418589,0.014135565109808951,0.12286723267083823
READ,shipped,ctranspath,slide_out,abs,ZEN49,slide,3,0.9221243758511122,0.0493130835555231,0.23579810026948342
READ,shipped,ctranspath,slide_out,scaled,ZEN36,slide,3,0.8246008279124778,0.039229961860918316,24.601197852685107
READ,shipped,ctranspath,slide_out,scaled,ZEN40,slide,3,0.7708051378446115,0.023355314846415145,0.22769954105935203
READ,shipped,ctranspath,slide_out,scaled,ZEN48,slide,3,0.9181914744933612,0.014701167140358256,0.7702610180850423
READ,shipped,ctranspath,slide_out,scaled,ZEN49,slide,3,0.9154728400665758,0.02193044667190048,6.774057597554242
