task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
CCRCC,shipped,gigapath,donor,abs,INT1,donor,3,0.8424354243542437,0.10753889580988028,0.2374130935508219
CCRCC,shipped,gigapath,donor,abs,INT10,donor,3,0.7875441250630358,0.04589487985475322,0.1316726015182418
CCRCC,shipped,gigapath,donor,abs,INT11,donor,3,0.808126013435256,0.09052114441488533,0.27032046288167855
CCRCC,shipped,gigapath,donor,abs,INT12,donor,3,0.8822467263955892,0.03716984947359811,0.06778661491729086
CCRCC,shipped,gigapath,donor,abs,INT13,donor,3,0.9087925365144911,0.013535588030768618,0.039447537341327846
CCRCC,shipped,gigapath,donor,abs,INT14,donor,3,0.9681616250182669,0.011576788731044318,0.1464284331837077
CCRCC,shipped,gigapath,donor,abs,INT15,donor,3,0.918910931174089,0.02915228593742529,0.1185345733380338
CCRCC,shipped,gigapath,donor,abs,INT16,donor,3,0.9313745061343314,0.015666991821076715,0.08358991068785633
CCRCC,shipped,gigapath,donor,abs,INT17,donor,3,0.9461645746164574,0.013330353360612241,0.12925285862802052
CCRCC,shipped,gigapath,donor,abs,INT18,donor,3,0.8797504238724992,0.04946572838823092,0.4390851221517849
CCRCC,shipped,gigapath,donor,abs,INT19,donor,3,0.9801199137698733,0.003105487814723053,0.07524157974345384
CCRCC,shipped,gigapath,donor,abs,INT2,donor,3,0.9286899224806202,0.019607290138438843,0.17395848958026894
CCRCC,shipped,gigapath,donor,abs,INT20,donor,3,0.9612565157750342,0.006216613424202553,0.11723911108533946
CCRCC,shipped,gigapath,donor,abs,INT21,donor,3,0.9239597989949749,0.027788433737248576,0.3216162215560069
CCRCC,shipped,gigapath,donor,abs,INT22,donor,3,0.8748463480456167,0.022934854888454516,0.07419429723364479
CCRCC,shipped,gigapath,donor,abs,INT23,donor,3,0.8680392569225376,0.04715534536311222,0.33024538754662736
CCRCC,shipped,gigapath,donor,abs,INT24,donor,3,0.9137915742793791,0.013599570357984106,0.11672737258579603
CCRCC,shipped,gigapath,donor,abs,INT3,donor,3,0.9633516027238,0.016527617857172935,0.19083820066516902
CCRCC,shipped,gigapath,donor,abs,INT4,donor,3,0.8614974054855448,0.0708464491291138,0.1425910937281088
CCRCC,shipped,gigapath,donor,abs,INT5,donor,3,0.2528386734120292,0.01723338104428205,0.0840510033858814
CCRCC,shipped,gigapath,donor,abs,INT6,donor,3,0.8900516487882401,0.04064219783891041,0.2162568098167714
CCRCC,shipped,gigapath,donor,abs,INT7,donor,3,0.8344903117101937,0.017945598007559307,0.10579580861772271
CCRCC,shipped,gigapath,donor,abs,INT8,donor,3,0.7665777321703438,0.022355952959106456,0.10177108557288532
CCRCC,shipped,gigapath,donor,abs,INT9,donor,3,0.9258883647798742,0.03640334263382615,0.30706035786018526
CCRCC,shipped,gigapath,donor,scaled,INT1,donor,3,0.8952275522755228,0.09239703803590803,0.36966155140813917
CCRCC,shipped,gigapath,donor,scaled,INT10,donor,3,0.7845083207261725,0.0887294857950361,0.2173549437207834
CCRCC,shipped,gigapath,donor,scaled,INT11,donor,3,0.85045170257123,0.06960884110535072,0.29101986322336026
CCRCC,shipped,gigapath,donor,scaled,INT12,donor,3,0.9146749368251781,0.025797372917208253,0.18793126224256698
CCRCC,shipped,gigapath,donor,scaled,INT13,donor,3,0.870181234228034,0.0006227299133555144,0.10133689441783357
CCRCC,shipped,gigapath,donor,scaled,INT14,donor,3,0.9483574455648108,0.011905194083054904,0.13025633703120157
CCRCC,shipped,gigapath,donor,scaled,INT15,donor,3,0.9201268556005399,0.03999869306764689,0.2605719916288441
CCRCC,shipped,gigapath,donor,scaled,INT16,donor,3,0.906261176959867,0.008305497336012154,0.08500723353329866
CCRCC,shipped,gigapath,donor,scaled,INT17,donor,3,0.8926527196652719,0.014953986082132019,0.0875022729301327
CCRCC,shipped,gigapath,donor,scaled,INT18,donor,3,0.8846592065106815,0.036702990966703215,0.46518030578238473
CCRCC,shipped,gigapath,donor,scaled,INT19,donor,3,0.956286715171113,0.0029709724893658912,0.06602275211322735
CCRCC,shipped,gigapath,donor,scaled,INT2,donor,3,0.9343049095607235,0.018868759002703534,0.23707100681942309
CCRCC,shipped,gigapath,donor,scaled,INT20,donor,3,0.9533196159122085,0.013039672005128925,0.12997495714538546
CCRCC,shipped,gigapath,donor,scaled,INT21,donor,3,0.9240308207705192,0.028898816843296194,0.29481876142885716
CCRCC,shipped,gigapath,donor,scaled,INT22,donor,3,0.8668181422477583,0.01896013986830691,0.031133691667764814
CCRCC,shipped,gigapath,donor,scaled,INT23,donor,3,0.8656515948124781,0.03128981988929741,0.25684690120857917
CCRCC,shipped,gigapath,donor,scaled,INT24,donor,3,0.8642601626016261,0.02802792186333185,0.13033947608199903
CCRCC,shipped,gigapath,donor,scaled,INT3,donor,3,0.9456867629961799,0.007709207619331005,0.17528041222653232
CCRCC,shipped,gigapath,donor,scaled,INT4,donor,3,0.9342871262663701,0.03544766289167878,0.12242771501176804
CCRCC,shipped,gigapath,donor,scaled,INT5,donor,3,0.29908375491849354,0.02946694058792768,0.17643216210938314
CCRCC,shipped,gigapath,donor,scaled,INT6,donor,3,0.9299404052443384,0.01840693214884042,0.21315650487615667
CCRCC,shipped,gigapath,donor,scaled,INT7,donor,3,0.8814855377702893,0.00706421827207611,0.07581714550353157
CCRCC,shipped,gigapath,donor,scaled,INT8,donor,3,0.8454865743116128,0.015234980936633957,0.09506890727970448
CCRCC,shipped,gigapath,donor,scaled,INT9,donor,3,0.9521069182389937,0.02017127351168159,0.3271516321652486
CCRCC,shipped,gigapath,patient,abs,0,patient,3,0.9497383568443474,0.025722564866830916,0.12002105313793505
CCRCC,shipped,gigapath,patient,abs,1,patient,3,0.811147882879998,0.0608132138060677,0.1638786852421955
CCRCC,shipped,gigapath,patient,abs,2,patient,3,0.8280689250988308,0.09266504211272848,0.7814682097606483
CCRCC,shipped,gigapath,patient,abs,3,patient,3,0.7108411429621398,0.030621074757437135,0.11418905319325477
CCRCC,shipped,gigapath,patient,abs,4,patient,3,0.8943280520310246,0.06384338497216864,0.26433578534888197
CCRCC,shipped,gigapath,patient,abs,5,patient,3,0.9487585686945655,0.024290288730819,0.43746288797358523
