task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
IDC,audited,gigapath,slide_out,abs,NCBI783,slide,3,0.9016816417082639,0.03670147878042455,0.475264661471673,True
IDC,audited,gigapath,slide_out,abs,NCBI785,slide,3,0.7103790523690773,0.014926410114949244,0.20171810866706497,True
IDC,audited,gigapath,slide_out,abs,TENX95,slide,3,0.8667783505154638,0.05336347911375968,0.5820828514825048,True
IDC,audited,gigapath,slide_out,abs,TENX99,slide,3,0.8575457187354495,0.04224280659461857,0.41229920497877454,True
IDC,audited,gigapath,slide_out,scaled,NCBI783,slide,3,0.8819500831946755,0.06390496604189204,11.668979994707742,True
IDC,audited,gigapath,slide_out,scaled,NCBI785,slide,3,0.7385968412302577,0.004336148050990524,0.13946020330264886,True
IDC,audited,gigapath,slide_out,scaled,TENX95,slide,3,0.8774553264604812,0.049878287756007444,1.3112781076463487,True
IDC,audited,gigapath,slide_out,scaled,TENX99,slide,3,0.8433678531862627,0.03603520853322688,3.794311267206813,True
PRAD,shipped,gigapath,slide_out,abs,MEND139,slide,3,0.8442962567795856,0.034542746258989225,0.056759790534624335,False
PRAD,shipped,gigapath,slide_out,abs,MEND140,slide,3,0.8977777777777778,0.055247229989890546,0.3883232889916112,False
PRAD,shipped,gigapath,slide_out,abs,MEND141,slide,3,0.9486399108138238,0.017442300814038237,0.29830537471950874,False
PRAD,shipped,gigapath,slide_out,abs,MEND142,slide,3,0.9572995217439662,0.020292785734811577,0.4153611263417777,False
PRAD,shipped,gigapath,slide_out,abs,MEND143,slide,3,0.9689482879105521,0.008270948956021004,0.19176375143932042,False
PRAD,shipped,gigapath,slide_out,abs,MEND144,slide,3,0.977874324987727,0.011828104976762902,0.30392682788444936,False
PRAD,shipped,gigapath,slide_out,abs,MEND145,slide,3,0.9448283968030089,0.01455169588844033,0.15420450019741772,False
PRAD,shipped,gigapath,slide_out,abs,MEND146,slide,3,0.9639171758316362,0.008188198054814974,0.13724100555768923,False
PRAD,shipped,gigapath,slide_out,abs,MEND147,slide,3,0.9670863668807993,0.014886953993839507,0.2688123228218316,False
PRAD,shipped,gigapath,slide_out,abs,MEND148,slide,3,0.9804939783629312,0.009504598540934292,0.24628233399538085,False
PRAD,shipped,gigapath,slide_out,abs,MEND149,slide,3,0.9554114892850712,0.020185044710728527,0.18728907814130488,False
PRAD,shipped,gigapath,slide_out,abs,MEND150,slide,3,0.9119664953359985,0.031278547586713605,0.29343776588739706,False
PRAD,shipped,gigapath,slide_out,abs,MEND151,slide,3,0.9624974358974359,0.018728698879946295,0.16409927413676512,False
PRAD,shipped,gigapath,slide_out,abs,MEND152,slide,3,0.9225827384815055,0.03168449693258329,0.2666733279492872,False
PRAD,shipped,gigapath,slide_out,abs,MEND153,slide,3,0.9276886446886446,0.020382531019092633,0.1785511722566951,False
PRAD,shipped,gigapath,slide_out,abs,MEND154,slide,3,0.8572733918128655,0.0551415141255554,0.468505096212503,False
PRAD,shipped,gigapath,slide_out,abs,MEND156,slide,3,0.7223447758394297,0.04131396335456277,0.20331729444426733,False
PRAD,shipped,gigapath,slide_out,abs,MEND157,slide,3,0.8291745036572623,0.05381284295350022,0.236589953023873,False
PRAD,shipped,gigapath,slide_out,abs,MEND158,slide,3,0.8983139284174212,0.033877511960646804,0.23984208454410455,False
PRAD,shipped,gigapath,slide_out,abs,MEND159,slide,3,0.6062863070539419,0.11414895019705323,0.3097725089665281,False
PRAD,shipped,gigapath,slide_out,abs,MEND160,slide,3,0.8897344120290921,0.06294219322041168,0.5146643523849972,False
PRAD,shipped,gigapath,slide_out,abs,MEND161,slide,3,0.7571195195195196,0.016430918743832918,0.038038780721913176,False
PRAD,shipped,gigapath,slide_out,abs,MEND162,slide,3,0.9624121630254248,0.014187572627400318,0.17627959756193945,False
PRAD,shipped,gigapath,slide_out,scaled,MEND139,slide,3,0.8844811949853294,0.04313698988183407,0.2222440534615142,False
PRAD,shipped,gigapath,slide_out,scaled,MEND140,slide,3,0.866656330749354,0.021037847565435204,0.06571192749233452,False
PRAD,shipped,gigapath,slide_out,scaled,MEND141,slide,3,0.8788591601635081,0.04604502805451114,0.36029915901747495,False
PRAD,shipped,gigapath,slide_out,scaled,MEND142,slide,3,0.9362518073629186,0.01702384644253064,0.16383614819664863,False
PRAD,shipped,gigapath,slide_out,scaled,MEND143,slide,3,0.9204262753319358,0.01385195569319415,0.1189102254512201,False
PRAD,shipped,gigapath,slide_out,scaled,MEND144,slide,3,0.9157077401407299,0.01373344738365521,0.12277421500483283,False
PRAD,shipped,gigapath,slide_out,scaled,MEND145,slide,3,0.8870192759755525,0.043622783765368475,0.2345828502469704,False
PRAD,shipped,gigapath,slide_out,scaled,MEND146,slide,3,0.916439239646979,0.012742942940501479,0.09372872465590887,False
PRAD,shipped,gigapath,slide_out,scaled,MEND147,slide,3,0.9355603140613847,0.013607785992997492,0.1229262874446758,False
PRAD,shipped,gigapath,slide_out,scaled,MEND148,slide,3,0.9266462543376198,0.01635039177104841,0.09464884730316088,False
PRAD,shipped,gigapath,slide_out,scaled,MEND149,slide,3,0.9323248694399423,0.01273641725657561,0.2002776976215951,False
PRAD,shipped,gigapath,slide_out,scaled,MEND150,slide,3,0.876954121454407,0.026172080005331323,0.15676644262122238,False
PRAD,shipped,gigapath,slide_out,scaled,MEND151,slide,3,0.9297743589743591,0.014726288399312424,0.11018512853832998,False
PRAD,shipped,gigapath,slide_out,scaled,MEND152,slide,3,0.9330521306510923,0.00955987639510129,0.11360042371432671,False
PRAD,shipped,gigapath,slide_out,scaled,MEND153,slide,3,0.8560512820512821,0.025147172969070434,0.10927231092207396,False
PRAD,shipped,gigapath,slide_out,scaled,MEND154,slide,3,0.9094493177387916,0.008065805285154784,0.06801314466624718,False
PRAD,shipped,gigapath,slide_out,scaled,MEND156,slide,3,0.7985781279309698,0.01959696268059298,0.1774894251716156,False
PRAD,shipped,gigapath,slide_out,scaled,MEND157,slide,3,0.9298453500522467,0.027545910532582606,0.2478528142175463,False
PRAD,shipped,gigapath,slide_out,scaled,MEND158,slide,3,0.869391979301423,0.006810769196879583,0.02033866691549911,False
PRAD,shipped,gigapath,slide_out,scaled,MEND159,slide,3,0.9490819502074689,0.029077316755231442,0.7054910379388738,False
PRAD,shipped,gigapath,slide_out,scaled,MEND160,slide,3,0.9590716678924572,0.00441364797090751,0.06103056783424894,False
PRAD,shipped,gigapath,slide_out,scaled,MEND161,slide,3,0.7851891891891892,0.07125857140058382,0.2793824109690078,False
PRAD,shipped,gigapath,slide_out,scaled,MEND162,slide,3,0.9035032579532388,0.04266572132295932,0.15916008495346756,False
READ,shipped,gigapath,slide_out,abs,ZEN36,slide,3,0.7762546816479401,0.029767128875548006,0.19911216999618114,False
