task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
CCRCC,shipped,hoptimus1,donor,abs,INT1,donor,3,0.7688007380073801,0.1671816421172993,0.21335396814487761
CCRCC,shipped,hoptimus1,donor,abs,INT10,donor,3,0.8084451168263573,0.02473174575664986,0.04892741836284762
CCRCC,shipped,hoptimus1,donor,abs,INT11,donor,3,0.8342135742413713,0.07893271161876514,0.29651121482489795
CCRCC,shipped,hoptimus1,donor,abs,INT12,donor,3,0.767378819205146,0.07461863066593401,0.057819222925790593
CCRCC,shipped,hoptimus1,donor,abs,INT13,donor,3,0.9006714078152481,0.014501398239948384,0.07427395757707152
CCRCC,shipped,hoptimus1,donor,abs,INT14,donor,3,0.9782156948706707,0.01063223125603018,0.2045370608122321
CCRCC,shipped,hoptimus1,donor,abs,INT15,donor,3,0.9309473684210526,0.01843178536827581,0.1170118765314529
CCRCC,shipped,hoptimus1,donor,abs,INT16,donor,3,0.9168413391557496,0.011696361535401718,0.07795673290190454
CCRCC,shipped,hoptimus1,donor,abs,INT17,donor,3,0.9525206880520688,0.01991815432727,0.1973819449545456
CCRCC,shipped,hoptimus1,donor,abs,INT18,donor,3,0.8852316039335367,0.043476829833799684,0.3819938263230306
CCRCC,shipped,hoptimus1,donor,abs,INT19,donor,3,0.981080571274589,0.005792923733640932,0.12531863048731803
CCRCC,shipped,hoptimus1,donor,abs,INT2,donor,3,0.9060051679586563,0.02573379123131979,0.11758797553020386
CCRCC,shipped,hoptimus1,donor,abs,INT20,donor,3,0.9472181069958848,0.019448690284806,0.07998613649539141
CCRCC,shipped,hoptimus1,donor,abs,INT21,donor,3,0.936180904522613,0.017249254399947365,0.25943529173899094
CCRCC,shipped,hoptimus1,donor,abs,INT22,donor,3,0.8842517628623662,0.004408471022456602,0.12565132337467422
CCRCC,shipped,hoptimus1,donor,abs,INT23,donor,3,0.8725327725201543,0.033907502369764225,0.30088351922412365
CCRCC,shipped,hoptimus1,donor,abs,INT24,donor,3,0.9241759053954176,0.00782189780718454,0.090175167667663
CCRCC,shipped,hoptimus1,donor,abs,INT3,donor,3,0.9651851851851853,0.015778978114036137,0.22141282938950207
CCRCC,shipped,hoptimus1,donor,abs,INT4,donor,3,0.8697998517420311,0.05621947653048671,0.08510864990845345
CCRCC,shipped,hoptimus1,donor,abs,INT5,donor,3,0.2565317594154019,0.008058702985194005,0.06302127004444084
CCRCC,shipped,hoptimus1,donor,abs,INT6,donor,3,0.9118275725069527,0.016378548610323902,0.14582629206387387
CCRCC,shipped,hoptimus1,donor,abs,INT7,donor,3,0.8604886267902275,0.006822162710221072,0.11379927137965228
