task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
IDC,audited,hoptimus1,slide_out,abs,NCBI783,slide,3,0.9070615640599002,0.04252562824351196,0.4670095414984286
IDC,audited,hoptimus1,slide_out,abs,NCBI785,slide,3,0.6619966749792187,0.015041365659806844,0.024458597402502873
IDC,audited,hoptimus1,slide_out,abs,TENX95,slide,3,0.8771219931271478,0.03242254779009043,0.6366167675380898
IDC,audited,hoptimus1,slide_out,abs,TENX99,slide,3,0.8532190164250277,0.04896448269595767,0.5757513318036076
IDC,audited,hoptimus1,slide_out,scaled,NCBI783,slide,3,0.8737193566278424,0.04927138785650189,0.7003846906904186
IDC,audited,hoptimus1,slide_out,scaled,NCBI785,slide,3,0.7037788861180383,0.05203351853644764,0.10691859533960033
IDC,audited,hoptimus1,slide_out,scaled,TENX95,slide,3,0.8758436426116839,0.020282459517536065,1.192006354924137
IDC,audited,hoptimus1,slide_out,scaled,TENX99,slide,3,0.8612260167300869,0.03948655319597894,0.8086492095562081
PRAD,shipped,hoptimus1,slide_out,abs,MEND139,slide,3,0.8622477105005779,0.03604745403342677,0.0413548648351225
PRAD,shipped,hoptimus1,slide_out,abs,MEND140,slide,3,0.894012058570198,0.05249694346335449,0.32201518629383424
PRAD,shipped,hoptimus1,slide_out,abs,MEND141,slide,3,0.9427238944630248,0.02211983018889537,0.3113294519892473
PRAD,shipped,hoptimus1,slide_out,abs,MEND142,slide,3,0.9569369369369368,0.01838977331766003,0.353486951405916
PRAD,shipped,hoptimus1,slide_out,abs,MEND143,slide,3,0.9740181691125086,0.0045112859130276945,0.19123847505623362
PRAD,shipped,hoptimus1,slide_out,abs,MEND144,slide,3,0.978325969563083,0.008159340995233915,0.27991549770676005
PRAD,shipped,hoptimus1,slide_out,abs,MEND145,slide,3,0.9472919605077573,0.013921744293089186,0.15651161839307481
PRAD,shipped,hoptimus1,slide_out,abs,MEND146,slide,3,0.9601799049558725,0.011873051675153885,0.15353291106985895
PRAD,shipped,hoptimus1,slide_out,abs,MEND147,slide,3,0.9580099928622413,0.0185240842141865,0.25395449902543177
PRAD,shipped,hoptimus1,slide_out,abs,MEND148,slide,3,0.9786405388854869,0.008304168981090864,0.25222397069733876
