task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
CCRCC,shipped,phikon,donor,abs,INT1,donor,3,0.7249138991389913,0.20423831342731,0.23055549350380583,False
CCRCC,shipped,phikon,donor,abs,INT10,donor,3,0.8235098335854766,0.030580867438114768,0.08308082441320172,False
CCRCC,shipped,phikon,donor,abs,INT11,donor,3,0.842946490618485,0.0660396702157762,0.25241916392068287,False
CCRCC,shipped,phikon,donor,abs,INT12,donor,3,0.8797013553870893,0.025766305018741557,0.09812041417490416,False
CCRCC,shipped,phikon,donor,abs,INT13,donor,3,0.9168066070199586,0.013474942892624402,0.08936194087400756,False
CCRCC,shipped,phikon,donor,abs,INT14,donor,3,0.964481952360076,0.009882665876472393,0.12093426487530327,False
CCRCC,shipped,phikon,donor,abs,INT15,donor,3,0.9105060728744938,0.036311589220855804,0.16849878474850738,False
CCRCC,shipped,phikon,donor,abs,INT16,donor,3,0.9248887502599293,0.006495629505700184,0.06890220618212765,False
CCRCC,shipped,phikon,donor,abs,INT17,donor,3,0.9430571827057183,0.006714700065077428,0.14923013411813543,False
CCRCC,shipped,phikon,donor,abs,INT18,donor,3,0.869766022380468,0.055964365335706194,0.40011159466666035,False
CCRCC,shipped,phikon,donor,abs,INT19,donor,3,0.9755820533548909,0.003785464397117529,0.0714173969607809,False
CCRCC,shipped,phikon,donor,abs,INT2,donor,3,0.9379896640826874,0.013455958410227665,0.1688689958465697,False
CCRCC,shipped,phikon,donor,abs,INT20,donor,3,0.9599423868312758,0.005861100907912525,0.07628860959851978,False
CCRCC,shipped,phikon,donor,abs,INT21,donor,3,0.9278405360134002,0.022232211423983926,0.23241256725904533,False
CCRCC,shipped,phikon,donor,abs,INT22,donor,3,0.8463375990249847,0.03417222706776845,0.09523379062763355,False
CCRCC,shipped,phikon,donor,abs,INT23,donor,3,0.8565495969155276,0.04958754527727844,0.3027197415889193,False
CCRCC,shipped,phikon,donor,abs,INT24,donor,3,0.9085395417590539,0.01345718003088588,0.09608739496212332,False
CCRCC,shipped,phikon,donor,abs,INT3,donor,3,0.9619431988041853,0.015758047017564853,0.1894170333778388,False
CCRCC,shipped,phikon,donor,abs,INT4,donor,3,0.8958042994810972,0.049163864823821464,0.13430597249922932,False
CCRCC,shipped,phikon,donor,abs,INT5,donor,3,0.26384485666104557,0.012359484955066878,0.06919034484498168,False
CCRCC,shipped,phikon,donor,abs,INT6,donor,3,0.90616607071911,0.03087423484479596,0.19900908538918682,False
CCRCC,shipped,phikon,donor,abs,INT7,donor,3,0.8390536366189273,0.015091283481138314,0.13186180283629995,False
CCRCC,shipped,phikon,donor,abs,INT8,donor,3,0.7492012998118692,0.016210780815997958,0.06503546787932535,False
CCRCC,shipped,phikon,donor,abs,INT9,donor,3,0.9295676100628931,0.0348988956612168,0.30370752101606496,False
CCRCC,shipped,phikon,donor,scaled,INT1,donor,3,0.7805473554735548,0.18394742283202464,0.35147155151897685,False
CCRCC,shipped,phikon,donor,scaled,INT10,donor,3,0.8352260884182217,0.06885152121374544,0.13787517227273216,False
CCRCC,shipped,phikon,donor,scaled,INT11,donor,3,0.8873801250868659,0.04460475435468197,0.27820042187828703,False
