task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
IDC,audited,resnet50,slide_out,abs,NCBI783,slide,3,0.8615973377703826,0.03095024917210321,0.7366187867962738
IDC,audited,resnet50,slide_out,abs,NCBI785,slide,3,0.7565270157938487,0.044978181712938776,0.3936446580562344
IDC,audited,resnet50,slide_out,abs,TENX95,slide,3,0.894405498281787,0.03402346016066593,0.42140680220010174
IDC,audited,resnet50,slide_out,abs,TENX99,slide,3,0.866023473499992,0.04618900845844747,0.23456036808860542
IDC,audited,resnet50,slide_out,scaled,NCBI783,slide,3,0.7881064891846923,0.08723875928947389,34.23903408417025
IDC,audited,resnet50,slide_out,scaled,NCBI785,slide,3,0.7935627597672487,0.01407601944361153,23.96556377003897
IDC,audited,resnet50,slide_out,scaled,TENX95,slide,3,0.9312534364261169,0.04721903104073291,142.10335632951015
IDC,audited,resnet50,slide_out,scaled,TENX99,slide,3,0.8826215821331663,0.0529573583229893,93.33096706034226
PRAD,shipped,resnet50,slide_out,abs,MEND139,slide,3,0.8359971547968348,0.024662329353836058,0.08304027118143183
PRAD,shipped,resnet50,slide_out,abs,MEND140,slide,3,0.8817605512489234,0.052488747885780264,0.27592452739614626
PRAD,shipped,resnet50,slide_out,abs,MEND141,slide,3,0.9384986993682646,0.027028558065307535,0.28465256155217467
PRAD,shipped,resnet50,slide_out,abs,MEND142,slide,3,0.9512379045712379,0.018225463340380093,0.2598503605737977
PRAD,shipped,resnet50,slide_out,abs,MEND143,slide,3,0.9625244584206848,0.007116918618919953,0.1762996439816088
PRAD,shipped,resnet50,slide_out,abs,MEND144,slide,3,0.9810734740631647,0.007665106464529406,0.23838983956208484
PRAD,shipped,resnet50,slide_out,abs,MEND145,slide,3,0.9395345557122708,0.015549448445830796,0.1426181146931094
PRAD,shipped,resnet50,slide_out,abs,MEND146,slide,3,0.956704005431093,0.0110094622569919,0.1607327114328586
PRAD,shipped,resnet50,slide_out,abs,MEND147,slide,3,0.9568508208422556,0.016688360321963896,0.19166263896482938
PRAD,shipped,resnet50,slide_out,abs,MEND148,slide,3,0.981698305776689,0.006975151792848778,0.18817491016581903
PRAD,shipped,resnet50,slide_out,abs,MEND149,slide,3,0.9559913560237709,0.01689942948589082,0.16807477940517443
PRAD,shipped,resnet50,slide_out,abs,MEND150,slide,3,0.8927241576242148,0.025680932365836025,0.22989846541709813
PRAD,shipped,resnet50,slide_out,abs,MEND151,slide,3,0.9392871794871795,0.02612987853527537,0.12748161615143402
PRAD,shipped,resnet50,slide_out,abs,MEND152,slide,3,0.929372701708847,0.02168215274082669,0.14459330108612134
