task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
CCRCC,shipped,uni_v1,donor,abs,INT1,donor,3,0.7330811808118082,0.19068609868768888,0.21264475570397715
CCRCC,shipped,uni_v1,donor,abs,INT10,donor,3,0.8013313161875946,0.026325260842865676,0.08279128173321175
CCRCC,shipped,uni_v1,donor,abs,INT11,donor,3,0.8216446606439657,0.0831949906729695,0.25042698246489364
CCRCC,shipped,uni_v1,donor,abs,INT12,donor,3,0.852965770732828,0.06264333809062758,0.059502754148722366
CCRCC,shipped,uni_v1,donor,abs,INT13,donor,3,0.9074130152175576,0.011324349064867895,0.03333078838911434
CCRCC,shipped,uni_v1,donor,abs,INT14,donor,3,0.9596098202542743,0.016808150359774388,0.14165715542749005
CCRCC,shipped,uni_v1,donor,abs,INT15,donor,3,0.9186612685560055,0.03696213626146571,0.17795011502322017
CCRCC,shipped,uni_v1,donor,abs,INT16,donor,3,0.9261863173216884,0.004823339406712059,0.10061931749640067
CCRCC,shipped,uni_v1,donor,abs,INT17,donor,3,0.944792189679219,0.015231184027873426,0.15527464227038473
CCRCC,shipped,uni_v1,donor,abs,INT18,donor,3,0.8765846049508307,0.048079874142711906,0.40776582569801223
CCRCC,shipped,uni_v1,donor,abs,INT19,donor,3,0.9764254917811911,0.004113634949106559,0.09682519442116236
CCRCC,shipped,uni_v1,donor,abs,INT2,donor,3,0.9354573643410853,0.01325455137012628,0.13448494077767215
CCRCC,shipped,uni_v1,donor,abs,INT20,donor,3,0.9555761316872428,0.011178535710049113,0.11022574091704136
CCRCC,shipped,uni_v1,donor,abs,INT21,donor,3,0.9312804020100502,0.019870518669225345,0.25967623872280693
CCRCC,shipped,uni_v1,donor,abs,INT22,donor,3,0.8553199268738574,0.04656518463557072,0.13096074583534342
CCRCC,shipped,uni_v1,donor,abs,INT23,donor,3,0.8634237644584647,0.042731060450950605,0.30346822872204726
CCRCC,shipped,uni_v1,donor,abs,INT24,donor,3,0.914240946045824,0.00938476381356968,0.0837797372586523
CCRCC,shipped,uni_v1,donor,abs,INT3,donor,3,0.9669390466699884,0.015934732908829116,0.19889883750401915
CCRCC,shipped,uni_v1,donor,abs,INT4,donor,3,0.8816703731158883,0.0509499340367377,0.13774057281194413
CCRCC,shipped,uni_v1,donor,abs,INT5,donor,3,0.26487914558740866,0.013888449396981788,0.09424678670304475
CCRCC,shipped,uni_v1,donor,abs,INT6,donor,3,0.8767977751291219,0.039384868453003506,0.202307512416799
CCRCC,shipped,uni_v1,donor,abs,INT7,donor,3,0.8518786857624262,0.013544359392582517,0.09279261601521521
CCRCC,shipped,uni_v1,donor,abs,INT8,donor,3,0.7493860099196169,0.009552158523146748,0.05795553694747779
CCRCC,shipped,uni_v1,donor,abs,INT9,donor,3,0.9267885220125787,0.038614909127296114,0.2835108487875706
CCRCC,shipped,uni_v1,donor,scaled,INT1,donor,3,0.8078290282902829,0.15243883245661707,0.26138443626504393
CCRCC,shipped,uni_v1,donor,scaled,INT10,donor,3,0.8036006051437217,0.04917709057715908,0.06422718470470534
CCRCC,shipped,uni_v1,donor,scaled,INT11,donor,3,0.8629881862404448,0.05042949639278186,0.22800276053725152
CCRCC,shipped,uni_v1,donor,scaled,INT12,donor,3,0.9144314266023432,0.04042019937401249,0.12618003321440024
CCRCC,shipped,uni_v1,donor,scaled,INT13,donor,3,0.8730932170987229,0.0014260571645982522,0.12855570495897814
CCRCC,shipped,uni_v1,donor,scaled,INT14,donor,3,0.9286730965950607,0.025048359541627256,0.20327200830012446
CCRCC,shipped,uni_v1,donor,scaled,INT15,donor,3,0.9338556005398111,0.03200676835038592,0.31464023770342675
CCRCC,shipped,uni_v1,donor,scaled,INT16,donor,3,0.8664711998336453,0.018413967707972743,0.05901044964208605
CCRCC,shipped,uni_v1,donor,scaled,INT17,donor,3,0.8940883310088331,0.014583420384426164,0.07254453598145702
CCRCC,shipped,uni_v1,donor,scaled,INT18,donor,3,0.8792892505934216,0.04953515376509805,0.4587071096655303
CCRCC,shipped,uni_v1,donor,scaled,INT19,donor,3,0.941866073834546,0.004392668608962711,0.024341698654487567
CCRCC,shipped,uni_v1,donor,scaled,INT2,donor,3,0.9336304909560723,0.016829000906712722,0.1706582377784022
CCRCC,shipped,uni_v1,donor,scaled,INT20,donor,3,0.9634636488340192,0.009027052972518181,0.12586962573426194
CCRCC,shipped,uni_v1,donor,scaled,INT21,donor,3,0.9213226130653266,0.01505081228138654,0.17160805164445012
CCRCC,shipped,uni_v1,donor,scaled,INT22,donor,3,0.8728597545050927,0.03540906578000755,0.13462871228664794
CCRCC,shipped,uni_v1,donor,scaled,INT23,donor,3,0.8668867858394672,0.026045390901000526,0.25318244065034257
CCRCC,shipped,uni_v1,donor,scaled,INT24,donor,3,0.8671411677753141,0.022489793549001134,0.17079307301597305
CCRCC,shipped,uni_v1,donor,scaled,INT3,donor,3,0.9626706527154957,0.011961052628098405,0.1269632934819743
CCRCC,shipped,uni_v1,donor,scaled,INT4,donor,3,0.9376081047689646,0.0327773267387268,0.12855663242162715
CCRCC,shipped,uni_v1,donor,scaled,INT5,donor,3,0.334884766722878,0.027067854554501697,0.20446659663714123
CCRCC,shipped,uni_v1,donor,scaled,INT6,donor,3,0.9070083432657926,0.017195254798753737,0.19856666289790537
CCRCC,shipped,uni_v1,donor,scaled,INT7,donor,3,0.8849199663016006,0.015664281005022717,0.07755572266928337
CCRCC,shipped,uni_v1,donor,scaled,INT8,donor,3,0.7986762442278091,0.014039802117972,0.05770217088810877
CCRCC,shipped,uni_v1,donor,scaled,INT9,donor,3,0.9545047169811322,0.01956340557885172,0.2761742342223786
CCRCC,shipped,uni_v1,patient,abs,0,patient,3,0.9557714240309068,0.019221335742879802,0.09685613803091787
CCRCC,shipped,uni_v1,patient,abs,1,patient,3,0.8053972411871912,0.060128244608376,0.15625391228140956
CCRCC,shipped,uni_v1,patient,abs,2,patient,3,0.8308410812021559,0.0870739987120161,0.7534970906946381
CCRCC,shipped,uni_v1,patient,abs,3,patient,3,0.7050250373499947,0.03491746766430423,0.12299988684567068
CCRCC,shipped,uni_v1,patient,abs,4,patient,3,0.8816486601613439,0.07198608078345646,0.2545404104545727
CCRCC,shipped,uni_v1,patient,abs,5,patient,3,0.9472545485519935,0.025381958341783153,0.4178483658041826
CCRCC,shipped,uni_v1,patient,scaled,0,patient,3,0.9379543700593661,0.02380663759130569,0.09566275503508284
CCRCC,shipped,uni_v1,patient,scaled,1,patient,3,0.8801655537608758,0.02365005060741977,0.12172578821535514
CCRCC,shipped,uni_v1,patient,scaled,2,patient,3,0.8397282154734254,0.04566995487880662,0.5591790313492443
CCRCC,shipped,uni_v1,patient,scaled,3,patient,3,0.7792465568129562,0.013670078285250336,0.14437267275460014
CCRCC,shipped,uni_v1,patient,scaled,4,patient,3,0.9013098877684337,0.06287135678136392,0.28324352987525403
CCRCC,shipped,uni_v1,patient,scaled,5,patient,3,0.8986062188003644,0.03040710722017467,0.289107106492247
CCRCC,shipped,uni_v1,random,abs,0,spot,1,0.8831117104922293,0.0010949359931622458,0.0022426422566256053
CCRCC,shipped,uni_v1,random,abs,1,spot,1,0.8826093265091192,0.002690211633343626,0.004674246286868241
