task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
IDC,audited,uni_v1,slide_out,abs,NCBI783,slide,3,0.9002728785357738,0.03859336690952411,0.5050069724245377,True
IDC,audited,uni_v1,slide_out,abs,NCBI785,slide,3,0.6766334164588529,0.023692554336499725,0.0638040100438408,True
IDC,audited,uni_v1,slide_out,abs,TENX95,slide,3,0.8789372852233677,0.035170027198452726,0.7067418490705057,True
IDC,audited,uni_v1,slide_out,abs,TENX99,slide,3,0.8599877976333831,0.04090022668487507,0.5153870392040325,True
IDC,audited,uni_v1,slide_out,scaled,NCBI783,slide,3,0.8832501386577926,0.04585202977946263,1.40535743203054,True
IDC,audited,uni_v1,slide_out,scaled,NCBI785,slide,3,0.7010689941812136,0.008561974836246532,0.3604530100770126,True
IDC,audited,uni_v1,slide_out,scaled,TENX95,slide,3,0.8582096219931271,0.03647132459378144,52.28608804531404,True
IDC,audited,uni_v1,slide_out,scaled,TENX99,slide,3,0.8693383427259445,0.0012921424216459493,7.647851577325484,True
PRAD,shipped,uni_v1,slide_out,abs,MEND139,slide,3,0.8334453632079666,0.026490883407400332,0.053464867917145796,False
PRAD,shipped,uni_v1,slide_out,abs,MEND140,slide,3,0.8919724375538328,0.057836280453022304,0.34305584668782974,False
PRAD,shipped,uni_v1,slide_out,abs,MEND141,slide,3,0.9510516536603494,0.021236654488821033,0.332016956857987,False
PRAD,shipped,uni_v1,slide_out,abs,MEND142,slide,3,0.9534912690468246,0.017122409874844854,0.30138779019337164,False
PRAD,shipped,uni_v1,slide_out,abs,MEND143,slide,3,0.969958071278826,0.004062034214833071,0.1748384799699322,False
PRAD,shipped,uni_v1,slide_out,abs,MEND144,slide,3,0.980386188839797,0.006967900055523252,0.2668296575824646,False
PRAD,shipped,uni_v1,slide_out,abs,MEND145,slide,3,0.9521062529384109,0.011409951969727147,0.15697150591326123,False
PRAD,shipped,uni_v1,slide_out,abs,MEND146,slide,3,0.9624202308214529,0.00956029782832519,0.1433279327683658,False
PRAD,shipped,uni_v1,slide_out,abs,MEND147,slide,3,0.9635089221984297,0.016937802057295684,0.22921674214514465,False
PRAD,shipped,uni_v1,slide_out,abs,MEND148,slide,3,0.9740967544396816,0.012946715653164229,0.24165513206507885,False
PRAD,shipped,uni_v1,slide_out,abs,MEND149,slide,3,0.9537907437421214,0.019071312286102524,0.18603577032341506,False
PRAD,shipped,uni_v1,slide_out,abs,MEND150,slide,3,0.9073443746430612,0.02435347846896185,0.24260611787737135,False
PRAD,shipped,uni_v1,slide_out,abs,MEND151,slide,3,0.9618461538461537,0.021131718496781585,0.15570816620803357,False
PRAD,shipped,uni_v1,slide_out,abs,MEND152,slide,3,0.9290806835388276,0.030157260459047052,0.2542483758435524,False
PRAD,shipped,uni_v1,slide_out,abs,MEND153,slide,3,0.915945054945055,0.011077386393589666,0.09885768311357361,False
PRAD,shipped,uni_v1,slide_out,abs,MEND154,slide,3,0.8468299220272905,0.05459559660896713,0.44103662353618717,False
PRAD,shipped,uni_v1,slide_out,abs,MEND156,slide,3,0.7113524667041831,0.04835496057491581,0.22640063620565798,False
PRAD,shipped,uni_v1,slide_out,abs,MEND157,slide,3,0.8278140020898642,0.06388379597909279,0.25991329623349424,False
PRAD,shipped,uni_v1,slide_out,abs,MEND158,slide,3,0.8916300129366106,0.015396236605910893,0.1703334805152191,False
PRAD,shipped,uni_v1,slide_out,abs,MEND159,slide,3,0.6757538035961272,0.0724274082401343,0.28608564282671056,False
PRAD,shipped,uni_v1,slide_out,abs,MEND160,slide,3,0.8761951458690856,0.061667730210616965,0.3876691237485308,False
PRAD,shipped,uni_v1,slide_out,abs,MEND161,slide,3,0.7497321321321322,0.03119633652359808,0.03297745963207668,False
PRAD,shipped,uni_v1,slide_out,abs,MEND162,slide,3,0.9575341765682893,0.01635364263926077,0.17130890503344173,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND139,slide,3,0.8918982839868409,0.04004033410251798,0.24542648181780943,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND140,slide,3,0.8641033591731268,0.02671146008552351,0.047682332917111776,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND141,slide,3,0.8685470085470085,0.06143298395658223,0.3869261192169927,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND142,slide,3,0.929195862529196,0.022855453008063263,0.3024896283855725,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND143,slide,3,0.9280048916841369,0.018793507401407863,0.05276880416321136,False
PRAD,shipped,uni_v1,slide_out,scaled,MEND144,slide,3,0.9256881034200622,0.008367547946452203,0.14518379006839313,False
