task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
CCRCC,shipped,uni_v2,donor,abs,INT1,donor,3,0.8602706027060271,0.08535284545617701,0.23221123334377788,False
CCRCC,shipped,uni_v2,donor,abs,INT10,donor,3,0.7919213313161876,0.033408543560885025,0.09433147549890943,False
CCRCC,shipped,uni_v2,donor,abs,INT11,donor,3,0.7967199444058374,0.0978235847397405,0.2558266563371643,False
CCRCC,shipped,uni_v2,donor,abs,INT12,donor,3,0.8617367332873881,0.045179655513811784,0.06989115099465797,False
CCRCC,shipped,uni_v2,donor,abs,INT13,donor,3,0.9083000688231245,0.0081671345083179,0.062451342048542,False
CCRCC,shipped,uni_v2,donor,abs,INT14,donor,3,0.9679146573140436,0.010790190429318728,0.13528211245367402,False
CCRCC,shipped,uni_v2,donor,abs,INT15,donor,3,0.9287152496626181,0.014927341458219133,0.10489114885867462,False
CCRCC,shipped,uni_v2,donor,abs,INT16,donor,3,0.9198190892077355,0.006756427949126957,0.11810289180726802,False
CCRCC,shipped,uni_v2,donor,abs,INT17,donor,3,0.9466331938633193,0.018160068696386353,0.17770455555651266,False
CCRCC,shipped,uni_v2,donor,abs,INT18,donor,3,0.8691407256697185,0.056074214369477446,0.41346687418810163,False
CCRCC,shipped,uni_v2,donor,abs,INT19,donor,3,0.9817515494475882,0.002559504420437653,0.06932105954967037,False
CCRCC,shipped,uni_v2,donor,abs,INT2,donor,3,0.9049741602067183,0.023470490204127618,0.16034535837079625,False
CCRCC,shipped,uni_v2,donor,abs,INT20,donor,3,0.961880658436214,0.005753803154515289,0.07124570800046444,False
CCRCC,shipped,uni_v2,donor,abs,INT21,donor,3,0.9145005025125629,0.03414769561079323,0.2975363934367729,False
CCRCC,shipped,uni_v2,donor,abs,INT22,donor,3,0.8468703752067555,0.05087277203290699,0.11408849600359086,False
CCRCC,shipped,uni_v2,donor,abs,INT23,donor,3,0.8643406940063091,0.04558935878783969,0.3357090110995961,False
CCRCC,shipped,uni_v2,donor,abs,INT24,donor,3,0.9277324464153732,0.0045389804813608225,0.10814010233243838,False
CCRCC,shipped,uni_v2,donor,abs,INT3,donor,3,0.9713336655040691,0.014738588479982644,0.20516777830518831,False
CCRCC,shipped,uni_v2,donor,abs,INT4,donor,3,0.8911885347170744,0.04033196207587271,0.10549850188694579,False
CCRCC,shipped,uni_v2,donor,abs,INT5,donor,3,0.2580719505340079,0.013217730428218694,0.0806428569341812,False
CCRCC,shipped,uni_v2,donor,abs,INT6,donor,3,0.8864243146603098,0.026190790654710788,0.19497051338358243,False
CCRCC,shipped,uni_v2,donor,abs,INT7,donor,3,0.8463689974726201,0.024960181395754167,0.1501175277891876,False
CCRCC,shipped,uni_v2,donor,abs,INT8,donor,3,0.7374653668547974,0.017823952341653508,0.12865469426113244,False
CCRCC,shipped,uni_v2,donor,abs,INT9,donor,3,0.9248702830188679,0.038030649407633337,0.308693523560415,False
CCRCC,shipped,uni_v2,donor,scaled,INT1,donor,3,0.9134624846248464,0.057807199725943656,0.2707116609122752,False
CCRCC,shipped,uni_v2,donor,scaled,INT10,donor,3,0.7916826357370987,0.0738889049454633,0.13967742389023283,False
CCRCC,shipped,uni_v2,donor,scaled,INT11,donor,3,0.8588371554320129,0.06484858649896373,0.24797211353188306,False
CCRCC,shipped,uni_v2,donor,scaled,INT12,donor,3,0.8757316793016311,0.05304498790360896,0.026459067248739275,False
CCRCC,shipped,uni_v2,donor,scaled,INT13,donor,3,0.8720639290357116,0.01817850465711671,0.183823565105324,False
CCRCC,shipped,uni_v2,donor,scaled,INT14,donor,3,0.9520020458863071,0.016930430578798516,0.2157263924956748,False
CCRCC,shipped,uni_v2,donor,scaled,INT15,donor,3,0.9262901484480431,0.030328851648184458,0.24117049012591996,False
CCRCC,shipped,uni_v2,donor,scaled,INT16,donor,3,0.8765211062590975,0.01012316568233699,0.04727316693242836,False
CCRCC,shipped,uni_v2,donor,scaled,INT17,donor,3,0.9003923756392376,0.009014334170010052,0.0577560271566831,False
CCRCC,shipped,uni_v2,donor,scaled,INT18,donor,3,0.8614879620210241,0.0565502949695978,0.4645023037058247,False
CCRCC,shipped,uni_v2,donor,scaled,INT19,donor,3,0.956174885475613,0.0027293190777941925,0.055585369188825125,False
CCRCC,shipped,uni_v2,donor,scaled,INT2,donor,3,0.9280284237726099,0.02032236792065259,0.2029519836883116,False
CCRCC,shipped,uni_v2,donor,scaled,INT20,donor,3,0.9632427983539095,0.022054642865544274,0.2446083684008933,False
CCRCC,shipped,uni_v2,donor,scaled,INT21,donor,3,0.8888844221105527,0.03751778323659878,0.2273778248024348,False
CCRCC,shipped,uni_v2,donor,scaled,INT22,donor,3,0.8663550100113171,0.02718199388846299,0.046483130803756885,False
CCRCC,shipped,uni_v2,donor,scaled,INT23,donor,3,0.8520420609884333,0.03675840113471306,0.29677055929922824,False
CCRCC,shipped,uni_v2,donor,scaled,INT24,donor,3,0.9088189209164819,0.026064429094193455,0.2599267280794014,False
CCRCC,shipped,uni_v2,donor,scaled,INT3,donor,3,0.968410563029397,0.00957239065668501,0.24180776375505372,False
CCRCC,shipped,uni_v2,donor,scaled,INT4,donor,3,0.9583345688164072,0.014804241805311607,0.06850229466004268,False
CCRCC,shipped,uni_v2,donor,scaled,INT5,donor,3,0.3144350758853288,0.010778183906064526,0.11033492104880076,False
CCRCC,shipped,uni_v2,donor,scaled,INT6,donor,3,0.9061700437028208,0.02143421250783795,0.23923169387714885,False
CCRCC,shipped,uni_v2,donor,scaled,INT7,donor,3,0.8802386969952259,0.01262696136386975,0.1901634220487346,False
CCRCC,shipped,uni_v2,donor,scaled,INT8,donor,3,0.7841217718488114,0.018320423538409566,0.03901496185734221,False
CCRCC,shipped,uni_v2,donor,scaled,INT9,donor,3,0.957122641509434,0.0189910963392201,0.36700216387719353,False
CCRCC,shipped,uni_v2,patient,abs,0,patient,3,0.9538674381282705,0.016037874491980998,0.1265592457388727,False
CCRCC,shipped,uni_v2,patient,abs,1,patient,3,0.7900860730240155,0.06571583776003702,0.1682566553656548,False
CCRCC,shipped,uni_v2,patient,abs,2,patient,3,0.8332990820403902,0.09365495224669491,0.7590335276768931,False
CCRCC,shipped,uni_v2,patient,abs,3,patient,3,0.7118422909295585,0.03696980688801118,0.12305203126980574,False
CCRCC,shipped,uni_v2,patient,abs,4,patient,3,0.9154772092986709,0.045793286962788615,0.29850087683971216,False
CCRCC,shipped,uni_v2,patient,abs,5,patient,3,0.9498131517008197,0.022696488505330042,0.3881094930849015,False
CCRCC,shipped,uni_v2,patient,scaled,0,patient,3,0.9336514609013754,0.025830805647163734,0.20257959216686477,False
CCRCC,shipped,uni_v2,patient,scaled,1,patient,3,0.8555249862376261,0.04388452417615086,0.16105321596144864,False
CCRCC,shipped,uni_v2,patient,scaled,2,patient,3,0.8465413928656251,0.0659597742178635,0.615698211207141,False
CCRCC,shipped,uni_v2,patient,scaled,3,patient,3,0.7794610354362561,0.011687077546115098,0.18849968488687763,False
CCRCC,shipped,uni_v2,patient,scaled,4,patient,3,0.9223846258947094,0.03893421002160163,0.3175863987411747,False
CCRCC,shipped,uni_v2,patient,scaled,5,patient,3,0.911207962574732,0.028732126982386315,0.2931531448029228,False
CCRCC,shipped,uni_v2,random,abs,0,spot,1,0.8837730090009993,0.001107170688613649,0.0021370649016255426,False
CCRCC,shipped,uni_v2,random,abs,1,spot,1,0.883977432991195,0.0023031834751028016,0.003123833988935747,False
CCRCC,shipped,uni_v2,random,abs,2,spot,1,0.8826559519098639,0.0010845863447091634,0.00285096087521188,False
CCRCC,shipped,uni_v2,random,abs,3,spot,1,0.8815017056679817,0.002805115378105361,0.004068332292208941,False
CCRCC,shipped,uni_v2,random,abs,4,spot,1,0.8833237873853875,0.0007319800355206427,0.0041296440675461,False
CCRCC,shipped,uni_v2,random,abs,5,spot,1,0.8828738632241677,0.0006448170588673399,0.004325992070187158,False
CCRCC,shipped,uni_v2,random,scaled,0,spot,1,0.8992380439553497,0.0011933972488206738,0.0021871534793677675,False
CCRCC,shipped,uni_v2,random,scaled,1,spot,1,0.898866960168279,0.0014449908179420502,0.005642433882395138,False
CCRCC,shipped,uni_v2,random,scaled,2,spot,1,0.8981498748803969,0.0014208070199012955,0.0036145679971399825,False
CCRCC,shipped,uni_v2,random,scaled,3,spot,1,0.8983471177987882,0.002381334955661686,0.005790870567941551,False
CCRCC,shipped,uni_v2,random,scaled,4,spot,1,0.8991732238446787,0.0008235893170520034,0.004783115968253235,False
CCRCC,shipped,uni_v2,random,scaled,5,spot,1,0.8990627197899924,0.0003249500634642748,0.0024897112464417792,False
COAD,shipped,uni_v2,donor,abs,COAD_Oliveira_P1,donor,3,0.8889613259668508,0.015509645321956306,0.07652029973486582,False
COAD,shipped,uni_v2,donor,abs,COAD_Oliveira_P2,donor,3,0.849054219707685,0.0038739167325051557,0.08781832789938332,False
COAD,shipped,uni_v2,donor,abs,COAD_Oliveira_P5,donor,3,0.8778792312945077,0.005230022182133474,0.17687761920477213,False
COAD,shipped,uni_v2,donor,abs,COAD_donor_TENX111,donor,3,0.8724748966331956,0.002711125723824708,0.04703615340261434,False
COAD,shipped,uni_v2,donor,scaled,COAD_Oliveira_P1,donor,3,0.9152523020257827,0.02087365082245935,0.4033604495306122,False
COAD,shipped,uni_v2,donor,scaled,COAD_Oliveira_P2,donor,3,0.8817048561999057,0.04610737014101131,0.789301158420948,False
COAD,shipped,uni_v2,donor,scaled,COAD_Oliveira_P5,donor,3,0.8470432152960686,0.0069842451531663295,0.02215249900652134,False
COAD,shipped,uni_v2,donor,scaled,COAD_donor_TENX111,donor,3,0.8844024414254775,0.03811725501230335,0.3983435938894758,False
COAD,shipped,uni_v2,patient,abs,0,block,3,0.6228458056797935,0.0011367988854048684,0.023765343378311602,False
COAD,shipped,uni_v2,patient,abs,1,slide,3,0.8683559755857453,0.006728332353957747,0.049318421495820546,False
COAD,shipped,uni_v2,patient,scaled,0,block,3,0.600096100839461,0.006010281184906295,0.009182120011151897,False
COAD,shipped,uni_v2,patient,scaled,1,slide,3,0.9039614097263241,0.01639733847342722,0.18591476736288312,False
COAD,shipped,uni_v2,random,abs,0,spot,1,0.8958046522940879,0.004201829269222472,0.02651833163407851,False
COAD,shipped,uni_v2,random,abs,1,spot,1,0.89713021798447,0.002379642761377536,0.01629258869809128,False
COAD,shipped,uni_v2,random,scaled,0,spot,1,0.8989345638594604,0.002724233429104024,0.01663209935286778,False
