task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
CCRCC,shipped,virchow2,donor,abs,INT1,donor,3,0.7656396063960639,0.16439657879177333,0.22421950030593946,False
CCRCC,shipped,virchow2,donor,abs,INT10,donor,3,0.7836140527819802,0.027908582391696517,0.0669985004097851,False
CCRCC,shipped,virchow2,donor,abs,INT11,donor,3,0.7811860088024091,0.10880135585963328,0.26534557176905393,False
CCRCC,shipped,virchow2,donor,abs,INT12,donor,3,0.8447645302090513,0.046525784281041975,0.0609056274309443,False
CCRCC,shipped,virchow2,donor,abs,INT13,donor,3,0.9214116387550663,0.017060980558057045,0.0914760551673286,False
CCRCC,shipped,virchow2,donor,abs,INT14,donor,3,0.9712421452579277,0.009885525293648943,0.15928751730262802,False
CCRCC,shipped,virchow2,donor,abs,INT15,donor,3,0.9233508771929825,0.01801877356478854,0.10644762073727397,False
CCRCC,shipped,virchow2,donor,abs,INT16,donor,3,0.9204262840507381,0.004403598434809269,0.0932699888283973,False
CCRCC,shipped,virchow2,donor,abs,INT17,donor,3,0.9426164574616457,0.021051910489324054,0.16783870876640464,False
CCRCC,shipped,virchow2,donor,abs,INT18,donor,3,0.8878684299762631,0.04695286782709187,0.3886129430609959,False
CCRCC,shipped,virchow2,donor,abs,INT19,donor,3,0.979403125842091,0.004484879028227694,0.09443355607551832,False
CCRCC,shipped,virchow2,donor,abs,INT2,donor,3,0.9200413436692507,0.01615777315707301,0.118429613496114,False
CCRCC,shipped,virchow2,donor,abs,INT20,donor,3,0.9522578875171468,0.015652291550443505,0.16349173246416568,False
CCRCC,shipped,virchow2,donor,abs,INT21,donor,3,0.9261748743718593,0.025427304426714807,0.291842421028117,False
CCRCC,shipped,virchow2,donor,abs,INT22,donor,3,0.8839958213632801,0.017942571867947336,0.10064932405435503,False
CCRCC,shipped,virchow2,donor,abs,INT23,donor,3,0.8711910269891342,0.044871255508174404,0.3252975170911896,False
