task,label_set,design,n_fold_draw_rows,unit_counts,n_cal_units_min,n_cal_units_max,n_cal_spots_median,rows_cal_shares_donor_with_test,rows_cal_shares_exact_session_with_test,non_ok_cal_status,superseded_label_set
CCRCC,shipped,donor,864,donor=864,6,6,18812,0,0,,False
CCRCC,shipped,patient,216,patient=216,5,5,14996,0,0,,False
CCRCC,shipped,random,360,spot=360,11170,13531,12294,360,0,,False
COAD,shipped,donor,144,donor=144,1,1,3535,0,0,,False
COAD,shipped,patient,72,block=36;slide=36,1,8,2290,0,0,,False
COAD,shipped,random,120,spot=120,1016,2115,1565,120,0,,False
HCC,shipped,donor,72,block=72,6,8,441,0,0,,False
HCC,shipped,patient,72,block=72,5,8,439,0,0,,False
HCC,shipped,random,120,spot=120,389,451,420,120,0,,False
IDC,audited,donor,36,donor=36,1,1,4010,0,0,,True
IDC,audited,patient,144,patient=144,1,1,3507,12,0,,True
IDC,audited,random,240,spot=240,2955,6507,5931,240,0,,True
IDC,audited,slide_out,144,slide=144,1,1,4010,24,0,,True
IDC,shipped,donor,144,donor=144,1,1,4010,0,0,,False
IDC,shipped,patient,144,patient=144,1,1,3507,0,0,,False
IDC,shipped,random,240,spot=240,2955,6507,5931,240,0,,False
LUNG,shipped,donor,72,block=72,6,8,563,0,0,,False
LUNG,shipped,patient,72,block=72,7,8,581,0,0,,False
LUNG,shipped,random,120,spot=120,389,653,521,120,0,,False
LYMPH_IDC,shipped,donor,144,donor=144,1,1,4992,0,0,,False
LYMPH_IDC,shipped,patient,144,patient=144,1,1,4992,0,0,,False
LYMPH_IDC,shipped,random,240,spot=240,2995,2996,2995,240,0,,False
PAAD,shipped,donor,36,donor=36,1,1,2010,0,0,,False
PAAD,shipped,patient,36,patient=36,1,1,2010,0,0,,False
PAAD,shipped,random,180,spot=180,793,1124,1113,180,0,,False
PRAD,shipped,donor,72,slide=72,2,4,8229,0,0,,False
PRAD,shipped,patient,72,slide=72,2,4,6753,0,0,,False
PRAD,shipped,random,120,spot=120,5179,7364,6271,120,120,,False
PRAD,shipped,slide_out,828,slide=828,6,6,16221,768,468,,False
READ,shipped,donor,24,slide=24,1,1,2038,0,0,,False
READ,shipped,patient,24,slide=24,1,1,2038,0,0,,False
READ,shipped,random,120,spot=120,764,918,841,120,0,,False
READ,shipped,slide_out,144,slide=144,1,1,2203,36,0,,False
SKCM,shipped,donor,72,block=72,5,8,329,0,0,,False
SKCM,shipped,patient,72,block=72,5,9,328,0,0,,False
SKCM,shipped,random,120,spot=120,259,349,304,120,0,,False
