encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match,superseded_label_set
ctranspath,PRAD,shipped,slide_out,MEND139,-1,0,slide,22,6,14527,6,58961,44434,39667,39667,0,,3749,1,MEND139,MEND141;MEND146;MEND150;MEND154;MEND157;MEND158,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND139,-1,1,slide,22,6,14486,6,58961,44475,39667,39667,0,,3749,1,MEND139,MEND145;MEND146;MEND150;MEND156;MEND157;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND139,-1,2,slide,22,6,19294,6,58961,39667,39667,39667,0,,3749,1,MEND139,MEND142;MEND143;MEND147;MEND154;MEND156;MEND159,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND140,-1,0,slide,22,6,18699,6,60775,42076,39667,39667,0,,1935,1,MEND140,MEND139;MEND143;MEND147;MEND149;MEND158;MEND159,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND140,-1,1,slide,22,6,18264,6,60775,42511,39667,39667,0,,1935,1,MEND140,MEND144;MEND147;MEND151;MEND156;MEND158;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND140,-1,2,slide,22,6,14369,6,60775,46406,39667,39667,0,,1935,1,MEND140,MEND141;MEND142;MEND144;MEND145;MEND147;MEND150,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND141,-1,0,slide,22,6,17136,6,60916,43780,39667,39667,0,,1794,1,MEND141,MEND139;MEND142;MEND143;MEND148;MEND150;MEND157,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND141,-1,1,slide,22,6,15590,6,60916,45326,39667,39667,0,,1794,1,MEND141,MEND139;MEND145;MEND153;MEND154;MEND158;MEND161,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND141,-1,2,slide,22,6,16922,6,60916,43994,39667,39667,0,,1794,1,MEND141,MEND142;MEND147;MEND152;MEND153;MEND160;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND142,-1,0,slide,22,6,15520,6,59713,44193,39667,39667,0,,2997,1,MEND142,MEND143;MEND145;MEND152;MEND153;MEND161;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND142,-1,1,slide,22,6,15380,6,59713,44333,39667,39667,0,,2997,1,MEND142,MEND140;MEND146;MEND151;MEND152;MEND157;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND142,-1,2,slide,22,6,19768,6,59713,39945,39667,39667,0,,2997,1,MEND142,MEND143;MEND147;MEND151;MEND152;MEND159;MEND160,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND143,-1,0,slide,22,6,13069,6,58894,45825,39667,39667,0,,3816,1,MEND143,MEND140;MEND141;MEND146;MEND147;MEND149;MEND157,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND143,-1,1,slide,22,6,16467,6,58894,42427,39667,39667,0,,3816,1,MEND143,MEND141;MEND144;MEND146;MEND153;MEND154;MEND160,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND143,-1,2,slide,22,6,14208,6,58894,44686,39667,39667,0,,3816,1,MEND143,MEND141;MEND145;MEND150;MEND152;MEND156;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND144,-1,0,slide,22,6,16752,6,58636,41884,39667,39667,0,,4074,1,MEND144,MEND151;MEND153;MEND158;MEND159;MEND161;MEND162,True,True,True,False,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND144,-1,1,slide,22,6,15579,6,58636,43057,39667,39667,0,,4074,1,MEND144,MEND139;MEND141;MEND143;MEND148;MEND149;MEND154,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND144,-1,2,slide,22,6,17311,6,58636,41325,39667,39667,0,,4074,1,MEND144,MEND140;MEND142;MEND147;MEND157;MEND160;MEND161,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND145,-1,0,slide,22,6,13941,6,61292,47351,39667,39667,0,,1418,1,MEND145,MEND141;MEND149;MEND153;MEND158;MEND161;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND145,-1,1,slide,22,6,16945,6,61292,44347,39667,39667,0,,1418,1,MEND145,MEND141;MEND142;MEND144;MEND150;MEND156;MEND161,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND145,-1,2,slide,22,6,18091,6,61292,43201,39667,39667,0,,1418,1,MEND145,MEND140;MEND143;MEND147;MEND154;MEND157;MEND160,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND146,-1,0,slide,22,6,18079,6,60746,42667,39667,39667,0,,1964,1,MEND146,MEND139;MEND143;MEND150;MEND151;MEND156;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND146,-1,1,slide,22,6,14979,6,60746,45767,39667,39667,0,,1964,1,MEND146,MEND144;MEND148;MEND150;MEND153;MEND158;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND146,-1,2,slide,22,6,16031,6,60746,44715,39667,39667,0,,1964,1,MEND146,MEND147;MEND148;MEND151;MEND160;MEND161;MEND162,True,True,True,False,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND147,-1,0,slide,22,6,17576,6,60375,42799,39667,39667,0,,2335,1,MEND147,MEND139;MEND142;MEND146;MEND153;MEND157;MEND159,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND147,-1,1,slide,22,6,19282,6,60375,41093,39667,39667,0,,2335,1,MEND147,MEND139;MEND149;MEND152;MEND156;MEND157;MEND159,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND147,-1,2,slide,22,6,13257,6,60375,47118,39667,39667,0,,2335,1,MEND147,MEND141;MEND146;MEND149;MEND153;MEND154;MEND158,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND148,-1,0,slide,22,6,17771,6,61077,43306,39667,39667,0,,1633,1,MEND148,MEND139;MEND147;MEND150;MEND152;MEND160;MEND161,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND148,-1,1,slide,22,6,16050,6,61077,45027,39667,39667,0,,1633,1,MEND148,MEND140;MEND143;MEND145;MEND152;MEND157;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND148,-1,2,slide,22,6,20676,6,61077,40401,39667,39667,0,,1633,1,MEND148,MEND139;MEND143;MEND156;MEND158;MEND159;MEND162,True,True,True,False,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND149,-1,0,slide,22,6,14119,6,60859,46740,39667,39667,0,,1851,1,MEND149,MEND141;MEND143;MEND146;MEND148;MEND153;MEND158,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND149,-1,1,slide,22,6,18796,6,60859,42063,39667,39667,0,,1851,1,MEND149,MEND140;MEND144;MEND146;MEND156;MEND157;MEND160,True,True,True,False,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND149,-1,2,slide,22,6,13837,6,60859,47022,39667,39667,0,,1851,1,MEND149,MEND139;MEND141;MEND145;MEND146;MEND153;MEND158,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND150,-1,0,slide,22,6,16530,6,60959,44429,39667,39667,0,,1751,1,MEND150,MEND145;MEND152;MEND156;MEND158;MEND161;MEND162,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND150,-1,1,slide,22,6,15212,6,60959,45747,39667,39667,0,,1751,1,MEND150,MEND139;MEND145;MEND148;MEND153;MEND154;MEND159,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND150,-1,2,slide,22,6,17982,6,60959,42977,39667,39667,0,,1751,1,MEND150,MEND139;MEND140;MEND143;MEND144;MEND148;MEND161,True,True,True,True,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND151,-1,0,slide,22,6,15861,6,60110,44249,39667,39667,0,,2600,1,MEND151,MEND140;MEND141;MEND142;MEND146;MEND158;MEND160,True,True,True,False,ok,task,False
ctranspath,PRAD,shipped,slide_out,MEND151,-1,1,slide,22,6,18550,6,60110,41560,39667,39667,0,,2600,1,MEND151,MEND139;MEND147;MEND150;MEND152;MEND156;MEND160,True,True,True,True,ok,task,False
