encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match,superseded_label_set
uni_v1,CCRCC,shipped,random,0,0,0,spot,55849,11170,11170,24,55849,44679,35996,35996,0,,18371,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,0,1,0,spot,55849,11170,11170,24,55849,44679,35996,35996,0,,18371,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,0,2,0,spot,55849,11170,11170,24,55849,44679,35996,35996,0,,18371,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,0,3,0,spot,55849,11170,11170,24,55849,44679,35996,35996,0,,18371,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,0,4,0,spot,55849,11170,11170,24,55849,44679,35996,35996,0,,18371,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,1,0,0,spot,67651,13531,13531,24,67651,54120,35996,35996,0,,6569,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,1,1,0,spot,67651,13531,13531,24,67651,54120,35996,35996,0,,6569,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,1,2,0,spot,67651,13531,13531,24,67651,54120,35996,35996,0,,6569,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,1,3,0,spot,67651,13531,13531,24,67651,54120,35996,35996,0,,6569,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,1,4,0,spot,67651,13531,13531,24,67651,54120,35996,35996,0,,6569,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,2,0,0,spot,63464,12693,12693,24,63464,50771,35996,35996,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,2,1,0,spot,63464,12693,12693,24,63464,50771,35996,35996,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,2,2,0,spot,63464,12693,12693,24,63464,50771,35996,35996,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,2,3,0,spot,63464,12693,12693,24,63464,50771,35996,35996,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,2,4,0,spot,63464,12693,12693,24,63464,50771,35996,35996,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
uni_v1,CCRCC,shipped,random,3,0,0,spot,67098,13420,13420,24,67098,53678,35996,35996,0,,7122,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task,False
