encoder,design,score,n_tasks,coverage_mean,coverage_sd_across_tasks,shortfall_from_nominal,width_mean
conch_v1,random,abs,11,0.8929100402827924,0.011395845441048357,0.007089959717207606,2.0581148043130453
conch_v1,random,scaled,11,0.8994448590250284,0.002758702761349246,0.0005551409749716685,2.6935438539213292
conch_v1,patient,abs,11,0.7944961697780323,0.07237775106064755,0.10550383022196774,2.693152335363591
conch_v1,patient,scaled,11,0.8048077284891659,0.06652555472270233,0.09519227151083409,13.401972737658983
conch_v1,donor,abs,11,0.8110707743761633,0.07665245383447085,0.08892922562383676,2.807341084133824
conch_v1,donor,scaled,11,0.8157983986982018,0.06821411208038763,0.08420160130179821,10.390881195754123
conch_v1,slide_out,abs,3,0.8612160306133798,0.030960364028969893,0.03878396938662021,2.6605419178701766
conch_v1,slide_out,scaled,3,0.8743462197822688,0.025045345188524883,0.025653780217731237,4.756566671455897
conch_v15,random,abs,11,0.8929196286813917,0.011583535762061675,0.007080371318608281,2.0807243496965713
conch_v15,random,scaled,11,0.8994922042916047,0.0026270209325180553,0.00050779570839532,2.5792791417667145
conch_v15,patient,abs,11,0.7948935341710719,0.06936235459113885,0.10510646582892813,2.6488315196459
conch_v15,patient,scaled,11,0.8045158503631671,0.05818776635022724,0.09548414963683294,4.928665368800559
conch_v15,donor,abs,11,0.8115509751787205,0.07763459648741898,0.08844902482127948,2.7692265563657648
conch_v15,donor,scaled,11,0.8239522916001408,0.05351336945039354,0.07604770839985919,5.007585106850084
conch_v15,slide_out,abs,3,0.8634681047686332,0.028595710708328913,0.036531895231366796,2.6426797366106474
conch_v15,slide_out,scaled,3,0.8759528514681253,0.02151315380601213,0.02404714853187473,3.439753372188875
ctranspath,random,abs,11,0.8933438398288593,0.011291213980176565,0.006656160171140679,2.048931920613474
ctranspath,random,scaled,11,0.8988765073478008,0.0038741248901342723,0.0011234926521992428,2.497736596790495
ctranspath,patient,abs,11,0.7798433638273383,0.07787892178604412,0.1201566361726617,2.7683353425324717
ctranspath,patient,scaled,11,0.7856165174927263,0.07167945757668648,0.1143834825072737,19.189653483603646
ctranspath,donor,abs,11,0.7974139696055845,0.0875538219261947,0.1025860303944155,2.878571781790688
ctranspath,donor,scaled,11,0.8041657544064394,0.06655216153822008,0.09583424559356057,24.410206272430088
ctranspath,slide_out,abs,3,0.853408688332208,0.03881071220286477,0.04659131166779207,2.777254682425206
ctranspath,slide_out,scaled,3,0.8704633568502476,0.02421597176552574,0.029536643149752462,22.515014711042305
gigapath,random,abs,11,0.8939476670377124,0.009396790025622673,0.0060523329622875766,1.917078398254705
gigapath,random,scaled,11,0.899561490612182,0.0023835166914229575,0.00043850938781797577,2.1407859658926838
