task,label_set,design,score,n_encoders,n_folds,coverage_mean,coverage_sd_across_encoders,shortfall_from_nominal,width_mean,calibration_units,n_train_matched,superseded_label_set
CCRCC,shipped,random,abs,12,6,0.8809874361442861,0.0027373757933280285,0.019012563855713926,1.6441491668616661,spot,35996,False
CCRCC,shipped,random,scaled,12,6,0.8998873140515011,0.0008166136075908664,0.0001126859484988918,1.6307604305774084,spot,35996,False
CCRCC,shipped,patient,abs,12,6,0.8562755815761778,0.0027066156164769583,0.04372441842382224,2.241713029049132,patient,35996,False
CCRCC,shipped,patient,scaled,12,6,0.8724672680394581,0.005258199447066508,0.027532731960541956,2.281936605394385,patient,35996,False
CCRCC,shipped,donor,abs,12,24,0.8642708075597048,0.001910946558266286,0.035729192440295265,2.129581012145231,donor,35996,False
CCRCC,shipped,donor,scaled,12,24,0.8738098831432775,0.001916088782935152,0.026190116856722567,2.163507918320894,donor,35996,False
COAD,shipped,random,abs,12,2,0.8963215563182994,0.000358086928056948,0.0036784436817006716,2.2380458509084438,spot,3389,False
COAD,shipped,random,scaled,12,2,0.8998468970757943,0.000793426462691835,0.0001531029242056725,2.388148509347423,spot,3389,False
COAD,shipped,patient,abs,12,2,0.7206847690903608,0.017280759621904108,0.1793152309096392,2.5391895092035326,block;slide,3389,False
COAD,shipped,patient,scaled,12,2,0.6977053790620553,0.028154222477483684,0.2022946209379447,2.8305022048338975,block;slide,3389,False
COAD,shipped,donor,abs,12,4,0.8663109627208065,0.0048296079465979394,0.03368903727919348,3.3663424630679897,donor,3389,False
COAD,shipped,donor,scaled,12,4,0.8670479751945714,0.010047336026726963,0.03295202480542858,5.524065776905618,donor,3389,False
HCC,shipped,random,abs,12,2,0.9019473510592528,0.0007525328056905551,-0.001947351059252811,1.6066067723158879,spot,1203,False
HCC,shipped,random,scaled,12,2,0.8986113970419032,0.0010994258055522096,0.0013886029580968406,2.3175341570652583,spot,1203,False
HCC,shipped,patient,abs,12,2,0.7595508442005408,0.013529917680722472,0.14044915579945927,1.6108984140966427,block,1203,False
HCC,shipped,patient,scaled,12,2,0.7510262073366835,0.01743151583620371,0.14897379266331656,3.3386065078643923,block,1203,False
HCC,shipped,donor,abs,12,2,0.749651142619571,0.013810132003437118,0.15034885738042902,1.5886531787828486,block,1203,False
HCC,shipped,donor,scaled,12,2,0.7545512635686986,0.021492673732049612,0.1454487364313014,4.624838096846903,block,1203,False
IDC,audited,random,abs,12,4,0.8773259827436848,0.0028249613265244364,0.022674017256315238,2.2861576718190983,spot,3005,True
IDC,audited,random,scaled,12,4,0.8932117863622707,0.002014759528193057,0.006788213637729301,2.517189086738564,spot,3005,True
IDC,audited,patient,abs,12,4,0.8206725099176264,0.010341344555334841,0.07932749008237361,4.157981460098767,patient,3005,True
IDC,audited,patient,scaled,12,4,0.8268473290685279,0.008604082062056975,0.07315267093147215,27.46116177444011,patient,3005,True
IDC,audited,donor,abs,12,3,0.832674297820607,0.010057147119762593,0.06732570217939304,4.732498896600104,donor,3005,True
IDC,audited,donor,scaled,12,3,0.8217288012520064,0.02502378222726237,0.0782711987479936,75.0306916807032,donor,3005,True
IDC,audited,slide_out,abs,12,4,0.8341512906803841,0.007554447991641218,0.06584870931961595,4.27697341288527,slide,7015,True
IDC,audited,slide_out,scaled,12,4,0.8403663779684347,0.010362613255088355,0.0596336220315653,20.258271089361088,slide,7015,True
IDC,shipped,random,abs,12,4,0.8781584951665491,0.0028067058392985808,0.02184150483345093,2.2293657598612233,spot,3005,False
IDC,shipped,random,scaled,12,4,0.8963624673094908,0.0009634599839144725,0.0036375326905092598,2.3405532107932894,spot,3005,False
IDC,shipped,patient,abs,12,4,0.8195404663709688,0.010928739968719809,0.08045953362903124,4.0796443083720835,patient,3005,False
IDC,shipped,patient,scaled,12,4,0.8210367641706967,0.013174263602026155,0.07896323582930331,16.21541090139283,patient,3005,False
