encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
conch_v1,CCRCC,shipped,random,0,0,0,0.001,7.520143240823635e-05,5.987698002286212e-05,0.42982298674621566,0.4288669963778123,-0.1245171081960515,1.8790608593189169,3.64447272034561,False
conch_v1,CCRCC,shipped,random,0,1,0,0.001,6.624888093106535e-05,7.62070654836427e-05,0.4284816017023526,0.42884072203117135,-0.12401507214374202,1.8709920078280875,3.63607639083537,False
conch_v1,CCRCC,shipped,random,0,2,0,0.001,5.1924798567591766e-05,5.987698002286212e-05,0.42911796800518043,0.4288681605495882,-0.09583260551446898,1.873330228964524,3.622561326769048,False
conch_v1,CCRCC,shipped,random,0,3,0,0.001,6.982990152193375e-05,5.6610962930706006e-05,0.42712849391073915,0.42829479977665486,-0.10739387967950986,1.8883909465694115,3.6987453556658427,False
conch_v1,CCRCC,shipped,random,0,4,0,0.001,0.00010564010743061773,6.20543247509662e-05,0.4283605563476093,0.4284399099579635,-0.07583786236339796,1.8796915541085282,3.698502176443981,False
conch_v1,CCRCC,shipped,random,1,0,0,0.001,8.129480452294731e-05,5.480286192723398e-05,0.4300538664987784,0.42753217067092253,-0.07627628845563866,1.8683140246177432,3.6184972036865326,False
conch_v1,CCRCC,shipped,random,1,1,0,0.001,4.877688271376838e-05,9.438270665245852e-05,0.4279723696363363,0.42833551122433294,-0.08855372023671548,1.879059191656678,3.6185549230747056,False
conch_v1,CCRCC,shipped,random,1,2,0,0.001,9.311950336264874e-05,0.00010656112041406607,0.42927429059557964,0.429467674137899,-0.1008376581545305,1.867765379856219,3.618601798483291,False
conch_v1,CCRCC,shipped,random,1,3,0,0.001,8.425097923287266e-05,5.175825848683209e-05,0.42820547879178705,0.42758662596823516,-0.12233291836380822,1.8862381707506812,3.672126702993868,False
conch_v1,CCRCC,shipped,random,1,4,0,0.001,4.5820708003843024e-05,6.698127568884153e-05,0.42819526296415267,0.4281756878260726,-0.0713867110996706,1.8905382177995464,3.6570193364940553,False
conch_v1,CCRCC,shipped,random,2,0,0,0.001,4.096746238083983e-05,9.297136481963555e-05,0.4284148383354299,0.4276073394235394,-0.10774355767235133,1.8859670196510192,3.663699956891295,False
conch_v1,CCRCC,shipped,random,2,1,0,0.001,3.7816119120775234e-05,4.6485682409817774e-05,0.4277155520646477,0.4296149276757139,-0.04839266368665207,1.8802017148715096,3.613592553695107,False
conch_v1,CCRCC,shipped,random,2,2,0,0.001,3.7816119120775234e-05,6.322052807735217e-05,0.42765846915027783,0.42822255244335683,-0.09646002299403933,1.8780580886008593,3.6323730304477304,False
conch_v1,CCRCC,shipped,random,2,3,0,0.001,6.932955172142126e-05,5.764224618817404e-05,0.42758427523615217,0.4293672082677203,-0.08797422627267892,1.8769562726772202,3.635242824909904,False
conch_v1,CCRCC,shipped,random,2,4,0,0.001,2.9937760970613723e-05,7.995537374488658e-05,0.42848884771681117,0.4280947863998831,-0.050399521322012364,1.881739107077577,3.6171031864509193,False
