encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal
conch_v1,PRAD,shipped,slide_out,MEND139,-1,0,0.001,0.0014538445652922144,0.00011202987463323553,0.44362499054636667,0.5325976209319694,-0.34766680693045837,2.1068720510963104,5.49128087469314
conch_v1,PRAD,shipped,slide_out,MEND139,-1,1,0.001,0.00016291591881816928,5.334755934915978e-06,0.39876905228283727,0.5701307214165388,-0.09133379129541164,2.5126544497599217,6.615162571220322
conch_v1,PRAD,shipped,slide_out,MEND139,-1,2,0.001,8.189074323623924e-05,5.334755934915978e-06,0.4423583772031807,0.5515618498979016,-0.1783868644013762,2.0821312383732136,4.670051086825649
conch_v1,PRAD,shipped,slide_out,MEND140,-1,0,0.001,0.000893095887480614,0.000330749354005168,0.4478383732177471,0.404488642495276,-0.24183971613671107,2.073245353507952,5.24004267369617
conch_v1,PRAD,shipped,slide_out,MEND140,-1,1,0.001,0.00038983793254489707,0.00040310077519379846,0.41617236399723134,0.4072991984321145,-0.1942950523965467,2.1157256414447154,5.657089976298952
conch_v1,PRAD,shipped,slide_out,MEND140,-1,2,0.001,0.0006834156865474285,0.0001550387596899225,0.385158716069138,0.41362440992012384,-0.32813537685972693,2.092920977272182,4.825980092497068
conch_v1,PRAD,shipped,slide_out,MEND141,-1,0,0.001,0.0009243697478991597,0.003500557413600892,0.41947510380658554,0.34836960012482066,-0.29158217385740326,2.098915870434165,5.214470379155255
conch_v1,PRAD,shipped,slide_out,MEND141,-1,1,0.001,0.0015304682488774856,0.0016387959866220735,0.463303512836337,0.3611628565699294,-0.2295613657301161,2.463175199828637,5.612057734831257
conch_v1,PRAD,shipped,slide_out,MEND141,-1,2,0.001,0.0017078359531970215,0.0015161649944258639,0.46409337249529475,0.35519759930431266,-0.6419096148208249,1.802715431139348,4.398626635989452
conch_v1,PRAD,shipped,slide_out,MEND142,-1,0,0.001,0.0022358247422680413,7.340674007340674e-05,0.38438425257018205,0.44269142577806087,-0.5116435741080941,2.4924311067327953,6.189435521956012
