encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
ctranspath,CCRCC,shipped,random,0,0,0,0.001,4.118173679498657e-05,4.2458222198029506e-05,0.4264433265387243,0.42510305207081495,-0.06847794711330019,1.8860432171735986,3.6251698058140858,False
ctranspath,CCRCC,shipped,random,0,1,0,0.001,7.520143240823635e-05,4.2458222198029506e-05,0.42492267221614555,0.42544077438440614,-0.11087320369451714,1.8807728759964055,3.6466835299745664,False
ctranspath,CCRCC,shipped,random,0,2,0,0.001,6.803939122649955e-05,5.6610962930706006e-05,0.42591055065398026,0.4259289424102513,-0.0743091361612353,1.8784258810624317,3.6239869979118167,False
ctranspath,CCRCC,shipped,random,0,3,0,0.001,5.729632945389436e-05,6.096565238691416e-05,0.4251433386226181,0.42639762798392583,-0.10711981096831585,1.8895342502195818,3.6774324687802573,False
ctranspath,CCRCC,shipped,random,0,4,0,0.001,7.520143240823635e-05,4.6812911654237654e-05,0.4248356262848535,0.42544261879359985,-0.06016976491515047,1.883873905589189,3.6422189614582385,False
ctranspath,CCRCC,shipped,random,1,0,0,0.001,4.5820708003843024e-05,4.8713655046430204e-05,0.4262995544025455,0.4254215766830227,-0.07108597687297619,1.8737200281327504,3.5813929852229114,False
ctranspath,CCRCC,shipped,random,1,1,0,0.001,4.434262064888035e-05,6.089206880803775e-05,0.42457339661209104,0.42547429171361145,-0.06436058280244433,1.8905973364543909,3.62014633415322,False
ctranspath,CCRCC,shipped,random,1,2,0,0.001,7.981671716798462e-05,8.524889633125285e-05,0.424681236697654,0.42556991070441,-0.1666168895787576,1.8881596810641024,3.649399588043461,False
ctranspath,CCRCC,shipped,random,1,3,0,0.001,4.5820708003843024e-05,5.784746536763586e-05,0.42513858024683476,0.4238085423989132,-0.06328948375679389,1.8936003023607808,3.6247048255417296,False
ctranspath,CCRCC,shipped,random,1,4,0,0.001,4.286453329391767e-05,4.2624448165626426e-05,0.42611651267974365,0.4255150784562915,-0.06671732689220833,1.8920820709919195,3.6135352667755254,False
ctranspath,CCRCC,shipped,random,2,0,0,0.001,6.617820846135666e-05,7.809594644849387e-05,0.4249051511756937,0.4247571627054231,-0.04860138501918432,1.8865866835534204,3.640638464498675,False
ctranspath,CCRCC,shipped,random,2,1,0,0.001,5.042149216103364e-05,7.065823726292301e-05,0.42445575664532886,0.4261036530670692,-0.0583556623438648,1.8840261050520617,3.6226105782836577,False
ctranspath,CCRCC,shipped,random,2,2,0,0.001,5.9875521941227446e-05,4.6485682409817774e-05,0.4249537437633281,0.42571332107240945,-0.07312362814070511,1.880957927991919,3.6282073969862036,False
ctranspath,CCRCC,shipped,random,2,3,0,0.001,9.296462617190578e-05,5.206396429899591e-05,0.42500974316720347,0.42576303162902096,-0.10655127476577819,1.8891702556570287,3.658575819501664,False
ctranspath,CCRCC,shipped,random,2,4,0,0.001,3.624044749074293e-05,5.02045370026032e-05,0.42524696736107453,0.4247543186439896,-0.05309772669783874,1.8869499768968616,3.6245859496934276,False
ctranspath,CCRCC,shipped,random,3,0,0,0.001,5.216095380029806e-05,5.054759898904802e-05,0.42570884747352083,0.4253622506853638,-0.12323104205555452,1.88522214984334,3.5940218083620463,False
ctranspath,CCRCC,shipped,random,3,1,0,0.001,4.023845007451565e-05,4.493119910137602e-05,0.4247424388852991,0.426867583681926,-0.05375026272432154,1.88344742977016,3.6283849088494833,False
ctranspath,CCRCC,shipped,random,3,2,0,0.001,4.4709388971684054e-05,4.773939904521202e-05,0.4254298791898158,0.42553999098584494,-0.16554279420776785,1.8821547304859856,3.6328931109433493,False
ctranspath,CCRCC,shipped,random,3,3,0,0.001,5.067064083457526e-05,2.808199943836001e-05,0.4249661548704323,0.4257621271543065,-0.12532026982868516,1.8995484647647796,3.666813032790193,False
ctranspath,CCRCC,shipped,random,3,4,0,0.001,5.3651266766020866e-05,6.178039876439203e-05,0.4252791992848643,0.4244415967044046,-0.069083070999292,1.896299769535045,3.6302084757657274,False
ctranspath,CCRCC,shipped,random,4,0,0,0.001,5.5485498108448925e-05,5.1532411174396526e-05,0.4251685058155005,0.42481397885943006,-0.06516007025971343,1.8853450006984978,3.631141154607872,False
ctranspath,CCRCC,shipped,random,4,1,0,0.001,6.221101303068516e-05,3.661513425549227e-05,0.42492256995109906,0.4247931888828685,-0.05879906622981318,1.8871549805722119,3.636026099769563,False
ctranspath,CCRCC,shipped,random,4,2,0,0.001,5.212274064733081e-05,4.068348250610252e-05,0.4248948193807935,0.4246617406997623,-0.06917961772384817,1.8846853069959066,3.619259573734631,False
ctranspath,CCRCC,shipped,random,4,3,0,0.001,7.566204287515763e-05,3.932736642256577e-05,0.4239826376353412,0.4248082064506148,-0.058350360198969886,1.8896573671177976,3.6663589075821013,False
ctranspath,CCRCC,shipped,random,4,4,0,0.001,6.725514922236234e-05,4.3395714673176027e-05,0.4260616921261626,0.42644085118438774,-0.13310384244027013,1.8809324470591477,3.63665054297868,False
ctranspath,CCRCC,shipped,random,5,0,0,0.001,4.689942678478374e-05,6.124654737600576e-05,0.42425566647937674,0.42385779663816026,-0.09477112779806679,1.8898319937677774,3.641662848183744,False
ctranspath,CCRCC,shipped,random,5,1,0,0.001,5.384749001215911e-05,5.163924582682839e-05,0.42537411229900324,0.4253198603289994,-0.07829359245129963,1.8850915031877309,3.62971285100519,False
ctranspath,CCRCC,shipped,random,5,2,0,0.001,6.774361646690985e-05,6.0045634682358595e-05,0.42567539043527775,0.42554954561352765,-0.06045091137423009,1.8728615379502758,3.5960011133319014,False
ctranspath,CCRCC,shipped,random,5,3,0,0.001,4.689942678478374e-05,4.323285697129819e-05,0.42489249614365754,0.4249158143200329,-0.16079280713694127,1.8914230686171618,3.636126607569113,False
ctranspath,CCRCC,shipped,random,5,4,0,0.001,6.6006600660066e-05,5.163924582682839e-05,0.42640595685562444,0.4248319015582399,-0.053795141483743814,1.883379689022214,3.624947417076415,False
ctranspath,CCRCC,shipped,patient,0,-1,0,0.001,2.017423200366804e-05,2.6128136737248926e-05,0.44233223470810956,0.40609392517278264,-0.07144198935610829,3.0589848349710076,6.225600461260274,False
ctranspath,CCRCC,shipped,patient,0,-1,1,0.001,0.0005836473578126369,0.00023950792009144847,0.38076120494882687,0.39828632177941914,-0.24894040436178844,3.4683498788551095,7.391705540965292,False
ctranspath,CCRCC,shipped,patient,0,-1,2,0.001,0.0003576285699894223,0.0004430896521691797,0.3757639856875,0.3975360302947969,-0.13249956443184885,3.9119958179126355,8.587643219948612,False
ctranspath,CCRCC,shipped,patient,1,-1,0,0.001,0.00020955721174923279,4.5669051606028315e-05,0.3947556579524013,0.5030414548768147,-0.22358836101403395,2.3766126835366355,5.227542343208852,False
ctranspath,CCRCC,shipped,patient,1,-1,1,0.001,3.878636221457617e-05,0.0007398386360176587,0.40909248168133655,0.4938055543181304,-0.043465319758632104,2.7371985962532293,5.690250591935807,False
ctranspath,CCRCC,shipped,patient,1,-1,2,0.001,1.6877637130801688e-05,1.5223017202009438e-05,0.3988661609209241,0.5118504100194053,-0.11542231742981984,2.6474245755533876,5.503447424538584,False
ctranspath,CCRCC,shipped,patient,2,-1,0,0.001,0.000136965298717228,4.2766827817032354e-05,0.39473936685958866,0.41037604496095403,-0.16110810126765718,2.2217157104215266,4.558827083477298,False
ctranspath,CCRCC,shipped,patient,2,-1,1,0.001,0.0007046406953282633,3.3469691335068796e-05,0.40681518420464474,0.39844080187252695,-0.15084482340432426,2.5069107203850685,6.158070772045025,False
ctranspath,CCRCC,shipped,patient,2,-1,2,0.001,0.0015917920111564897,0.0003979174414280402,0.36626778580793107,0.3566382435919842,-0.1818588430253379,4.375569428166423,8.844996805680056,False
ctranspath,CCRCC,shipped,patient,3,-1,0,0.001,0.00035327469651813624,0.00015164279696714406,0.3891934935923068,0.44056523596351105,-0.1208563474708354,2.808934077198561,5.988622337024906,False
ctranspath,CCRCC,shipped,patient,3,-1,1,0.001,0.00028229960848959407,3.6506599269868015e-05,0.38050371608625644,0.4711887004730606,-0.16239834916849893,2.7112112621958997,5.829730311655508,False
ctranspath,CCRCC,shipped,patient,3,-1,2,0.001,0.00019892110586648684,0.00010109519797809604,0.39923761962309323,0.4527242381159342,-0.13553934972646176,2.2851821770876026,4.716967083066821,False
ctranspath,CCRCC,shipped,patient,4,-1,0,0.001,0.00028023149558330793,6.780580417683753e-06,0.4213668431501067,0.4116315820149663,-0.33262005728882743,3.2437210127504854,6.367825441016083,False
ctranspath,CCRCC,shipped,patient,4,-1,1,0.001,4.449078901633646e-05,2.5766205587198263e-05,0.40788158631429194,0.39961296352127507,-0.10958035874771255,2.4859730040103343,4.994533352691909,False
ctranspath,CCRCC,shipped,patient,4,-1,2,0.001,9.721246193487936e-05,4.203959858963927e-05,0.41296740532121357,0.36924713049759905,-0.10601352495398364,2.891977090713644,7.936750148153259,False
ctranspath,CCRCC,shipped,patient,5,-1,0,0.001,6.27923367719613e-05,0.001132460670109283,0.4114819166627991,0.3676859508700749,-0.12197098479885171,2.8060951612504947,6.123121043084303,False
ctranspath,CCRCC,shipped,patient,5,-1,1,0.001,3.22733744660655e-05,0.0002642007926023778,0.47117121804286466,0.3772908112370408,-0.08261629774682944,2.196044530725095,4.211742110402465,False
ctranspath,CCRCC,shipped,patient,5,-1,2,0.001,0.00010251355347461804,0.000307433649573676,0.47012076193068686,0.3821446988267416,-0.0882976643383862,3.037951699830683,6.207829470902955,False
ctranspath,CCRCC,shipped,donor,INT1,-1,0,0.001,2.1714544220764532e-05,0.0,0.39995321621979985,0.4807084079787779,-0.10566533588662402,2.2730098318094205,4.774936827594723,False
ctranspath,CCRCC,shipped,donor,INT1,-1,1,0.001,5.7670126874279124e-05,1.845018450184502e-05,0.416949246566597,0.4516429822255578,-0.2874018300538414,2.773356702988804,5.744841516101722,False
ctranspath,CCRCC,shipped,donor,INT1,-1,2,0.001,0.00016536465758111422,0.0,0.3936264526615274,0.5056848134120561,-0.11464866460427292,2.9923259315944084,6.3518439803216475,False
ctranspath,CCRCC,shipped,donor,INT10,-1,0,0.001,4.4335212760830806e-05,5.042864346949067e-05,0.4126290222708212,0.43151953575409285,-0.3649339504473316,2.6427966481466547,6.026994836346656,False
ctranspath,CCRCC,shipped,donor,INT10,-1,1,0.001,0.00016846189187809485,0.0016944024205748866,0.3930487199232173,0.3522223470745756,-0.19489237872782045,3.1813647242856558,6.838470166631703,False
ctranspath,CCRCC,shipped,donor,INT10,-1,2,0.001,3.3159035837265656e-05,0.00013111447302067573,0.4405335373971327,0.45617429058912934,-0.056451435000720196,2.375070509585448,4.587049657148188,False
ctranspath,CCRCC,shipped,donor,INT11,-1,0,0.001,7.460698108180122e-06,2.7797081306462822e-05,0.42613742257874165,0.47352610297742226,-0.14090582431306853,2.1749488247845883,4.224411799343044,False
ctranspath,CCRCC,shipped,donor,INT11,-1,1,0.001,0.00010620006068574897,8.339124391938846e-05,0.40074873778246267,0.43920212789239665,-0.3528746557959498,2.9702176762636685,6.0696790391020405,False
ctranspath,CCRCC,shipped,donor,INT11,-1,2,0.001,1.8942757355117503e-05,0.0,0.4145129018735751,0.44154148898040035,-0.05162591798736654,2.187922500408092,4.2703507287282445,False
ctranspath,CCRCC,shipped,donor,INT12,-1,0,0.001,0.0001047935256277236,0.0,0.42026097484863356,0.5393627284858827,-0.15956358767740858,2.7637304772577176,5.968448888010703,False
ctranspath,CCRCC,shipped,donor,INT12,-1,1,0.001,7.636782090176797e-05,0.0,0.4197500014154092,0.535350792185721,-0.12103321207450013,2.474038219685582,5.209120145609905,False
ctranspath,CCRCC,shipped,donor,INT12,-1,2,0.001,0.00041793256761763614,0.0,0.4364443571521987,0.57113166316796,-0.1181512237426613,2.6315178492391977,5.633724836548499,False
ctranspath,CCRCC,shipped,donor,INT13,-1,0,0.001,0.0002844950213371266,4.588208304657032e-06,0.43737656491918797,0.4187868957085624,-0.200573889928997,2.554311011042184,5.405836287552766,False
ctranspath,CCRCC,shipped,donor,INT13,-1,1,0.001,0.00011689896589376325,4.588208304657032e-06,0.4286947737445685,0.4137704977653821,-0.14066279345541227,2.512330109445152,5.328043348874349,False
ctranspath,CCRCC,shipped,donor,INT13,-1,2,0.001,0.000761147401306447,4.588208304657032e-06,0.391234816824479,0.4200498054851453,-0.29703309575431014,2.9218439995049117,7.264785322244789,False
ctranspath,CCRCC,shipped,donor,INT14,-1,0,0.001,9.958992384299941e-05,6.57606313020605e-05,0.4090645680979077,0.41230150410802824,-0.17517853284418156,3.0206068586743586,6.248792481276346,False
ctranspath,CCRCC,shipped,donor,INT14,-1,1,0.001,2.838489923360772e-05,0.00012713722051731696,0.46122923180441766,0.4033343632273562,-0.05864918307770256,2.5513470715256523,4.859537942914431,False
ctranspath,CCRCC,shipped,donor,INT14,-1,2,0.001,3.019627579265224e-05,1.7536168347216134e-05,0.4231655802436337,0.39878905591358554,-0.1058383379102848,2.3612933121980464,4.74288804816214,False
ctranspath,CCRCC,shipped,donor,INT15,-1,0,0.001,1.016870811185579e-05,2.4291497975708502e-05,0.42761373041927564,0.4261682567065405,-0.05889870785542611,2.2520981434564944,4.480158514604633,False
ctranspath,CCRCC,shipped,donor,INT15,-1,1,0.001,0.0006162089752176825,2.4291497975708502e-05,0.37610328387875047,0.42646466942526007,-0.19028146643789978,3.2988986084854885,7.160264498127932,False
ctranspath,CCRCC,shipped,donor,INT15,-1,2,0.001,6.258381761287438e-05,8.097165991902834e-06,0.3896486343526948,0.4289554232372223,-0.14832215163588836,2.8405570314370867,6.798844684508787,False
