encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
gigapath,CCRCC,shipped,random,0,0,0,0.001,5.3715308863025965e-05,6.096565238691416e-05,0.4153218839730271,0.4150156011207744,-0.09822193248795202,1.8946248858442292,3.602587721602805,False
gigapath,CCRCC,shipped,random,0,1,0,0.001,5.3715308863025965e-05,8.273909966795493e-05,0.41464512820274546,0.41523617267312163,-0.03432904215732613,1.888394196025134,3.5933061209646207,False
gigapath,CCRCC,shipped,random,0,2,0,0.001,5.1924798567591766e-05,3.483751564966523e-05,0.4153389437283056,0.41528866350463833,-0.04612738494868618,1.8869257857271895,3.637464571565685,False
gigapath,CCRCC,shipped,random,0,3,0,0.001,3.7600716204118174e-05,6.314299711501824e-05,0.4151516199299991,0.41598811903475896,-0.05909763452308103,1.8901239573907183,3.6185099827972067,False
gigapath,CCRCC,shipped,random,0,4,0,0.001,4.655326768128917e-05,7.402972075553862e-05,0.4147095461356949,0.41544551110497996,-0.05693378290405082,1.887908729639637,3.60763009206611,False
gigapath,CCRCC,shipped,random,1,0,0,0.001,6.79920183282832e-05,5.784746536763586e-05,0.4164444343541863,0.41474868864926984,-0.07081946363281116,1.8818256607437533,3.5918089650533513,False
gigapath,CCRCC,shipped,random,1,1,0,0.001,5.321114477865642e-05,5.175825848683209e-05,0.415342321292107,0.4154115045498219,-0.06384984226373686,1.8895292309922402,3.618666534782725,False
gigapath,CCRCC,shipped,random,1,2,0,0.001,3.990835858399231e-05,3.957984472522454e-05,0.41477170690729437,0.415042605472488,-0.055465008912258584,1.8924970238061003,3.6209567185655227,False
gigapath,CCRCC,shipped,random,1,3,0,0.001,7.981671716798462e-05,3.653524128482265e-05,0.4149854523570379,0.4136268365113405,-0.09531555451338292,1.899857884158285,3.619326800144581,False
gigapath,CCRCC,shipped,random,1,4,0,0.001,3.8430271229029636e-05,3.0446034404018876e-05,0.4163409887333403,0.4157195221913911,-0.03410005836292035,1.892516828647606,3.608555508366289,False
gigapath,CCRCC,shipped,random,2,0,0,0.001,5.6724178681162844e-05,4.4626255113425064e-05,0.41499686184921813,0.4146092279831839,-0.044034245195006816,1.895024464753266,3.614047081392328,False
gigapath,CCRCC,shipped,random,2,1,0,0.001,4.411880564090443e-05,5.578281889178133e-05,0.4141862133235032,0.4159747176290875,-0.05955253736481059,1.8932930625993054,3.5841729181454234,False
gigapath,CCRCC,shipped,random,2,2,0,0.001,3.308910423067833e-05,5.02045370026032e-05,0.41432288238760207,0.41515827789623116,-0.09618349653028291,1.893382846144787,3.6168821846024146,False
gigapath,CCRCC,shipped,random,2,3,0,0.001,7.090522335145356e-05,4.8345109706210484e-05,0.41443684221934085,0.41600958921572095,-0.09444925562348738,1.8905988102913156,3.6299303120524398,False
gigapath,CCRCC,shipped,random,2,4,0,0.001,2.678641771054912e-05,7.065823726292301e-05,0.41507887839130625,0.4153553402497766,-0.08692584524638702,1.8939200051652871,3.6008890550918484,False
gigapath,CCRCC,shipped,random,3,0,0,0.001,5.514157973174367e-05,7.862959842740803e-05,0.41541760225014424,0.4152548342138166,-0.07321267712033691,1.8949702806832707,3.587128940170361,False
gigapath,CCRCC,shipped,random,3,1,0,0.001,5.067064083457526e-05,5.054759898904802e-05,0.41421922644460607,0.4162650691094299,-0.05209955710870601,1.888896779645028,3.5945783062004595,False
gigapath,CCRCC,shipped,random,3,2,0,0.001,5.216095380029806e-05,6.458859870822803e-05,0.4155681338646771,0.4149830858987501,-0.05511288742656778,1.884550149555175,3.5950051979057145,False
