encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
gigapath,PRAD,shipped,slide_out,MEND139,-1,0,0.001,0.001146830040614029,9.069085089357161e-05,0.4176223784063087,0.49521995476612846,-0.1525484969253279,2.2261400378022103,5.4593870901476835,False
gigapath,PRAD,shipped,slide_out,MEND139,-1,1,0.001,0.00014220626812094437,4.267804747932782e-05,0.3899068789853656,0.5122338478499764,-0.061639542535502245,2.520934267174745,5.881591815098081,False
gigapath,PRAD,shipped,slide_out,MEND139,-1,2,0.001,0.00043536850834456305,3.734329154441184e-05,0.4423280269266814,0.5099264429813695,-0.1604115126585801,2.1726285969269217,4.846921391271494,False
gigapath,PRAD,shipped,slide_out,MEND140,-1,0,0.001,0.0006984330712872346,0.00037209302325581393,0.4390324763468646,0.39013408089719903,-0.1908874060418349,2.138677920485611,5.0498607020358115,False
gigapath,PRAD,shipped,slide_out,MEND140,-1,1,0.001,0.00036574682435392027,7.23514211886305e-05,0.39919911296635807,0.4075314190405024,-0.09935103915849042,2.238290220653353,5.435476191363702,False
gigapath,PRAD,shipped,slide_out,MEND140,-1,2,0.001,0.00036328206555779805,0.00036175710594315246,0.36828343874642167,0.3935375072927594,-0.32924236744319546,2.173164176315541,4.883614781662401,False
gigapath,PRAD,shipped,slide_out,MEND141,-1,0,0.001,0.0003302987861811391,0.001181716833890747,0.4330417702873147,0.33294226147406003,-0.12961533296364847,1.9938395051085969,4.230507355980306,False
gigapath,PRAD,shipped,slide_out,MEND141,-1,1,0.001,0.0010327132777421424,0.0003455964325529543,0.4281759912997052,0.3346652129747818,-0.15889806941877527,2.8326719546504617,6.554389032801425,False
gigapath,PRAD,shipped,slide_out,MEND141,-1,2,0.001,0.00029665524169719893,0.0004347826086956522,0.45882704461873536,0.3396314159511499,-0.15028381082986642,1.8170496654096069,3.9096541441021673,False
gigapath,PRAD,shipped,slide_out,MEND142,-1,0,0.001,0.0013221649484536082,2.002002002002002e-05,0.3968209092677569,0.42818007048748347,-0.17060676746085507,2.3754179156763184,5.4016493178909855,False
gigapath,PRAD,shipped,slide_out,MEND142,-1,1,0.001,0.0005474642392717815,0.0,0.4193783190651943,0.42745415184161056,-0.2016472628792535,1.9785927867711286,4.412985046025228,False
gigapath,PRAD,shipped,slide_out,MEND142,-1,2,0.001,0.00012747875354107648,6.67334000667334e-06,0.4714527616952723,0.43739106089717233,-0.11622426622278315,2.034239482440028,3.7905851478116204,False
gigapath,PRAD,shipped,slide_out,MEND143,-1,0,0.001,0.00033361389547784836,0.0004507337526205451,0.3968988433346931,0.3383319295309066,-0.20331318257575293,2.0696050726122635,4.609779649656476,False
