encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal
hoptimus1,CCRCC,shipped,random,0,0,0,0.001,4.655326768128917e-05,5.769963529475804e-05,0.41513025792253644,0.4145101189390839,-0.05615027895009056,1.8919230702662888,3.649501010136171
hoptimus1,CCRCC,shipped,random,0,1,0,0.001,4.655326768128917e-05,7.511839311959065e-05,0.4143983749365657,0.4144416686520116,-0.06963666347535807,1.8922189825223683,3.6804704353282895
hoptimus1,CCRCC,shipped,random,0,2,0,0.001,5.5505819158460164e-05,5.987698002286212e-05,0.4155137190031646,0.4151618785733774,-0.04123083688166734,1.8899680735428372,3.676261777936252
hoptimus1,CCRCC,shipped,random,0,3,0,0.001,6.266786034019695e-05,5.987698002286212e-05,0.41482667694533315,0.41538950814185993,-0.0729183522822987,1.8930054238237632,3.6499077569408533
hoptimus1,CCRCC,shipped,random,0,4,0,0.001,6.266786034019695e-05,7.07637036633825e-05,0.4142690777481224,0.41439782511732204,-0.05366626296789945,1.8795269833911985,3.659658583580257
hoptimus1,CCRCC,shipped,random,1,0,0,0.001,4.877688271376838e-05,6.089206880803775e-05,0.41513309665245524,0.41388426720653837,-0.04897607476765187,1.8939029563039311,3.675543364219032
hoptimus1,CCRCC,shipped,random,1,1,0,0.001,2.8083659744290888e-05,8.220429289085096e-05,0.41368779755471236,0.4141901619297866,-0.06905731277200039,1.8932959320507925,3.6351475625990646
hoptimus1,CCRCC,shipped,random,1,2,0,0.001,5.764540684354445e-05,3.0446034404018876e-05,0.414654800697454,0.4153967735014633,-0.054591058255151315,1.892835413219868,3.6777675472163516
hoptimus1,CCRCC,shipped,random,1,3,0,0.001,5.4689232133619094e-05,3.653524128482265e-05,0.413764047342419,0.412872139422939,-0.0970539007184919,1.9026905364026574,3.6733041405194826
hoptimus1,CCRCC,shipped,random,1,4,0,0.001,3.251792180917892e-05,4.2624448165626426e-05,0.41570507444529414,0.41458298361835333,-0.060552806033763285,1.8862288652849866,3.5971946314040566
hoptimus1,CCRCC,shipped,random,2,0,0,0.001,3.7816119120775234e-05,3.5329118631461507e-05,0.4145291803864232,0.4144179478455087,-0.04700142195778301,1.8926255283910767,3.669251732158833
hoptimus1,CCRCC,shipped,random,2,1,0,0.001,5.8299850311195145e-05,5.578281889178133e-05,0.4139977434426949,0.4157498669111495,-0.05016664879478505,1.8935826950199088,3.6487833839474093
hoptimus1,CCRCC,shipped,random,2,2,0,0.001,2.678641771054912e-05,5.950167348456675e-05,0.4146176661677812,0.41489111973531845,-0.034218831140314265,1.8945703911123992,3.6759624204070787
hoptimus1,CCRCC,shipped,random,2,3,0,0.001,6.145119357125975e-05,4.8345109706210484e-05,0.41421028974948926,0.41547122676603454,-0.08926226167215973,1.899178791283219,3.6995484284175486
hoptimus1,CCRCC,shipped,random,2,4,0,0.001,3.7816119120775234e-05,3.3469691335068796e-05,0.4159936640194165,0.415183260200553,-0.04052447397941994,1.885360927819108,3.627445669982896
hoptimus1,CCRCC,shipped,random,3,0,0,0.001,4.619970193740686e-05,7.582139848357203e-05,0.4149809214475065,0.4143201559689611,-0.05127895533163884,1.8963159894061385,3.64014867993112
hoptimus1,CCRCC,shipped,random,3,1,0,0.001,4.4709388971684054e-05,6.178039876439203e-05,0.4137628141894888,0.4158248632492599,-0.05123262508342208,1.8888669406764698,3.6581475640354855
hoptimus1,CCRCC,shipped,random,3,2,0,0.001,3.874813710879285e-05,5.8972198820556024e-05,0.4149121759767722,0.41502463474340145,-0.04921340532194246,1.8833994794990985,3.6303879268456676
hoptimus1,CCRCC,shipped,random,3,3,0,0.001,4.023845007451565e-05,3.9314799213704016e-05,0.41526362732615174,0.41533831395866827,-0.04729951926555148,1.8955954036901763,3.683462143693659
hoptimus1,CCRCC,shipped,random,3,4,0,0.001,4.9180327868852456e-05,5.335579893288402e-05,0.4155075535505712,0.41465590352768983,-0.03189841944581506,1.8972237989887855,3.658465811747568
hoptimus1,CCRCC,shipped,random,4,0,0,0.001,4.539722572509458e-05,4.068348250610252e-05,0.41514444929407424,0.41471004593309124,-0.07600591786442001,1.8932616120378978,3.662663258404855
hoptimus1,CCRCC,shipped,random,4,1,0,0.001,5.212274064733081e-05,3.797125033902902e-05,0.41425594735918614,0.41496542632181743,-0.09609855296290248,1.8909418034920291,3.6424441738541944
hoptimus1,CCRCC,shipped,random,4,2,0,0.001,8.743169398907104e-05,6.780580417683754e-05,0.41473956111045684,0.41511823539792947,-0.07578490428447326,1.89362430180282,3.7068428358012424
hoptimus1,CCRCC,shipped,random,4,3,0,0.001,4.03530895334174e-05,6.373745592622729e-05,0.4146886876235986,0.415099332574607,-0.048383524612122863,1.885983682385982,3.6600129555878107
hoptimus1,CCRCC,shipped,random,4,4,0,0.001,7.398066414459858e-05,5.560075942500678e-05,0.41472237607211193,0.4146336585602318,-0.043556574473650245,1.8918723274517144,3.683426391538886
hoptimus1,CCRCC,shipped,random,5,0,0,0.001,7.295466388744138e-05,6.0045634682358595e-05,0.4135037741408737,0.41323352240152356,-0.049360900318082435,1.8984841461127138,3.711836133915975
hoptimus1,CCRCC,shipped,random,5,1,0,0.001,3.4740316136876845e-05,5.644289660141708e-05,0.41444979441569774,0.4139757123122523,-0.05255198763535268,1.8965552423452001,3.6876380241026205
hoptimus1,CCRCC,shipped,random,5,2,0,0.001,6.079555323953448e-05,5.884472198871142e-05,0.41511528075047277,0.41514621498718085,-0.07566214586799785,1.8874503537131913,3.644607688360791
hoptimus1,CCRCC,shipped,random,5,3,0,0.001,3.3003300330033e-05,6.364837276330011e-05,0.41465018482934596,0.4141650713545282,-0.06034042849956284,1.8983593578565603,3.6814838492924293
hoptimus1,CCRCC,shipped,random,5,4,0,0.001,4.8636442591627586e-05,4.323285697129819e-05,0.4149073328762081,0.4132900881139214,-0.04969636325182736,1.8949089440921247,3.6505989464794615
hoptimus1,CCRCC,shipped,patient,0,-1,0,0.001,1.4672168729940394e-05,8.709378912416308e-06,0.4251128206099001,0.3812344633262045,-0.061791092170399964,2.940992120067889,5.592336533571047
hoptimus1,CCRCC,shipped,patient,0,-1,1,0.001,0.00031022697397248267,2.7216809101300964e-05,0.4015013868459737,0.3897816665140751,-0.12093328336576376,3.1250184074210887,6.646925637510231
hoptimus1,CCRCC,shipped,patient,0,-1,2,0.001,0.0004835541228025991,0.0006695335038920037,0.3479607094814061,0.28370569696343134,-0.14069631195686316,4.188942870889119,9.305461740594223
hoptimus1,CCRCC,shipped,patient,1,-1,0,0.001,9.820254274441035e-05,0.0002466128786725529,0.38591967998233195,0.45771736300139976,-0.14030693426435303,2.448015813380771,4.974765624385481
hoptimus1,CCRCC,shipped,patient,1,-1,1,0.001,2.252111354394745e-05,0.0004627797229410869,0.3978138442127586,0.465032419644085,-0.03880427420067689,2.6822566169578197,5.684799930700727
hoptimus1,CCRCC,shipped,patient,1,-1,2,0.001,1.1251758087201125e-05,2.740143096361699e-05,0.409327638705277,0.48183203369763805,-0.021981736761863324,2.4596826187554144,4.48905004357223
hoptimus1,CCRCC,shipped,patient,2,-1,0,0.001,6.132774569428119e-06,0.0,0.3934723499138588,0.41967335887782586,-0.016142639464069353,2.26784769719235,4.2127772427527095
hoptimus1,CCRCC,shipped,patient,2,-1,1,0.001,0.00012882197733974857,5.578281889178133e-06,0.3873194516289935,0.3989335672858946,-0.05926274249146396,2.62616254149144,6.204976972405277
hoptimus1,CCRCC,shipped,patient,2,-1,2,0.001,0.0004263372845900986,3.3469691335068796e-05,0.3601412767225365,0.3660041539382177,-0.09219772610932603,4.500426461169956,8.6548062571685
hoptimus1,CCRCC,shipped,patient,3,-1,0,0.001,5.233699207676092e-05,2.808199943836001e-06,0.4027227810727325,0.44765592087831285,-0.09821424778877835,2.400057002450887,4.653243510694517
hoptimus1,CCRCC,shipped,patient,3,-1,1,0.001,1.8545229754790852e-05,6.458859870822803e-05,0.3739694712694104,0.4767532596605249,-0.07705025703613022,2.605604614972676,5.010687969482443
hoptimus1,CCRCC,shipped,patient,3,-1,2,0.001,0.00014722409530231514,5.616399887672002e-06,0.40803570564929587,0.47232266276934165,-0.0770265335974884,2.1133549590385017,4.08917390166449
hoptimus1,CCRCC,shipped,patient,4,-1,0,0.001,1.979896436186415e-05,1.3561160835367507e-05,0.43083964827972976,0.3757614932249291,-0.0624250277371714,2.954382275874473,6.196603620438028
hoptimus1,CCRCC,shipped,patient,4,-1,1,0.001,9.454292665971498e-05,1.3561160835367508e-06,0.3989793433006277,0.3979889759665896,-0.0871485581747124,2.5637454400863136,4.994751392432472
hoptimus1,CCRCC,shipped,patient,4,-1,2,0.001,1.0541110330288123e-05,2.7122321670735013e-05,0.39705982227907893,0.3866761008594487,-0.07162404851416704,2.8265903843934512,5.299806655921339
hoptimus1,CCRCC,shipped,patient,5,-1,0,0.001,6.407381303261357e-06,0.0003038309114927345,0.42668684358336173,0.37781920382682255,-0.02860262840377914,2.6677465830962888,5.13489301067755
hoptimus1,CCRCC,shipped,patient,5,-1,1,0.001,7.593735168485999e-06,0.00027981265761979103,0.4094573100889751,0.3696520332812877,-0.057676430437825776,2.6630594518521495,5.398281527082038
hoptimus1,CCRCC,shipped,patient,5,-1,2,0.001,0.00023854115327747659,0.0006196709499219407,0.4232030214139539,0.3784866324712057,-0.08963999456999938,3.430806919650043,6.284887749014939
hoptimus1,CCRCC,shipped,donor,INT1,-1,0,0.001,9.862022166930559e-05,0.0,0.3945758681354429,0.47679500109559375,-0.09439635126932466,2.2406036636654583,4.448058540717947
hoptimus1,CCRCC,shipped,donor,INT1,-1,1,0.001,4.791056694170881e-05,0.0,0.3937651289971137,0.45201647819688273,-0.06325831448480879,2.8042340204162226,5.659072779462952
hoptimus1,CCRCC,shipped,donor,INT1,-1,2,0.001,5.588184980327308e-05,0.0,0.3863566285913969,0.49433059454208506,-0.05613776547420224,2.881804813274246,5.61898864243794
hoptimus1,CCRCC,shipped,donor,INT10,-1,0,0.001,6.168377427593852e-05,0.00028240040342914776,0.38927701824614513,0.42545082453403,-0.08888880648809128,2.793866875791685,6.06775679366792
hoptimus1,CCRCC,shipped,donor,INT10,-1,1,0.001,3.573434070141406e-05,0.0014422592032274331,0.3990590811541114,0.3789211804189868,-0.04630389064065521,2.765982911983275,5.337937709238051
hoptimus1,CCRCC,shipped,donor,INT10,-1,2,0.001,4.08111210304808e-05,0.00014120020171457388,0.432992298495677,0.4152961372985518,-0.07375855441195772,2.386502535956082,4.345073988418891
hoptimus1,CCRCC,shipped,donor,INT11,-1,0,0.001,1.0658140154543033e-06,0.0,0.41020076981695597,0.49137795942735485,-0.01736974215124759,2.2272451880282316,4.123218216807448
hoptimus1,CCRCC,shipped,donor,INT11,-1,1,0.001,1.8205724688985537e-05,0.0,0.3948553025356918,0.4802466964882567,-0.04294306334116388,3.174114108620264,6.490581564826841
hoptimus1,CCRCC,shipped,donor,INT11,-1,2,0.001,4.380512638370923e-05,0.0,0.41553970290486864,0.4909108750154152,-0.06052269761422757,2.11198928928921,3.7830520388087923
hoptimus1,CCRCC,shipped,donor,INT12,-1,0,0.001,5.187798298402158e-06,0.0,0.3962801981921901,0.47801447829546145,-0.03779003686568716,2.812862106464212,5.606707516644112
hoptimus1,CCRCC,shipped,donor,INT12,-1,1,0.001,0.00010879799142169684,0.0,0.40183612177694217,0.49142645586066724,-0.08478869573176778,2.520414212933866,4.902417451152165
hoptimus1,CCRCC,shipped,donor,INT12,-1,2,0.001,7.854761022600963e-05,0.0,0.43709524393822285,0.5376543468293022,-0.1425836660633955,2.283934233572608,4.539408703665575
hoptimus1,CCRCC,shipped,donor,INT13,-1,0,0.001,0.00016121384542437173,0.0,0.4204987877911297,0.37589143589769325,-0.07806163965408841,2.4293201655577064,4.59676827067765
hoptimus1,CCRCC,shipped,donor,INT13,-1,1,0.001,5.523797289485516e-05,0.0,0.4237972708097458,0.36737320087294,-0.03491573695617178,2.628849569285201,5.383376670362975
hoptimus1,CCRCC,shipped,donor,INT13,-1,2,0.001,6.248224936097699e-05,1.3764624913971094e-05,0.39059513763097486,0.3688884025026363,-0.1199545420693357,2.679927608054917,5.657967178575105
hoptimus1,CCRCC,shipped,donor,INT14,-1,0,0.001,3.124389767623511e-05,8.768084173608067e-06,0.3928853374839657,0.3971030882408172,-0.12926445946372256,3.098216999582637,5.924608614439951
hoptimus1,CCRCC,shipped,donor,INT14,-1,1,0.001,0.0,4.384042086804034e-06,0.4795625245193951,0.4081076287424009,0.015893041139478536,2.4343305447816803,3.951269889146075
hoptimus1,CCRCC,shipped,donor,INT14,-1,2,0.001,7.0457976849521896e-06,4.384042086804034e-06,0.40534159867868735,0.3758515357247301,-0.020723895615941512,2.4914237615156622,4.932000850542006
hoptimus1,CCRCC,shipped,donor,INT15,-1,0,0.001,3.975040443725445e-05,8.906882591093118e-05,0.41875197634578876,0.4018248535853584,-0.06518820695630634,2.302846291221458,4.498469231762255
hoptimus1,CCRCC,shipped,donor,INT15,-1,1,0.001,0.0001133494770467309,5.2631578947368424e-05,0.3894650809548123,0.3924827673249487,-0.10724089318818808,3.0024095044839463,6.411897861643134
hoptimus1,CCRCC,shipped,donor,INT15,-1,2,0.001,2.4139472507822976e-05,4.048582995951417e-06,0.3768121095070519,0.4135265951526865,-0.05590511765316314,3.065287058893749,6.568927181721797
hoptimus1,CCRCC,shipped,donor,INT16,-1,0,0.001,5.920663114268798e-06,0.00034310667498440423,0.4258464975292324,0.32965395521777374,-0.02324564395131179,2.3758272335183093,4.515763445488619
hoptimus1,CCRCC,shipped,donor,INT16,-1,1,0.001,0.0001066925315227934,0.0008920773549594511,0.4028800515891375,0.29017010260431786,-0.10154410500370814,2.3728171006117793,4.531390675546533
hoptimus1,CCRCC,shipped,donor,INT16,-1,2,0.001,5.893150420249251e-05,0.0,0.4077740628925427,0.4027257893830129,-0.13134364682572663,2.312267741432701,4.289812312960495
hoptimus1,CCRCC,shipped,donor,INT17,-1,0,0.001,5.43525905145963e-05,1.1157601115760111e-05,0.408782766880437,0.3903026862411957,-0.0823269757687678,2.1858665193909816,3.8225931131932893
hoptimus1,CCRCC,shipped,donor,INT17,-1,1,0.001,2.160293799956794e-06,0.0002287308228730823,0.4141117000103778,0.3372883312661833,-0.021940289805920665,2.586720888479798,4.970362043371086
hoptimus1,CCRCC,shipped,donor,INT17,-1,2,0.001,1.1038542912335572e-05,3.3472803347280334e-05,0.410814203193242,0.3498892029584768,-0.043075084340039926,2.666355473099919,5.282419285959581
hoptimus1,CCRCC,shipped,donor,INT18,-1,0,0.001,0.00019426859324409221,4.069175991861648e-06,0.3928367081592272,0.43834760559876496,-0.10970851336734333,2.3988131079406325,4.71971629303148
hoptimus1,CCRCC,shipped,donor,INT18,-1,1,0.001,9.099616858237548e-05,4.069175991861648e-06,0.4035294893204061,0.40964298651066755,-0.09814113340627167,3.3860821737563715,6.596573836995564
hoptimus1,CCRCC,shipped,donor,INT18,-1,2,0.001,5.8532192705988294e-05,7.731434384537131e-05,0.38742876058155334,0.3755344627415196,-0.05003869674493333,3.060089288575463,6.261960497106441
hoptimus1,CCRCC,shipped,donor,INT19,-1,0,0.001,0.0,2.0210185933710592e-05,0.4263789853916416,0.34810520390237554,0.0018104119612105674,2.3275354763055964,4.425292737041918
hoptimus1,CCRCC,shipped,donor,INT19,-1,1,0.001,0.0,0.0001576394502829426,0.43796598299169265,0.3590185456590226,0.05520682769977697,2.5691904028595616,4.69732458368423
hoptimus1,CCRCC,shipped,donor,INT19,-1,2,0.001,2.659092282588989e-05,0.00016976556184316897,0.43533996347506076,0.35791666529054067,-0.09141818076402158,2.3302848912388052,4.219648229906795
hoptimus1,CCRCC,shipped,donor,INT2,-1,0,0.001,4.67699503069278e-06,7.751937984496124e-06,0.40573983384517665,0.4050856212549886,-0.02666466365045933,2.577900265155843,4.850632588739469
hoptimus1,CCRCC,shipped,donor,INT2,-1,1,0.001,6.226138032305433e-05,0.0,0.40237446818728595,0.44514073757253325,-0.0583155273757584,2.3582988922053034,4.3693343130917395
hoptimus1,CCRCC,shipped,donor,INT2,-1,2,0.001,4.62000462000462e-06,0.0,0.42399586289931546,0.4374087859120234,-0.02398352244542379,2.5786157530979144,5.105597302992118
hoptimus1,CCRCC,shipped,donor,INT20,-1,0,0.001,1.139230205875173e-05,0.0,0.440640724716492,0.3846922658307782,-0.016599927283727556,2.336064230381263,3.9641986018418653
hoptimus1,CCRCC,shipped,donor,INT20,-1,1,0.001,0.00011070764325569037,0.0,0.3962715496795294,0.42618770598034883,-0.19418622963617116,2.645527108176675,5.57587621640513
hoptimus1,CCRCC,shipped,donor,INT20,-1,2,0.001,6.097560975609756e-05,0.0,0.3828106866770446,0.4159582544471859,-0.07322183178643105,2.6926294957634433,5.557433619777082
hoptimus1,CCRCC,shipped,donor,INT21,-1,0,0.001,0.00013656292675914613,4.020100502512563e-06,0.4193970357181789,0.41252481023310034,-0.07234885061074131,2.659626360920426,5.4999416966497625
hoptimus1,CCRCC,shipped,donor,INT21,-1,1,0.001,3.27391778828665e-05,0.0,0.43864760996043883,0.4003273434713902,-0.0530632054895801,3.104425148890341,6.050886111321479
hoptimus1,CCRCC,shipped,donor,INT21,-1,2,0.001,8.7574565300165e-05,0.0,0.41123686463086795,0.4066958032796332,-0.07928496154123887,2.6762514412201477,5.240420813020994
hoptimus1,CCRCC,shipped,donor,INT22,-1,0,0.001,0.00036959117529993744,0.00018803865238965788,0.3938661176048638,0.3744257504001848,-0.1324574233349205,2.500715040343793,4.697142248239922
hoptimus1,CCRCC,shipped,donor,INT22,-1,1,0.001,0.00011574182106687824,4.178636719770175e-05,0.37099481391776257,0.3496070725798953,-0.09955284967309769,3.1709921490192015,7.473707919211351
hoptimus1,CCRCC,shipped,donor,INT22,-1,2,0.001,8.732502889431102e-05,0.0,0.35946541202169846,0.3281895297288524,-0.08731359118819482,2.811221609174309,5.647572978484702
hoptimus1,CCRCC,shipped,donor,INT23,-1,0,0.001,1.8646280067126608e-06,0.0,0.4083516747943291,0.4110164598992946,-0.011602676896297792,2.4138524020264485,4.392506014365374
hoptimus1,CCRCC,shipped,donor,INT23,-1,1,0.001,8.81057268722467e-05,1.6824395373291273e-05,0.411618850415661,0.3779557347620641,-0.05745958382363453,3.124657536484021,6.561646318486448
hoptimus1,CCRCC,shipped,donor,INT23,-1,2,0.001,0.0002080036174542166,0.0,0.3985804046201125,0.3731423667342588,-0.10677123993581084,3.162996698651204,6.334896967200701
hoptimus1,CCRCC,shipped,donor,INT24,-1,0,0.001,2.863354366615409e-05,2.6607538802660753e-05,0.39769581619948163,0.3458289298075614,-0.04474454227708252,3.012888940376295,5.995562619772936
hoptimus1,CCRCC,shipped,donor,INT24,-1,1,0.001,4.304813940974378e-05,1.3303769401330377e-05,0.38579209485340893,0.3722095216384804,-0.1464570740339476,3.0246706443512843,6.150851944371283
hoptimus1,CCRCC,shipped,donor,INT24,-1,2,0.001,9.240703629481184e-05,6.651884700665188e-05,0.4173908572652128,0.35685572928240694,-0.0850168560750254,2.4592510180436147,4.6119872370792265
hoptimus1,CCRCC,shipped,donor,INT3,-1,0,0.001,0.00027034998033818327,3.986048829098156e-05,0.3952989619608842,0.4088140594269317,-0.09258838381641599,3.2922032948251667,7.3803243577716415
hoptimus1,CCRCC,shipped,donor,INT3,-1,1,0.001,5.203184348821479e-06,9.96512207274539e-06,0.4088418975676701,0.40208818994856943,-0.013346734105802116,3.451647575062634,6.687800541336541
hoptimus1,CCRCC,shipped,donor,INT3,-1,2,0.001,0.00016595102703957293,0.0,0.4093846346868121,0.43303746865563025,-0.09770996582149893,2.7423511796796722,5.732493242776155
hoptimus1,CCRCC,shipped,donor,INT4,-1,0,0.001,4.996326230712711e-05,0.0,0.40689433816822174,0.4633201546484643,-0.07528801846909017,2.5504026837690588,4.737880599503405
hoptimus1,CCRCC,shipped,donor,INT4,-1,1,0.001,0.0006051789351178353,5.9303187546330616e-05,0.37244207001280166,0.4356389689550768,-0.10922899592645346,2.9303646870109903,6.324405297741027
hoptimus1,CCRCC,shipped,donor,INT4,-1,2,0.001,0.000131521262604121,0.0,0.3878317346509429,0.4667638654482083,-0.07219623639839212,2.504656971163831,4.9827314234656885
hoptimus1,CCRCC,shipped,donor,INT5,-1,0,0.001,0.00011953163115953813,5.059021922428331e-05,0.3675048016830318,0.5120171597828382,-0.08167620178710777,2.6989170665053437,5.708579788433782
hoptimus1,CCRCC,shipped,donor,INT5,-1,1,0.001,0.00048534692459168305,0.0,0.38603259277363633,0.4756845917715895,-0.07379828871038846,2.6519147328398596,5.499949582542856
hoptimus1,CCRCC,shipped,donor,INT5,-1,2,0.001,1.433049708911778e-05,6.745362563237774e-05,0.4150534842320479,0.5060617057913055,-0.04553521215880896,2.341373109388933,4.334821407849981
hoptimus1,CCRCC,shipped,donor,INT6,-1,0,0.001,1.0231923601637108e-05,0.0,0.4158614086191059,0.4518700988968961,-0.08534595284041019,2.612245634027943,5.136542066393175
hoptimus1,CCRCC,shipped,donor,INT6,-1,1,0.001,0.00011842240757903408,0.0,0.39653286301072965,0.3910013209055141,-0.07315231370021985,3.103407637159747,6.417205338371077
hoptimus1,CCRCC,shipped,donor,INT6,-1,2,0.001,2.015417947296821e-06,0.0,0.40982842347579396,0.462941108126499,-0.011015085294165894,2.4301509824145957,4.619130777450337
hoptimus1,CCRCC,shipped,donor,INT7,-1,0,0.001,3.9118253422847175e-05,0.0,0.3810559431148507,0.442939314471183,-0.04489410800524135,2.471286273187584,4.936993048890208
hoptimus1,CCRCC,shipped,donor,INT7,-1,1,0.001,0.00015713134568896053,0.0,0.36604183334836543,0.4432750452029191,-0.1229605794202237,2.8300502920757826,5.677914205490475
