encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal
hoptimus1,PRAD,shipped,slide_out,MEND139,-1,0,0.001,0.0004901218420871481,1.6004267804747933e-05,0.4243034134963496,0.4877946622502978,-0.1795305585629059,2.148010649697902,4.819200577831111
hoptimus1,PRAD,shipped,slide_out,MEND139,-1,1,0.001,0.0006378572414745271,0.0,0.375977930273823,0.5194476320801188,-0.174507256062562,2.595336241776659,6.7146522004272295
hoptimus1,PRAD,shipped,slide_out,MEND139,-1,2,0.001,0.0004384782834041671,0.00011202987463323553,0.44841795894838804,0.5121594596918856,-0.3638215989381256,2.1074747768923006,4.7091683419076995
hoptimus1,PRAD,shipped,slide_out,MEND140,-1,0,0.001,0.0012866998235199743,0.000165374677002584,0.4369287723427654,0.3921572632957514,-0.36410189688149275,2.0741035948933577,5.089511542125552
hoptimus1,PRAD,shipped,slide_out,MEND140,-1,1,0.001,0.0031022777047744195,5.167958656330749e-05,0.3983090471476973,0.41537961981188287,-0.28200762753958675,2.245532701249913,6.528748918285634
hoptimus1,PRAD,shipped,slide_out,MEND140,-1,2,0.001,0.0003062147679031248,0.0007235142118863049,0.35436343853919544,0.3747569354428466,-0.15649689519678556,2.248749823180365,4.825343909158648
hoptimus1,PRAD,shipped,slide_out,MEND141,-1,0,0.001,0.0003758169934640523,0.0002229654403567447,0.43061384956033855,0.3324404512218949,-0.19466742554047411,1.9470047469663396,4.0285237818205255
hoptimus1,PRAD,shipped,slide_out,MEND141,-1,1,0.001,0.0012366901860166775,0.0002564102564102564,0.43331267767578563,0.3310471707232122,-0.315325443922565,2.7541869017803124,6.445129136096259
hoptimus1,PRAD,shipped,slide_out,MEND141,-1,2,0.001,0.0004408462356695426,0.0002564102564102564,0.42479283057205564,0.3160557329556022,-0.19409632343134842,2.0194015238077396,4.513237175120707
hoptimus1,PRAD,shipped,slide_out,MEND142,-1,0,0.001,0.0012989690721649484,4.671338004671338e-05,0.37710498737345377,0.41781967909673545,-0.28445588694739454,2.574357880564991,6.08599253968412
hoptimus1,PRAD,shipped,slide_out,MEND142,-1,1,0.001,0.001362808842652796,5.338672005338672e-05,0.4034801307357555,0.41464733230263795,-0.40049485152527275,2.098898255453404,4.968469946053882
hoptimus1,PRAD,shipped,slide_out,MEND142,-1,2,0.001,0.0008104006475111291,4.004004004004004e-05,0.4655172455162197,0.42818711661307784,-0.17518355102157657,2.049199757048378,3.994908775524634
hoptimus1,PRAD,shipped,slide_out,MEND143,-1,0,0.001,0.0003657510138495677,7.861635220125786e-05,0.3870278207502462,0.3761983683321808,-0.15676568018131387,2.1066864684371316,4.5903418053831695
hoptimus1,PRAD,shipped,slide_out,MEND143,-1,1,0.001,0.00045302726665452116,5.241090146750524e-06,0.416511917265167,0.41667043839478113,-0.2531414157767926,1.8463442845540572,4.0537961844386095
hoptimus1,PRAD,shipped,slide_out,MEND143,-1,2,0.001,0.001842623873873874,1.0482180293501048e-05,0.3988969869040575,0.3519281591045331,-0.26106880761202245,2.531921722986796,6.1412789252458095
hoptimus1,PRAD,shipped,slide_out,MEND144,-1,0,0.001,0.002177650429799427,1.4727540500736377e-05,0.4390198576871899,0.3337797529200319,-0.18585076444674137,2.2997275244342705,6.216648617529201
hoptimus1,PRAD,shipped,slide_out,MEND144,-1,1,0.001,0.0004274985557481225,6.872852233676975e-05,0.4285418277323081,0.36624645612311135,-0.4776172536835184,1.9518016435517185,4.057003370229997
hoptimus1,PRAD,shipped,slide_out,MEND144,-1,2,0.001,0.00041592051296863265,0.00014727540500736376,0.44588834843346525,0.3182651626229768,-0.21251012710227363,2.0480796487388275,4.224317079476598
hoptimus1,PRAD,shipped,slide_out,MEND145,-1,0,0.001,0.0012093823972455348,8.46262341325811e-05,0.37522978424583514,0.3286682138215771,-0.47087828616654803,2.6120517813821817,6.002867047144424
hoptimus1,PRAD,shipped,slide_out,MEND145,-1,1,0.001,0.0005393921510770138,9.873060648801129e-05,0.3969894377747901,0.3292304981827576,-0.14528428824623185,2.544395867764837,5.562614319968883
hoptimus1,PRAD,shipped,slide_out,MEND145,-1,2,0.001,0.0006511525067713227,8.46262341325811e-05,0.4354768577091518,0.31828593125628446,-0.14521718763096236,1.942688872007322,4.350734160700576
hoptimus1,PRAD,shipped,slide_out,MEND146,-1,0,0.001,0.0010520493390121135,0.000274949083503055,0.43686274157131466,0.31347073284062454,-0.35532278704992637,2.1601262850166227,5.726466576379786
hoptimus1,PRAD,shipped,slide_out,MEND146,-1,1,0.001,0.0010868549302356632,8.146639511201629e-05,0.36480939019288977,0.32814830876660367,-0.2918185239144596,2.104547804159588,5.144188939385941
