encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
uni_v2,CCRCC,shipped,random,0,0,0,0.001,5.729632945389436e-05,5.116760111044581e-05,0.41294549858039625,0.41280462191728573,-0.05686482022162309,1.896205144619763,3.6438587243700105,False
uni_v2,CCRCC,shipped,random,0,1,0,0.001,0.00010564010743061773,9.03598062163192e-05,0.412281222045337,0.4130448816223673,-0.06237340657251533,1.8951680902593513,3.651101806101056,False
uni_v2,CCRCC,shipped,random,0,2,0,0.001,8.415398388540734e-05,6.640901420717434e-05,0.4127103779360972,0.4124984328414337,-0.04653171634750658,1.89192305379703,3.645901665813815,False
uni_v2,CCRCC,shipped,random,0,3,0,0.001,6.266786034019695e-05,5.987698002286212e-05,0.4123422613172273,0.41312688476905535,-0.062119250850999785,1.890035311249197,3.6059799163609134,False
uni_v2,CCRCC,shipped,random,0,4,0,0.001,8.773500447627574e-05,7.07637036633825e-05,0.4120915596914073,0.4127482616671344,-0.06011250331800688,1.889096239422413,3.6457801095943734,False
uni_v2,CCRCC,shipped,random,1,0,0,0.001,4.286453329391767e-05,8.220429289085096e-05,0.4134601002786201,0.41115149724154165,-0.05272869392758167,1.8841194019971126,3.582463063459777,False
uni_v2,CCRCC,shipped,random,1,1,0,0.001,6.355775626339517e-05,6.393667224843965e-05,0.4124520435125113,0.41196288915617235,-0.07557788362096729,1.894798529782514,3.6185839271385603,False
uni_v2,CCRCC,shipped,random,1,2,0,0.001,4.286453329391767e-05,6.393667224843965e-05,0.4129085672709699,0.41404052650356793,-0.04205959521205693,1.8917870765502134,3.613494316168416,False
uni_v2,CCRCC,shipped,random,1,3,0,0.001,8.277289187790999e-05,0.00011873953417567361,0.4125938248838916,0.4112517102102865,-0.07767294138609115,1.898397200203569,3.6404148727026175,False
uni_v2,CCRCC,shipped,random,1,4,0,0.001,7.390436774813391e-05,5.480286192723398e-05,0.4131261138967055,0.4123805115804433,-0.07418448593953536,1.8892543692296733,3.59767059831547,False
uni_v2,CCRCC,shipped,random,2,0,0,0.001,5.6724178681162844e-05,6.136110078095946e-05,0.41245138617300714,0.41219122940280406,-0.049080744839176516,1.89102650230793,3.630541266158098,False
uni_v2,CCRCC,shipped,random,2,1,0,0.001,4.5694477270936734e-05,5.764224618817404e-05,0.4117185496141619,0.4137556849987268,-0.029125466010430423,1.8895898541583012,3.574952752347949,False
uni_v2,CCRCC,shipped,random,2,2,0,0.001,4.7270148900969035e-05,9.669021941242097e-05,0.4120792807026754,0.41195640242180176,-0.056576908309806995,1.8993110768727492,3.663679160144174,False
uni_v2,CCRCC,shipped,random,2,3,0,0.001,7.090522335145356e-05,7.065823726292301e-05,0.4125425723713215,0.41371256978214627,-0.06719270992064752,1.893923433708301,3.6351181885482258,False
uni_v2,CCRCC,shipped,random,2,4,0,0.001,5.357283542109824e-05,5.578281889178133e-05,0.41305137045982954,0.4128337698454575,-0.08510175925394325,1.8875996917703777,3.605499670039764,False
uni_v2,CCRCC,shipped,random,3,0,0,0.001,7.153502235469448e-05,8.705419825891604e-05,0.4128457766991583,0.4127359971050514,-0.06921267220274574,1.8937936361385017,3.6125374123283427,False
uni_v2,CCRCC,shipped,random,3,1,0,0.001,7.600596125186289e-05,6.178039876439203e-05,0.4123746209081235,0.41417973623901394,-0.06592691947515039,1.8918443630252029,3.6351777768066613,False
uni_v2,CCRCC,shipped,random,3,2,0,0.001,5.3651266766020866e-05,0.00010109519797809604,0.41263189760838503,0.41226148555759445,-0.038408504311065184,1.8863670445504412,3.609907751674952,False
uni_v2,CCRCC,shipped,random,3,3,0,0.001,6.408345752608047e-05,5.616399887672002e-05,0.4123472564947728,0.412522703583129,-0.06063684060646912,1.9037895562120288,3.6536915564084382,False
uni_v2,CCRCC,shipped,random,3,4,0,0.001,8.34575260804769e-05,4.773939904521202e-05,0.4127210678958717,0.41175212228679114,-0.06664299229133003,1.8992840978993013,3.6106726441090156,False
uni_v2,CCRCC,shipped,random,4,0,0,0.001,9.583858764186633e-05,8.136696501220504e-05,0.4132308467587831,0.41282525195082953,-0.069859059241896,1.8979832379881874,3.6106023807202923,False
uni_v2,CCRCC,shipped,random,4,1,0,0.001,5.7166876839007985e-05,9.08597775969623e-05,0.41231571663870126,0.4125713737517796,-0.07415344945279007,1.8887630045384896,3.632967881402703,False
uni_v2,CCRCC,shipped,random,4,2,0,0.001,7.902480033627575e-05,6.373745592622729e-05,0.41242521293730194,0.41262438492668174,-0.05887678827235776,1.8865409750204039,3.6335651335971884,False
uni_v2,CCRCC,shipped,random,4,3,0,0.001,8.238755779739387e-05,5.966910767561703e-05,0.41277918698553384,0.4127812703979512,-0.05151905408093943,1.8915247597234335,3.6569050017438496,False
uni_v2,CCRCC,shipped,random,4,4,0,0.001,7.061790668348046e-05,6.373745592622729e-05,0.4128245056755933,0.4131836350761662,-0.04100073270408355,1.885792198633879,3.6014311356813917,False
uni_v2,CCRCC,shipped,random,5,0,0,0.001,0.00010769498002431822,6.244746006965294e-05,0.41158459255532764,0.41130404098382944,-0.06661062399032475,1.8986426173212316,3.648425281735075,False
uni_v2,CCRCC,shipped,random,5,1,0,0.001,7.990272711481674e-05,4.68355950522397e-05,0.4124652674379296,0.411736765268762,-0.06441847287007185,1.8995349272769189,3.6710252284515414,False
uni_v2,CCRCC,shipped,random,5,2,0,0.001,9.379885356956748e-05,6.124654737600576e-05,0.41189568452720493,0.4127019031659128,-0.054202707575513986,1.8949090980608407,3.6535235182613173,False
uni_v2,CCRCC,shipped,random,5,3,0,0.001,7.121764808059753e-05,6.725111084424162e-05,0.412589807975586,0.41239909099617666,-0.09703650534410158,1.897129314297594,3.6473973368399797,False
uni_v2,CCRCC,shipped,random,5,4,0,0.001,8.163974292166059e-05,5.764380929506425e-05,0.41285622686952844,0.4116792412670641,-0.04339119080994702,1.8913851683992677,3.612951941060919,False
uni_v2,CCRCC,shipped,patient,0,-1,0,0.001,0.0,2.177344728104077e-06,0.4259198255426837,0.38806456655149285,0.009959615238052832,2.844981937011909,5.03511550078677,False
uni_v2,CCRCC,shipped,patient,0,-1,1,0.001,0.00027342038384015424,2.5039464373196887e-05,0.3806919431307453,0.386165634890595,-0.11232300662125105,3.2143121898725244,6.447629431151668,False
uni_v2,CCRCC,shipped,patient,0,-1,2,0.001,0.00012592555281317684,0.00017418757824832617,0.37433520773746737,0.3416403096709445,-0.08564450981584554,3.413112434842073,7.434969386100124,False
uni_v2,CCRCC,shipped,patient,1,-1,0,0.001,5.085488820692679e-05,0.00025879129243416046,0.3913943217217798,0.46239807172666303,-0.0565958456073381,2.2767525773065196,4.501310160038363,False
uni_v2,CCRCC,shipped,patient,1,-1,1,0.001,2.5023459493274946e-06,0.0016349520474958138,0.39835559920737906,0.468835098133699,-0.009908509778683128,2.648939684916606,5.427016553862675,False
uni_v2,CCRCC,shipped,patient,1,-1,2,0.001,0.0,0.0003683970162886284,0.3912397776671173,0.4596732564347645,0.01127758512393845,2.5437861689303762,4.841235048125921,False
uni_v2,CCRCC,shipped,patient,2,-1,0,0.001,3.0663872847140594e-06,0.0,0.3871957819292443,0.4038759728349954,-0.01536879181921219,2.2083204711383013,4.328011784671783,False
uni_v2,CCRCC,shipped,patient,2,-1,1,0.001,0.0001552072016141549,1.1156563778356266e-05,0.3878220480469524,0.39505728593577544,-0.058731834079077117,2.7895625315674293,6.5231501503581875,False
uni_v2,CCRCC,shipped,patient,2,-1,2,0.001,0.000601653551150513,0.0001506136110078096,0.35821856870429275,0.3781864551757071,-0.08207095353290089,4.350489136597642,8.417860329569528,False
uni_v2,CCRCC,shipped,patient,3,-1,0,0.001,4.070654939303627e-05,2.246559955068801e-05,0.3971828236654695,0.451487379060329,-0.07496356125911113,2.517983089132621,5.002387559225645,False
uni_v2,CCRCC,shipped,patient,3,-1,1,0.001,6.387801359983515e-05,5.616399887672002e-05,0.36741124322912544,0.4794807876810869,-0.08799311253749936,2.5754520156510594,4.992586829955292,False
uni_v2,CCRCC,shipped,patient,3,-1,2,0.001,0.00022139806698134412,1.9657399606852008e-05,0.38966354318180263,0.47181351383851095,-0.07273713172282142,2.212764774021237,4.233052433502406,False
uni_v2,CCRCC,shipped,patient,4,-1,0,0.001,5.025890953396284e-05,1.3561160835367508e-06,0.40101308508807737,0.41135505650505827,-0.04954027979008363,3.1922940190996334,6.1206684055513225,False
uni_v2,CCRCC,shipped,patient,4,-1,1,0.001,1.1122697254084115e-05,0.0,0.38961540006660345,0.39554606447920887,-0.03541761237811497,2.4481771163991275,4.6091390021331184,False
uni_v2,CCRCC,shipped,patient,4,-1,2,0.001,0.0,0.0,0.4049309502221981,0.3916663849838672,0.026580020871695698,2.5430257242244343,4.590833790001229,False
