encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
virchow2,CCRCC,shipped,random,0,0,0,0.001,5.729632945389436e-05,6.640901420717434e-05,0.4135615262842153,0.4132996148686406,-0.1494318213580046,1.9004502540809798,3.646543495033288,False
virchow2,CCRCC,shipped,random,0,1,0,0.001,6.0877350044762755e-05,6.749768657122639e-05,0.41326286768398346,0.413292482847742,-0.038534952577145565,1.888657546955365,3.6318188934933024,False
virchow2,CCRCC,shipped,random,0,2,0,0.001,8.594449418084154e-05,5.878830765881008e-05,0.4135670364501577,0.4136043448826823,-0.07805748979739274,1.894123842298874,3.6650824025940767,False
virchow2,CCRCC,shipped,random,0,3,0,0.001,4.297224709042077e-05,6.20543247509662e-05,0.41310274665500996,0.41361232616071486,-0.036495430096876336,1.8872828229860965,3.6294913646009417,False
virchow2,CCRCC,shipped,random,0,4,0,0.001,5.9086839749328556e-05,6.532034184312231e-05,0.4123258611433813,0.4132115198264938,-0.10407658462426955,1.8893738844106787,3.6555963580642854,False
virchow2,CCRCC,shipped,random,1,0,0,0.001,5.173305742369374e-05,5.784746536763586e-05,0.41426806398039984,0.41218350301873236,-0.07211320483567091,1.8895759883719594,3.6248445509833296,False
virchow2,CCRCC,shipped,random,1,1,0,0.001,6.207966890843248e-05,7.002587912924341e-05,0.4130804355136931,0.4127455552379972,-0.09380773574337786,1.889253488088014,3.6295624825880353,False
virchow2,CCRCC,shipped,random,1,2,0,0.001,5.025497006873106e-05,8.220429289085096e-05,0.4132693334960553,0.41426426554756046,-0.10892959742228525,1.8909729729139055,3.62915636906327,False
virchow2,CCRCC,shipped,random,1,3,0,0.001,4.434262064888035e-05,4.2624448165626426e-05,0.4132836461870605,0.4114039748805769,-0.04129556500276077,1.897346184159629,3.632010442513019,False
virchow2,CCRCC,shipped,random,1,4,0,0.001,5.6167319488581776e-05,3.0446034404018876e-05,0.4137520999361085,0.4124512621928461,-0.06023715566309379,1.8936377584255146,3.6056453420971564,False
virchow2,CCRCC,shipped,random,2,0,0,0.001,4.254313401087213e-05,5.392339159538862e-05,0.4132852744088945,0.413258512708944,-0.04049735421750339,1.8896589942920694,3.5984725711856904,False
virchow2,CCRCC,shipped,random,2,1,0,0.001,8.193492476167966e-05,7.437709185570845e-05,0.41319466820597556,0.41487448977468905,-0.06349393578181062,1.8911758342765834,3.6080850702464917,False
virchow2,CCRCC,shipped,random,2,2,0,0.001,5.042149216103364e-05,9.669021941242097e-05,0.41254965206490535,0.41280916549940616,-0.0430374828637029,1.895839593397207,3.6582000727910824,False
virchow2,CCRCC,shipped,random,2,3,0,0.001,6.617820846135666e-05,5.764224618817404e-05,0.41281505537982854,0.41506173396137125,-0.0861171846184764,1.8931764376786124,3.6510902671209866,False
virchow2,CCRCC,shipped,random,2,4,0,0.001,3.9391790750807535e-05,6.507995537374488e-05,0.41362192467452474,0.41392572424873975,-0.05751351545413724,1.8898579735479166,3.592366642851894,False
virchow2,CCRCC,shipped,random,3,0,0,0.001,6.706408345752608e-05,9.267059814658804e-05,0.4131160920473468,0.41279838644619393,-0.05169831456284418,1.9001713882283846,3.6150167736350785,False
virchow2,CCRCC,shipped,random,3,1,0,0.001,6.855439642324888e-05,9.267059814658804e-05,0.41214934116281743,0.41370358518335193,-0.08347522922777761,1.8948360535035587,3.654637049944907,False
virchow2,CCRCC,shipped,random,3,2,0,0.001,6.557377049180328e-05,4.773939904521202e-05,0.41355227284643525,0.41360534625852285,-0.06711038861524438,1.8854214342218714,3.6171602448786007,False
virchow2,CCRCC,shipped,random,3,3,0,0.001,5.3651266766020866e-05,5.054759898904802e-05,0.41382363129732824,0.4137262226678171,-0.13574847637202359,1.8969932486103598,3.638555687308438,False
virchow2,CCRCC,shipped,random,3,4,0,0.001,8.04769001490313e-05,7.862959842740803e-05,0.41391427586165497,0.4125414089213192,-0.1051259880241392,1.8964239216982242,3.63643526682672,False
