encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
virchow,PRAD,shipped,slide_out,MEND139,-1,0,0.001,0.0008219178082191781,5.8682315284075755e-05,0.4204909248332814,0.5240619821642136,-0.1564121250240617,2.209806133677252,4.980247421991954,False
virchow,PRAD,shipped,slide_out,MEND139,-1,1,0.001,0.0006903216899074969,6.401707121899173e-05,0.38679631556071886,0.5085568172595969,-0.13075794976594862,2.6009215692535173,6.917681852471754,False
virchow,PRAD,shipped,slide_out,MEND139,-1,2,0.001,0.00022494039597802427,0.00013870365430781542,0.44137205370155597,0.5048384863812596,-0.12597256691663894,2.0778846856589253,4.713129780887211,False
virchow,PRAD,shipped,slide_out,MEND140,-1,0,0.001,0.0011669073212471255,0.00036175710594315246,0.42876541925545564,0.37846817027414803,-0.28258742192670505,2.199248220345437,5.608162283105532,False
virchow,PRAD,shipped,slide_out,MEND140,-1,1,0.001,0.0010260621988611477,7.23514211886305e-05,0.39547251341601825,0.40392360951533973,-0.16006298621975645,2.2888607379380614,6.269382664130763,False
virchow,PRAD,shipped,slide_out,MEND140,-1,2,0.001,0.0006374834713619598,0.00018604651162790697,0.3707162221820337,0.39698780496523256,-0.2600795064412419,2.1425221971535784,4.771303001837783,False
virchow,PRAD,shipped,slide_out,MEND141,-1,0,0.001,0.00028711484593837533,0.0007803790412486065,0.43235769945519137,0.3158793643213303,-0.28684097851891066,1.9820667183452219,4.057652656576261,False
virchow,PRAD,shipped,slide_out,MEND141,-1,1,0.001,0.005131494547787043,0.0005128205128205128,0.4332071048947775,0.34140430539647953,-0.22755576963939828,2.940499064855817,9.939563275743463,False
virchow,PRAD,shipped,slide_out,MEND141,-1,2,0.001,0.0008994208722373242,0.000903010033444816,0.43325362567874537,0.3261588057984448,-0.24493280441058174,1.9625796544780383,4.512256224684067,False
virchow,PRAD,shipped,slide_out,MEND142,-1,0,0.001,0.00428479381443299,9.342676009342675e-05,0.38106378209806313,0.4344537211848867,-0.2097975431918621,2.6119653854789657,7.946217674211935,False
