encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T,superseded_label_set
virchow2,PRAD,shipped,slide_out,MEND139,-1,0,39667,14527,3749,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND139,-1,1,39667,14486,3749,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND139,-1,2,39667,19294,3749,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND140,-1,0,39667,18699,1935,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND140,-1,1,39667,18264,1935,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND140,-1,2,39667,14369,1935,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND141,-1,0,39667,17136,1794,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND141,-1,1,39667,15590,1794,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND141,-1,2,39667,16922,1794,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND142,-1,0,39667,15520,2997,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND142,-1,1,39667,15380,2997,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND142,-1,2,39667,19768,2997,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND143,-1,0,39667,13069,3816,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND143,-1,1,39667,16467,3816,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND143,-1,2,39667,14208,3816,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND144,-1,0,39667,16752,4074,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND144,-1,1,39667,15579,4074,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND144,-1,2,39667,17311,4074,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND145,-1,0,39667,13941,1418,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND145,-1,1,39667,16945,1418,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND145,-1,2,39667,18091,1418,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND146,-1,0,39667,18079,1964,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND146,-1,1,39667,14979,1964,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND146,-1,2,39667,16031,1964,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND147,-1,0,39667,17576,2335,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND147,-1,1,39667,19282,2335,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND147,-1,2,39667,13257,2335,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND148,-1,0,39667,17771,1633,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND148,-1,1,39667,16050,1633,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND148,-1,2,39667,20676,1633,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND149,-1,0,39667,14119,1851,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND149,-1,1,39667,18796,1851,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND149,-1,2,39667,13837,1851,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND150,-1,0,39667,16530,1751,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND150,-1,1,39667,15212,1751,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND150,-1,2,39667,17982,1751,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND151,-1,0,39667,15861,2600,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND151,-1,1,39667,18550,2600,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND151,-1,2,39667,17768,2600,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND152,-1,0,39667,15288,3082,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND152,-1,1,39667,18327,3082,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND152,-1,2,39667,12611,3082,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND153,-1,0,39667,17157,1820,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND153,-1,1,39667,13626,1820,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND153,-1,2,39667,17682,1820,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND154,-1,0,39667,15722,2736,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND154,-1,1,39667,15329,2736,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND154,-1,2,39667,16520,2736,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND156,-1,0,39667,16860,3554,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND156,-1,1,39667,16203,3554,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND156,-1,2,39667,17470,3554,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
virchow2,PRAD,shipped,slide_out,MEND157,-1,0,39667,15539,3190,0,0,0,True,True,39667,39667,0.0,0.0,0.0,False
