task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND139,0.8367013425802435,2.2646835712242446,3.2538662825148186,0.03784475860229394,0.1254538988174624,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND140,0.9377743324720069,2.4466851979446775,2.8070399107144763,0.06113695090439277,0.0010887166236003443,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND141,0.9474619100706058,2.283194848586613,2.590091625587283,0.05143441099962839,0.0011036789297658863,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND142,0.9739072405739072,2.640477030261451,2.7605170464808055,0.021212323434545655,0.004880435991547103,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND143,0.9879122990915444,2.5959339152908822,2.638707085615991,0.011939203354297693,0.00014849755415793152,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND144,0.9806872852233677,2.236687362827078,2.3082205063550685,0.01752740958926526,0.001785305187367043,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND145,0.9559849553361542,2.494077437051149,2.7718857732871367,0.04389750822755054,0.00011753643629525152,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND146,0.9679531568228107,2.379033723771349,2.5881243115270594,0.031605566870332655,0.0004412763068567549,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND147,0.9759029264810849,2.691449786096534,2.8040818048219127,0.01961456102783726,0.004482512491077802,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND148,0.9793508879363135,2.164048716606788,2.270766386911623,0.016823841600326597,0.0038252704633598695,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND149,0.9785449306681073,2.6209585311021697,2.7180116771946623,0.015188186565820277,0.0062668827660723935,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND150,0.9164667808871121,2.5060543227376404,3.1556304260256898,0.0810051399200457,0.0025280791928421853,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND151,0.9425717948717948,2.3023172256559263,2.5319047426720527,0.022328205128205127,0.0351,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND152,0.9439498161367078,2.4064532018577016,2.6564735800489383,0.030365563486913258,0.025684620376378975,slide
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND153,0.9335018315018315,2.664797668283679,3.00663979789369,0.06473992673992673,0.0017582417582417582,slide
