task,label_set,encoder,design,score,fold,coverage,width_mean,interval_score,miss_above,miss_below,calibration_unit
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND139,0.8712812305503691,2.426168689032838,3.10729132767259,0.0292149017515782,0.09950386769805282,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND140,0.9567235142118863,2.4882383622533775,2.6942821585868137,0.04030663221360896,0.002969853574504737,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND141,0.963277591973244,2.3972734986332505,2.5881533769179477,0.035444072835377184,0.0012783351913786697,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND142,0.9803826048270493,2.7642858893571716,2.854146160746725,0.014034034034034033,0.0055833611389166935,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND143,0.9913050314465409,2.650647377299911,2.6769652931140375,0.008149895178197065,0.0005450733752620545,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND144,0.9816347569955818,2.347224619874155,2.4150487738807715,0.016381934216985763,0.001983308787432499,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND145,0.9672402444757875,2.5346056678143287,2.7087828789607293,0.03205923836389281,0.0007005171603196991,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND146,0.9806313645621181,2.4176435800189426,2.5184939466461054,0.016412084181941615,0.002956551255940258,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND147,0.9836716630977872,2.85629678904478,2.925276790040448,0.011997144896502498,0.004331192005710207,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND148,0.9797387221882016,2.2078563951815813,2.3046568296871954,0.01679118187385181,0.00347009593794652,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND149,0.9822474338195569,2.663983725918735,2.746144689129156,0.015584368809652438,0.002168197370790564,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND150,0.9377117837426233,2.5792389203502606,3.025919169961194,0.05904816295450219,0.0032400533028745476,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND151,0.9558025641025641,2.342573513197572,2.5140009285148124,0.01611282051282051,0.02808461538461539,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND152,0.9469543586415746,2.512546135809234,2.7657639598448207,0.03257841228639412,0.02046722907203115,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND153,0.9587728937728938,2.804274190348531,2.9877593798477378,0.03841025641025641,0.0028168498168498167,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND154,0.8329873294346979,1.842557346319304,3.1071088144705654,0.09582602339181286,0.07118664717348928,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND156,0.6886062652410428,1.654489486726103,6.611186312229574,0.24139561057962858,0.06999812417932845,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND157,0.8039310344827587,1.8492235797515317,3.236531015619861,0.08310762800417973,0.11296133751306166,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND158,0.7520353600689953,1.625751788770769,3.7599717343260877,0.15098965071151357,0.09697498921949116,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND159,0.6114211618257261,1.8164615186506305,5.610237548657611,0.03714557399723375,0.35143326417704013,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND160,0.8225692571708753,1.7002325660994912,2.834712879557312,0.04382119800604723,0.13360954482307755,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND161,0.6545249249249249,1.7160958965257842,5.486357557580393,0.3064624624624625,0.039012612612612615,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND162,0.9501929219368851,1.8213936831259865,2.286719567203792,0.020600485498914013,0.029206592564200842,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND139,0.8307726504845737,2.0917105809822902,3.0889467562615813,0.06006223881924069,0.10916511069618566,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND140,0.9035314384151594,1.9522900665699667,2.477762210901307,0.09153143841515936,0.00493712316968131,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND141,0.8830732069862505,1.4814934506568462,2.135024209969884,0.110297287253809,0.006629505759940542,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND142,0.9504526748971194,2.109436284435287,2.3332019538109763,0.03771994216438661,0.011827382938494049,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND143,0.938277428371768,1.715662019897523,1.9975377952720115,0.06009433962264151,0.001628232005590496,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND144,0.897983963344788,1.3083030224632977,1.8259227123097024,0.09568973981345115,0.00632629684176076,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND145,0.9014950634696756,1.6409425062648462,2.2079433951923417,0.0951339915373766,0.0033709449929478137,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND146,0.9439205702647658,1.6592480816107518,1.9634420634274623,0.05185675492192804,0.004222674813306178,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND147,0.940802284082798,2.308646550931796,2.634009056522623,0.0508750892219843,0.008322626695217702,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND148,0.9223841600326598,1.2513214860679747,1.6503623295150824,0.07110022453561952,0.00651561543172076,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND149,0.9351521699981992,1.8490292552690815,2.173124347446899,0.05912839906356924,0.005719430938231587,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND150,0.9262783171521036,2.388111046974388,2.8130739974060552,0.07135351227869789,0.0023681705691985535,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND151,0.9531025641025641,2.155239270608298,2.384006548536398,0.0346,0.012297435897435897,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND152,0.8869067704953494,1.859183435682988,2.4704925145379013,0.07779580359074194,0.03529742591390871,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND153,0.8491208791208792,1.9289576478497166,2.8454495144569676,0.12998168498168497,0.020897435897435895,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND154,0.8940180311890837,2.094272252003394,2.7859717861545925,0.08114766081871345,0.024834307992202733,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND156,0.8117370099418495,2.210497883171219,5.410290556004661,0.1783980491465016,0.009864940911648848,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND157,0.9267063740856845,2.3699689575685006,2.776045470497546,0.06227168234064786,0.011021943573667712,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND158,0.8135467874083657,1.8040139566096538,3.195269021312537,0.16315006468305304,0.023303147908581286,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND159,0.9602506915629322,3.314849459626347,3.587273012179294,0.026096127247579527,0.013653181189488245,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND160,0.9571251123641416,2.287740030119512,2.5202694794354312,0.035742420527907166,0.007132467107951295,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND161,0.730375975975976,1.9232901948866497,4.435484366718467,0.2649057057057057,0.004718318318318318,slide
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND162,0.9338367190494443,1.418467974911908,1.9851958698164218,0.0437613389548997,0.022401941995656063,slide
